	utf1354	utf1362	utf1383	utf1390	utf1398	utf1406	utf1414	utf392	utf398	utf408	utf410	utf416	utf425	utf440	utf442	utf446	utf450	utf463	utf523	utf531	utf540	utf546	utf547	utf557	utf563	utf571
utf1354	0.0	0.41088204462951317	0.4771130787905228	0.5656794110116335	0.6202787666938898	0.5393666657292862	0.47589104225258033	0.47835795344940835	0.6043832725312535	0.4855070735590986	0.45894310433717317	0.5920349555375327	0.48396208353302406	0.5425415537271107	0.5506435388699746	0.4180791330084838	0.5982300917924914	0.37433581310334374	0.562647869545203	0.46456718163681093	0.553601551354845	0.44236714265497307	0.4274644232438949	0.5032457574973558	0.6698258555701759	0.49510409967684316
utf1362	0.41088204462951317	0.0	0.23474562183942074	0.5731737763688655	0.5876585859958908	0.563918561219165	0.3407919359019137	0.39921893866945873	0.6223471357158596	0.41872322108988647	0.4227182957226943	0.634339886070687	0.24365046143588642	0.39184584459025135	0.4696866036201155	0.467191527357701	0.5037873557627146	0.5235731674808496	0.5607224250477953	0.44107452548004505	0.5054368167816425	0.37822116489637087	0.5340529174873381	0.4164183907305059	0.5852899118453297	0.4604315214875311
utf1383	0.4771130787905228	0.23474562183942074	0.0	0.5860034879522473	0.5991968510332529	0.5571710490470984	0.40016111074114474	0.4844115196654924	0.641742704212627	0.4571706373056798	0.5039410124138147	0.6617867985729264	0.29847908911128257	0.43181187802686194	0.5113098042557626	0.5407631047137775	0.49854370811142146	0.5617866890660018	0.5740075902598426	0.5185274438307165	0.5641713535805217	0.4408626538407182	0.574744002736422	0.49923236778691704	0.616715587451564	0.5366860608567581
utf1390	0.5656794110116335	0.5731737763688655	0.5860034879522473	0.0	0.6215919373546336	0.5704891843312832	0.641457748205086	0.6188952331098593	0.6949239640663091	0.5918033004925157	0.6105689759311066	0.7362474675086121	0.5414347894885804	0.6580026759007038	0.6784606854051888	0.6168597468419625	0.4647223862869591	0.6478692155637369	0.6211810080151435	0.5463255757852289	0.6284043656314772	0.5859560930571396	0.6243919197063108	0.6179696885317263	0.7669798793001138	0.5940139263392145
utf1398	0.6202787666938898	0.5876585859958908	0.5991968510332529	0.6215919373546336	0.0	0.622344617141853	0.6389399176887202	0.6662383280297353	0.6094626260191451	0.6524434926874195	0.6774723838261124	0.7078784424802249	0.5937871905752418	0.6553039713538809	0.7051561558714394	0.6614656343209548	0.63280760172161	0.6834049385707995	0.5545896987149653	0.6730075366527146	0.6811125245971684	0.6416096358431486	0.6655460408044835	0.6624406520938884	0.7754636592768661	0.6401052769546077
utf1406	0.5393666657292862	0.563918561219165	0.5571710490470984	0.5704891843312832	0.622344617141853	0.0	0.5170448054254132	0.5132466389805873	0.6704268433438568	0.509017723484165	0.5398977536649356	0.6679127763442261	0.5636295544008191	0.5377763134754814	0.5796415170712739	0.512542892194453	0.5896764592666223	0.5330716278472261	0.5300206227307953	0.6685402900451477	0.5024789804469102	0.4743256001418421	0.49844363184082013	0.4735557275831728	0.7008935466352559	0.6560422590444496
utf1414	0.47589104225258033	0.3407919359019137	0.40016111074114474	0.641457748205086	0.6389399176887202	0.5170448054254132	0.0	0.3804646675607649	0.7007339048893251	0.3431846864515579	0.3733600556712388	0.5449241550487621	0.41404826313501947	0.21426369062700598	0.33104887127856314	0.37002357880590014	0.5605289137801357	0.31891057715455506	0.6585026868420141	0.534398501203805	0.5000082114968072	0.28348819630782285	0.43034820699183735	0.3982824488949581	0.5758703142562849	0.6078490201453525
utf392	0.47835795344940835	0.39921893866945873	0.4844115196654924	0.6188952331098593	0.6662383280297353	0.5132466389805873	0.3804646675607649	0.0	0.6221087328446315	0.17110911886934163	0.17959871891100376	0.5479881284334142	0.4596211029935691	0.39552241422349543	0.4128098183495296	0.2648376994259382	0.6178714393840029	0.32549317877029926	0.5902150887477946	0.5875681278742811	0.3172352584434452	0.23380589242646546	0.42362747866523054	0.19657770690768553	0.5513297238426363	0.574497816494467
utf398	0.6043832725312535	0.6223471357158596	0.641742704212627	0.6949239640663091	0.6094626260191451	0.6704268433438568	0.7007339048893251	0.6221087328446315	0.0	0.6181170531210428	0.651880275087139	0.7303010866326581	0.6090842686627803	0.678868888848418	0.6822611588331657	0.6257036573556618	0.6589022448021354	0.6448205630370204	0.5163838712183859	0.6554367721016338	0.666129903158932	0.6366406693985144	0.6598091897131763	0.6264136863242734	0.7352570268038278	0.6582596420231946
utf408	0.4855070735590986	0.41872322108988647	0.4571706373056798	0.5918033004925157	0.6524434926874195	0.509017723484165	0.3431846864515579	0.17110911886934163	0.6181170531210428	0.0	0.22619501650401078	0.5468394188725669	0.4655112974150283	0.38657063879777215	0.431528300666318	0.33884495880627563	0.5850808711962011	0.2848163215574964	0.571672999602883	0.6021429470740167	0.34294298348121277	0.10194270534651824	0.44547277049012296	0.22621172392385602	0.5481278911452914	0.5534278363914579
