	ec1058	ec1063	ec1065	ec1073	ec1075	ec1078	ec1081	ec1082	ec1083	ec1084	ec1085	ec1086	ec1089	ec1091	ec1092	ec1094	ec1098	ec1100	ec1102	ec1105	ec1108	ec1109	ec1110	ec1113	ec1114	ec1116	ec1118	ec1122	ec1124	ec1129	ec1130	ec1132	ec1133	ec1138	ec1139	ec1140	ec1141	ec1149
ec1109	0.804	0.846	0.838	0.79	0.764	0.726	0.934	0.808	0.93	0.834	0.69	0.678	0.822	0.864	0.838	0.738	0.792	0.802	0.9	0.874	0.666	0.0	0.846	0.91	0.716	0.8	0.874	0.82	0.876	0.946	0.76	0.788	0.66	0.938	0.776	0.82	0.69	0.728
ec1110	0.826	0.712	0.874	0.834	0.774	0.84	0.958	0.776	0.924	0.894	0.8	0.762	0.848	0.788	0.916	0.818	0.794	0.856	0.704	0.886	0.858	0.846	0.0	0.96	0.84	0.886	0.744	0.802	0.936	0.966	0.79	0.896	0.85	0.806	0.792	0.898	0.856	0.834
ec1113	0.904	0.958	0.862	0.866	0.904	0.89	0.932	0.946	0.954	0.842	0.916	0.946	0.926	0.952	0.806	0.932	0.92	0.8	0.976	0.962	0.888	0.91	0.96	0.0	0.942	0.874	0.97	0.938	0.874	0.754	0.918	0.87	0.894	0.978	0.894	0.872	0.89	0.946
ec1114	0.796	0.86	0.826	0.81	0.674	0.756	0.93	0.756	0.948	0.86	0.688	0.714	0.826	0.878	0.882	0.782	0.714	0.834	0.892	0.872	0.764	0.716	0.84	0.942	0.0	0.796	0.89	0.762	0.892	0.94	0.772	0.828	0.726	0.926	0.788	0.84	0.73	0.752
ec1116	0.836	0.888	0.806	0.838	0.798	0.83	0.856	0.862	0.864	0.824	0.846	0.84	0.858	0.9	0.78	0.828	0.85	0.806	0.924	0.892	0.784	0.8	0.886	0.874	0.796	0.0	0.876	0.858	0.766	0.886	0.854	0.758	0.808	0.946	0.816	0.756	0.818	0.86
ec1118	0.904	0.792	0.918	0.896	0.882	0.916	0.926	0.862	0.942	0.928	0.85	0.852	0.896	0.832	0.93	0.848	0.862	0.908	0.758	0.894	0.89	0.874	0.744	0.97	0.89	0.876	0.0	0.816	0.92	0.964	0.874	0.908	0.898	0.816	0.868	0.896	0.882	0.892
ec1122	0.84	0.8	0.882	0.826	0.792	0.886	0.946	0.774	0.936	0.912	0.792	0.782	0.824	0.804	0.918	0.826	0.718	0.894	0.832	0.848	0.83	0.82	0.802	0.938	0.762	0.858	0.816	0.0	0.93	0.948	0.804	0.878	0.85	0.864	0.8	0.894	0.804	0.798
ec1124	0.874	0.94	0.892	0.896	0.894	0.85	0.802	0.922	0.808	0.782	0.884	0.9	0.908	0.942	0.74	0.9	0.912	0.798	0.962	0.946	0.876	0.876	0.936	0.874	0.892	0.766	0.92	0.93	0.0	0.846	0.924	0.872	0.904	0.98	0.872	0.78	0.87	0.91
ec1129	0.89	0.962	0.874	0.916	0.884	0.904	0.95	0.956	0.95	0.812	0.934	0.952	0.938	0.944	0.816	0.954	0.924	0.872	0.972	0.964	0.896	0.946	0.966	0.754	0.94	0.886	0.964	0.948	0.846	0.0	0.924	0.882	0.93	0.968	0.896	0.87	0.936	0.954
ec1130	0.796	0.832	0.822	0.76	0.728	0.794	0.944	0.768	0.904	0.886	0.738	0.742	0.82	0.83	0.872	0.778	0.692	0.852	0.842	0.872	0.766	0.76	0.79	0.918	0.772	0.854	0.874	0.804	0.924	0.924	0.0	0.812	0.78	0.886	0.758	0.846	0.806	0.764
ec1132	0.798	0.88	0.814	0.764	0.808	0.806	0.906	0.872	0.902	0.8	0.838	0.812	0.824	0.824	0.84	0.834	0.848	0.802	0.894	0.888	0.77	0.788	0.896	0.87	0.828	0.758	0.908	0.878	0.872	0.882	0.812	0.0	0.762	0.914	0.778	0.76	0.85	0.822
ec1133	0.792	0.852	0.812	0.796	0.752	0.71	0.926	0.824	0.928	0.824	0.714	0.7	0.846	0.868	0.828	0.762	0.8	0.8	0.892	0.9	0.702	0.66	0.85	0.894	0.726	0.808	0.898	0.85	0.904	0.93	0.78	0.762	0.0	0.934	0.782	0.804	0.694	0.698
ec1138	0.934	0.852	0.962	0.916	0.924	0.96	0.968	0.904	0.938	0.974	0.91	0.886	0.94	0.798	0.96	0.898	0.894	0.952	0.766	0.922	0.926	0.938	0.806	0.978	0.926	0.946	0.816	0.864	0.98	0.968	0.886	0.914	0.934	0.0	0.888	0.954	0.956	0.926
ec1139	0.766	0.812	0.834	0.726	0.734	0.794	0.936	0.79	0.868	0.814	0.764	0.774	0.8	0.772	0.828	0.834	0.75	0.82	0.862	0.944	0.786	0.776	0.792	0.894	0.788	0.816	0.868	0.8	0.872	0.896	0.758	0.778	0.782	0.888	0.0	0.756	0.826	0.8
ec1140	0.85	0.914	0.832	0.812	0.824	0.814	0.812	0.882	0.672	0.8	0.846	0.852	0.862	0.852	0.808	0.878	0.874	0.83	0.89	0.946	0.816	0.82	0.898	0.872	0.84	0.756	0.896	0.894	0.78	0.87	0.846	0.76	0.804	0.954	0.756	0.0	0.846	0.868
ec1141	0.798	0.852	0.826	0.788	0.758	0.67	0.922	0.818	0.938	0.816	0.718	0.732	0.792	0.898	0.826	0.78	0.792	0.804	0.91	0.878	0.73	0.69	0.856	0.89	0.73	0.818	0.882	0.804	0.87	0.936	0.806	0.85	0.694	0.956	0.826	0.846	0.0	0.66
ec1149	0.786	0.86	0.83	0.798	0.756	0.716	0.936	0.808	0.936	0.858	0.714	0.7	0.812	0.892	0.892	0.79	0.758	0.838	0.848	0.88	0.764	0.728	0.834	0.946	0.752	0.86	0.892	0.798	0.91	0.954	0.764	0.822	0.698	0.926	0.8	0.868	0.66	0.0
