Feature.ID,kingdom,phylum,class,order,family,genus,species
766bf8620f649b96c39162de86678bf6,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae], g__Anaerococcus, s__
44f06c206befca9afd443075f9a05c77,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Kocuria, s__
07d808de773642ac1209729b2d4964a7,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,NA,NA
2d65d71c7a597ef22a3b060ff148df52,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__Candidatus Xiphinematobacter, s__
2f8b6bdeaf45df04b35af424703cd7d2,k__Bacteria, p__Acidobacteria, c__Solibacteres, o__Solibacterales, f__Solibacteraceae, g__Candidatus Solibacter, s__
0090058210a06d32723e1f13b454f214,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae, g__Rhodoplanes, s__
e163fc63c61169c52f44438539056ea5,k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Acidobacteriaceae, g__, s__
7aa69942e9d1a87550da3cfbfc0cc995,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__, s__
55e6a14d83ddf96e58b48fe0a03d5db8,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Providencia, s__
ba9bd405a79e1afe4bc2a6127ffeb0bd,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__delbrueckii
4d93e60a58dd866b2f6b94d1e3213243,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Burkholderiaceae, g__, s__
9888128c246916041370b8b47ed620cb,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae,NA,NA
aad40cb31b4da33ee376bac11dcb2c0c,k__Bacteria, p__Cyanobacteria, c__Chloroplast, o__, f__, g__, s__
89a3d58984672ccd6e0c85ca6c6529d0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__Aeromicrobium, s__
11d5420b3f1f8d6f0bd6ef6515baf609,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Bradyrhizobiaceae, g__, s__
442a64df8ffa7413b925954e08970d60,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Haliangiaceae, g__, s__
ebe77937fd7bee27d686bc09ff4d95c8,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Dyella,NA
0b1e9e161ca1db82f51588a1d34f7ece,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae, g__Zoogloea, s__
6c543db4e9d3352b39713074d98bbe8b,k__Bacteria, p__Gemmatimonadetes, c__Gemm-5, o__, f__, g__, s__
5046467ed6686d3bb20089415ae7e1a9,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__SC-I-84, f__, g__, s__
0b07095c28ad57693fda70878cf5bc6b,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae,NA,NA
39819e298f9b9bd2a71c8fa3564e14b5,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Microbispora, s__rosea
b923f29b97f9082b4034e71288d8e5c7,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium,NA
c4bde9c8f82074aed3e916df31289247,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Lentibacillus, s__
f5f75a66a3ff9edc8bed0ba72ca8b2ff,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__
7eb06a4cfb92c9ed71a729fe89fc412a,k__Bacteria, p__[Thermi], c__Deinococci, o__Deinococcales, f__Deinococcaceae, g__Deinococcus, s__
4ed4727e2b39234d4c42e9dcfb8ce5b1,k__Bacteria, p__Acidobacteria, c__Acidobacteria-6, o__iii1-15, f__mb2424, g__, s__
4fa0dc2a3eece135d002ee5d54c39b4e,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__Marmoricola, s__bigeumensis
47a6c09590c23aba7f0635ad6c892ce5,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae,NA,NA
c333a68737e9dede4c65fd5bfc326df7,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus,NA
f02924c9b06b622afe739fea4830309c,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter, s__
47428fdb2710c0c3fe2d325e7e9e284d,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Luteimonas, s__
9f6bc41a797b3f2aec0b652d721b7fbc,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Leuconostocaceae, g__Fructobacillus, s__
7f1a3506332710d30e6e6625ddc5e92a,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter, s__
02504605ea520b9bde742c7f781302eb,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__[Prevotella], s__
51b3aedf685962f2864ba30023c2fc4f,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Sphingobacteriaceae, g__Pedobacter,NA
dfdb6bd27bc6b6bbfb6905ba9fc3422d,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales,NA,NA,NA
8862eb8451626f9cba69b6f0703ce1b5,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__fragi
4f493e1a82cb3292fe46b8c0fe979a90,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhodobiaceae, g__Afifella, s__
2e80416264ad45cac4628390105d5c53,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae, g__, s__
1b4f3b502bf3306d9d693cdefebb61eb,k__Bacteria, p__Planctomycetes, c__Phycisphaerae, o__WD2101, f__, g__, s__
768e6f2f83e9857b6f4ade8065f35275,k__Bacteria, p__Gemmatimonadetes, c__Gemmatimonadetes, o__, f__, g__, s__
785ce17dc69924bf102e575151ae2f6f,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae,NA,NA
7255a6f03b2e1c72f64d1441dc9fa7a0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__[Prevotella], s__tannerae
55275ac5961dfd7cc71d648177a85644,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,NA,NA
2f5b587b35cd65eba036494b921adec8,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Rhodobacter, s__
d233e5cebaa4509a45fb9b01cdad2420,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__, s__
4594bf3351facbd56d98e60a435342fa,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae,NA,NA
b2db08b684f3eb6e924686f789890d09,k__Bacteria,NA,NA,NA,NA,NA,NA
56c144f0566133caab643b02671965f9,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,NA
6b8ae0a53ddca76630f86a5d2814b568,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconobacter, s__
fd1e7559bc43f9799a8174464b6681e3,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Xanthomonas, s__campestris
82266f004abac8ae49dd2cc5bf1e12dc,k__Bacteria, p__Cyanobacteria, c__4C0d-2, o__MLE1-12, f__, g__, s__
01495fa81644d60d39f2f2a5a44949e4,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__ochracea
d55d1c70b9e45906dbb0f82cea16d86c,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,NA,NA
0a90c555dc4132735d5ef889b84dbed4,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Nostocales, f__Nostocaceae,NA,NA
86bab942815f182ecc5df21debe053e3,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Alicyclobacillaceae, g__Alicyclobacillus, s__
f4579c538a9b56b552182d583877cc0d,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,NA,NA
25e30480179a528e88fa98d2fef2c094,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylobacteriaceae, g__, s__
aeca36fe8336ac73514f3d1f17662807,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
64c7ebaafd710ada381e24e5993853b4,k__Bacteria, p__Acidobacteria, c__Sva0725, o__Sva0725, f__, g__, s__
72f3156009c47882785ee41faaf951d7,k__Bacteria,NA,NA,NA,NA,NA,NA
08ae41a113f764585ef309875520813f,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__
e70a47f9707556bcc403c45f063ec287,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__Pasteurellaceae, g__Aggregatibacter, s__
1ff5a99e68614074f48018baa2bcd278,k__Bacteria, p__[Thermi], c__Deinococci, o__Deinococcales, f__Deinococcaceae, g__Deinococcus, s__
0a964546b3e410e0f50013be484579cf,k__Bacteria, p__Chloroflexi, c__Thermomicrobia, o__JG30-KF-CM45, f__, g__, s__
4ef2683471164f0eede74a0b685e3afe,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae,NA,NA
b49ebee2fd74a8a009d6222a83fda227,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Agrobacterium, s__
118b073c7c7cfc00c1bdd5563e8fa501,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Glycomycetaceae, g__Glycomyces, s__
c878189f638d1aeda8797b60976b2dfa,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae,NA,NA
4cc4ed6391945071b14696565e83b8f3,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
fb3748e2963bad6e206d4b72bdd24737,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__succinicans
291278b23aae102685ad953167406aab,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae,NA,NA
87b565d41d9b9b03c8487fc7a8831f8e,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Pediococcus, s__
0b49ddccb3ced63d2b8547b2a5a1baad,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae, g__Halomonas,NA
8df09c9b67ec3e03baf812f858c16d27,k__Bacteria, p__Planctomycetes, c__Phycisphaerae, o__WD2101, f__, g__, s__
5d4b21ff6abf5f08f9f3b99221292e5c,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
8cb965c2a5ff148877bfb0f83325b14a,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__Chthoniobacter, s__
87d0b5e3a0463811e3243d69c5f38d2c,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Sporocytophaga, s__
c09538cbe684145d2beef5a6a32ad00f,k__Archaea, p__Crenarchaeota, c__Thaumarchaeota, o__Nitrososphaerales, f__Nitrososphaeraceae, g__Candidatus Nitrososphaera, s__SCA1170
0fcb6f69df9acacd75a552fd0f9f673e,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__brevis
076df47f8409c64ca2d5b8093c3669cc,k__Bacteria, p__Planctomycetes, c__Phycisphaerae, o__WD2101, f__, g__, s__
f5ffab81b1fccdc0b7aa54e4d819a0ab,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter, s__johnsonii
