	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1369	ec1372	ec1382	ec1384	ec1385	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti110	eti112	eti122	eti124	eti126
ec1404	0.982	0.82	0.748	0.834	0.658	0.676	0.688	0.338	0.602	0.706	0.768	0.802	0.712	0.514	0.804	0.718	0.7	0.944	0.64	0.82	0.918	0.694	0.0	0.578	0.798	0.736	0.544	0.758	0.778	0.514	0.666	0.79	0.784	0.612	0.8	0.754
ec1412	0.974	0.798	0.742	0.616	0.398	0.604	0.664	0.54	0.608	0.588	0.842	0.576	0.688	0.508	0.602	0.528	0.544	0.914	0.698	0.61	0.926	0.578	0.578	0.0	0.628	0.57	0.778	0.586	0.516	0.866	0.496	0.538	0.562	0.524	0.572	0.464
ec1416	0.952	0.89	0.864	0.402	0.572	0.752	0.872	0.62	0.806	0.858	0.87	0.328	0.872	0.74	0.486	0.47	0.894	0.91	0.854	0.156	0.924	0.658	0.798	0.628	0.0	0.924	0.862	0.212	0.188	0.846	0.256	0.268	0.432	0.642	0.356	0.518
ec1417	0.99	0.45	0.73	0.912	0.65	0.816	0.578	0.802	0.706	0.642	0.866	0.894	0.726	0.752	0.92	0.836	0.64	0.992	0.82	0.906	0.962	0.81	0.736	0.57	0.924	0.0	0.74	0.896	0.808	0.922	0.798	0.854	0.886	0.844	0.864	0.794
ec1419	0.98	0.76	0.818	0.894	0.82	0.76	0.796	0.588	0.782	0.832	0.816	0.868	0.814	0.71	0.864	0.812	0.79	0.984	0.822	0.88	0.97	0.812	0.544	0.778	0.862	0.74	0.0	0.834	0.866	0.654	0.834	0.852	0.87	0.714	0.878	0.814
ec1428	0.99	0.878	0.864	0.428	0.61	0.708	0.862	0.636	0.784	0.83	0.852	0.268	0.888	0.692	0.466	0.372	0.814	0.906	0.752	0.236	0.944	0.646	0.758	0.586	0.212	0.896	0.834	0.0	0.22	0.848	0.19	0.25	0.422	0.644	0.342	0.48
ec1430	0.984	0.854	0.804	0.418	0.532	0.656	0.832	0.584	0.726	0.752	0.87	0.286	0.792	0.696	0.498	0.392	0.792	0.914	0.788	0.188	0.956	0.594	0.778	0.516	0.188	0.808	0.866	0.22	0.0	0.874	0.214	0.21	0.372	0.606	0.304	0.448
ec1433	0.986	0.9	0.88	0.872	0.816	0.824	0.892	0.566	0.828	0.868	0.84	0.892	0.86	0.758	0.878	0.87	0.874	0.972	0.858	0.854	0.934	0.848	0.514	0.866	0.846	0.922	0.654	0.848	0.874	0.0	0.86	0.854	0.874	0.72	0.888	0.87
ec1436	0.982	0.856	0.826	0.464	0.568	0.698	0.746	0.628	0.746	0.792	0.86	0.306	0.814	0.666	0.534	0.352	0.774	0.914	0.762	0.254	0.932	0.66	0.666	0.496	0.256	0.798	0.834	0.19	0.214	0.86	0.0	0.298	0.45	0.678	0.312	0.468
eti110	1.0	0.86	0.828	0.384	0.572	0.63	0.872	0.574	0.7	0.798	0.854	0.252	0.822	0.7	0.452	0.372	0.796	0.92	0.772	0.282	0.96	0.602	0.79	0.538	0.268	0.854	0.852	0.25	0.21	0.854	0.298	0.0	0.302	0.594	0.3	0.44
eti112	1.0	0.872	0.846	0.472	0.602	0.676	0.902	0.614	0.726	0.826	0.872	0.388	0.856	0.684	0.292	0.414	0.838	0.92	0.78	0.44	0.958	0.608	0.784	0.562	0.432	0.886	0.87	0.422	0.372	0.874	0.45	0.302	0.0	0.574	0.438	0.384
eti122	0.996	0.868	0.858	0.598	0.582	0.694	0.888	0.462	0.58	0.788	0.842	0.586	0.804	0.556	0.62	0.65	0.68	0.918	0.778	0.682	0.948	0.574	0.612	0.524	0.642	0.844	0.714	0.644	0.606	0.72	0.678	0.594	0.574	0.0	0.624	0.448
eti124	0.996	0.872	0.832	0.33	0.596	0.734	0.88	0.604	0.746	0.81	0.858	0.272	0.846	0.76	0.528	0.436	0.834	0.916	0.83	0.336	0.966	0.65	0.8	0.572	0.356	0.864	0.878	0.342	0.304	0.888	0.312	0.3	0.438	0.624	0.0	0.45
eti126	0.994	0.832	0.842	0.462	0.542	0.694	0.818	0.578	0.706	0.742	0.9	0.462	0.806	0.65	0.442	0.432	0.608	0.916	0.828	0.502	0.962	0.672	0.754	0.464	0.518	0.794	0.814	0.48	0.448	0.87	0.468	0.44	0.384	0.448	0.45	0.0
