	ec1306	ec1322	ec1350	ec1354	ec1364	ec1367	ec1369	ec1385	ec1386	ec1388	ec1398	ec1401	ec1404	ec1416	ec1417	ec1419	ec1430	ec1433	eti104	eti110	eti112	eti122	eti126
ec1306	0.0	0.534	0.654	0.842	0.43	0.834	0.878	0.892	0.89	0.87	0.452	0.842	0.83	0.378	0.898	0.886	0.398	0.886	0.68	0.376	0.496	0.57	0.446
ec1322	0.534	0.0	0.504	0.478	0.628	0.486	0.716	0.524	0.89	0.762	0.604	0.87	0.638	0.494	0.622	0.774	0.542	0.792	0.594	0.526	0.588	0.546	0.536
ec1350	0.654	0.504	0.0	0.74	0.65	0.724	0.706	0.742	0.898	0.796	0.684	0.972	0.354	0.638	0.77	0.624	0.632	0.536	0.658	0.586	0.65	0.444	0.56
ec1354	0.842	0.478	0.74	0.0	0.886	0.526	0.772	0.476	0.946	0.772	0.854	0.918	0.73	0.846	0.62	0.814	0.784	0.866	0.784	0.782	0.842	0.808	0.788
ec1364	0.43	0.628	0.65	0.886	0.0	0.79	0.9	0.9	0.896	0.852	0.264	0.972	0.834	0.268	0.924	0.91	0.256	0.914	0.678	0.266	0.46	0.61	0.496
ec1367	0.834	0.486	0.724	0.526	0.79	0.0	0.738	0.426	0.966	0.672	0.874	0.936	0.714	0.842	0.61	0.784	0.782	0.87	0.648	0.758	0.832	0.796	0.784
ec1369	0.878	0.716	0.706	0.772	0.9	0.738	0.0	0.746	0.99	0.808	0.9	0.97	0.71	0.85	0.736	0.768	0.838	0.834	0.768	0.804	0.87	0.78	0.804
ec1385	0.892	0.524	0.742	0.476	0.9	0.426	0.746	0.0	0.984	0.734	0.89	0.97	0.714	0.89	0.588	0.762	0.84	0.872	0.81	0.802	0.872	0.714	0.656
ec1386	0.89	0.89	0.898	0.946	0.896	0.966	0.99	0.984	0.0	0.986	0.892	0.99	0.932	0.888	0.99	0.982	0.89	0.972	0.898	0.896	0.896	0.894	0.894
ec1388	0.87	0.762	0.796	0.772	0.852	0.672	0.808	0.734	0.986	0.0	0.876	0.932	0.666	0.848	0.798	0.812	0.798	0.852	0.716	0.758	0.77	0.778	0.856
ec1398	0.452	0.604	0.684	0.854	0.264	0.874	0.9	0.89	0.892	0.876	0.0	0.954	0.84	0.174	0.914	0.886	0.184	0.87	0.738	0.264	0.496	0.668	0.512
ec1401	0.842	0.87	0.972	0.918	0.972	0.936	0.97	0.97	0.99	0.932	0.954	0.0	0.918	0.912	0.958	0.97	0.956	0.952	0.948	0.962	0.968	0.92	0.964
ec1404	0.83	0.638	0.354	0.73	0.834	0.714	0.71	0.714	0.932	0.666	0.84	0.918	0.0	0.788	0.728	0.562	0.796	0.508	0.746	0.774	0.802	0.604	0.768
ec1416	0.378	0.494	0.638	0.846	0.268	0.842	0.85	0.89	0.888	0.848	0.174	0.912	0.788	0.0	0.914	0.844	0.158	0.828	0.696	0.246	0.456	0.614	0.5
ec1417	0.898	0.622	0.77	0.62	0.924	0.61	0.736	0.588	0.99	0.798	0.914	0.958	0.728	0.914	0.0	0.686	0.828	0.902	0.81	0.824	0.888	0.818	0.798
ec1419	0.886	0.774	0.624	0.814	0.91	0.784	0.768	0.762	0.982	0.812	0.886	0.97	0.562	0.844	0.686	0.0	0.82	0.684	0.86	0.848	0.878	0.694	0.796
ec1430	0.398	0.542	0.632	0.784	0.256	0.782	0.838	0.84	0.89	0.798	0.184	0.956	0.796	0.158	0.828	0.82	0.0	0.876	0.686	0.2	0.408	0.578	0.466
ec1433	0.886	0.792	0.536	0.866	0.914	0.87	0.834	0.872	0.972	0.852	0.87	0.952	0.508	0.828	0.902	0.684	0.876	0.0	0.83	0.85	0.868	0.73	0.858
eti104	0.68	0.594	0.658	0.784	0.678	0.648	0.768	0.81	0.898	0.716	0.738	0.948	0.746	0.696	0.81	0.86	0.686	0.83	0.0	0.556	0.61	0.668	0.73
eti110	0.376	0.526	0.586	0.782	0.266	0.758	0.804	0.802	0.896	0.758	0.264	0.962	0.774	0.246	0.824	0.848	0.2	0.85	0.556	0.0	0.362	0.564	0.454
eti112	0.496	0.588	0.65	0.842	0.46	0.832	0.87	0.872	0.896	0.77	0.496	0.968	0.802	0.456	0.888	0.878	0.408	0.868	0.61	0.362	0.0	0.57	0.376
eti122	0.57	0.546	0.444	0.808	0.61	0.796	0.78	0.714	0.894	0.778	0.668	0.92	0.604	0.614	0.818	0.694	0.578	0.73	0.668	0.564	0.57	0.0	0.42
eti126	0.446	0.536	0.56	0.788	0.496	0.784	0.804	0.656	0.894	0.856	0.512	0.964	0.768	0.5	0.798	0.796	0.466	0.858	0.73	0.454	0.376	0.42	0.0
