	ec1249	ec1257	ec1265	ec1298	ec1314	ec1330	ec1349	ec1356	ec1368	ec1380	ec1392	ec1396	ec1400	ec1408	ec1411	ec1420	ec1424	ec1427	ec1435	eti481	eti482	eti483	eti484	eti485	eti486	eti487	eti488	eti489	eti490	eti502	eti503	eti505	eti507	eti508	eti509	eti510	eti536	eti537	eti542
ec1249	0.0	0.6165680473372781	0.663905325443787	0.8071005917159764	0.7053254437869823	0.7420118343195267	0.6698224852071006	0.7846153846153846	0.685207100591716	0.7384615384615385	0.5727810650887574	0.8473372781065088	0.5005917159763313	0.8781065088757396	0.7727810650887574	0.855621301775148	0.6355029585798817	0.8071005917159764	0.8674556213017751	0.8781065088757396	0.821301775147929	0.8532544378698225	0.8958579881656805	0.8757396449704142	0.7455621301775148	0.8875739644970414	0.7976331360946746	0.9041420118343195	0.9562130177514793	0.6982248520710059	0.5254437869822485	0.8189349112426035	0.7017751479289941	0.693491124260355	0.7869822485207101	0.6284023668639053	0.7384615384615385	0.9680473372781065	0.927810650887574
ec1257	0.6165680473372781	0.0	0.5597633136094674	0.8887573964497042	0.850887573964497	0.8319526627218935	0.6733727810650888	0.7763313609467456	0.5668639053254438	0.8224852071005917	0.4011834319526627	0.8840236686390532	0.5644970414201184	0.9337278106508876	0.8047337278106509	0.8958579881656805	0.5550295857988166	0.7869822485207101	0.8520710059171598	0.808284023668639	0.527810650887574	0.6994082840236686	0.6165680473372781	0.9041420118343195	0.5325443786982249	0.6544378698224852	0.7928994082840237	0.8615384615384616	0.9751479289940829	0.7171597633136094	0.659171597633136	0.8035502958579882	0.7597633136094675	0.7479289940828402	0.757396449704142	0.5538461538461539	0.8142011834319527	1.0	0.914792899408284
ec1265	0.663905325443787	0.5597633136094674	0.0	0.9041420118343195	0.9491124260355029	0.8946745562130177	0.7810650887573964	0.8449704142011835	0.5136094674556213	0.8497041420118343	0.4485207100591716	0.8615384615384616	0.7396449704142012	0.9609467455621302	0.8035502958579882	0.8733727810650888	0.6118343195266273	0.7029585798816568	0.8	0.9112426035502958	0.8497041420118343	0.9881656804733728	0.9207100591715977	0.9751479289940829	0.8568047337278106	0.9538461538461539	0.9301775147928995	0.9289940828402367	0.9727810650887574	0.7005917159763314	0.7313609467455622	0.7124260355029586	0.8260355029585799	0.8485207100591716	0.663905325443787	0.47455621301775147	0.8852071005917159	1.0	0.9775147928994082
ec1298	0.8071005917159764	0.8887573964497042	0.9041420118343195	0.0	0.8473372781065088	0.8331360946745562	0.8236686390532545	0.9136094674556213	0.8899408284023669	0.850887573964497	0.8674556213017751	0.8982248520710059	0.8982248520710059	0.9420118343195266	0.8698224852071006	0.9053254437869822	0.8769230769230769	0.8911242603550296	0.9420118343195266	0.9124260355029585	0.8911242603550296	0.936094674556213	0.9455621301775148	0.9124260355029585	0.8828402366863906	0.9479289940828403	0.9029585798816568	0.9455621301775148	0.9834319526627219	0.8698224852071006	0.8473372781065088	0.9053254437869822	0.901775147928994	0.8769230769230769	0.8958579881656805	0.8473372781065088	0.8887573964497042	0.978698224852071	0.9289940828402367
ec1314	0.7053254437869823	0.850887573964497	0.9491124260355029	0.8473372781065088	0.0	0.5715976331360947	0.5455621301775148	0.8449704142011835	0.855621301775148	0.45207100591715976	0.6757396449704142	0.5360946745562131	0.5337278106508876	0.5538461538461539	0.506508875739645	0.5633136094674556	0.8698224852071006	0.8899408284023669	0.9491124260355029	0.8355029585798817	0.834319526627219	0.7183431952662722	0.9041420118343195	0.8911242603550296	0.6497041420118344	0.8331360946745562	0.659171597633136	0.9384615384615385	0.9846153846153847	0.5218934911242603	0.5857988165680473	0.5893491124260355	0.506508875739645	0.6331360946745562	0.9491124260355029	0.9100591715976332	0.8579881656804734	0.9656804733727811	0.8059171597633136
ec1330	0.7420118343195267	0.8319526627218935	0.8946745562130177	0.8331360946745562	0.5715976331360947	0.0	0.7254437869822485	0.8497041420118343	0.834319526627219	0.7881656804733728	0.6840236686390533	0.8248520710059172	0.6792899408284023	0.8189349112426035	0.7408284023668639	0.7976331360946746	0.834319526627219	0.8236686390532545	0.5136094674556213	0.8745562130177514	0.8627218934911243	0.8686390532544379	0.9550295857988166	0.8994082840236687	0.6958579881656805	0.8840236686390532	0.7207100591715976	0.8982248520710059	0.9751479289940829	0.7408284023668639	0.6698224852071006	0.7775147928994083	0.7207100591715976	0.7692307692307693	0.8994082840236687	0.855621301775148	0.9372781065088758	0.9976331360946745	0.8875739644970414
ec1349	0.6698224852071006	0.6733727810650888	0.7810650887573964	0.8236686390532545	0.5455621301775148	0.7254437869822485	0.0	0.642603550295858	0.7431952662721893	0.5289940828402366	0.6177514792899408	0.5857988165680473	0.5846153846153846	0.5633136094674556	0.47455621301775147	0.5905325443786982	0.7857988165680473	0.7834319526627219	0.8260355029585799	0.8579881656804734	0.8236686390532545	0.7562130177514793	0.9124260355029585	0.9005917159763314	0.6497041420118344	0.8674556213017751	0.736094674556213	0.8982248520710059	0.9680473372781065	0.4650887573964497	0.5254437869822485	0.5538461538461539	0.49467455621301776	0.5360946745562131	0.7917159763313609	0.7289940828402367	0.8579881656804734	0.9976331360946745	0.8485207100591716
ec1356	0.7846153846153846	0.7763313609467456	0.8449704142011835	0.9136094674556213	0.8449704142011835	0.8497041420118343	0.642603550295858	0.0	0.8390532544378698	0.8437869822485207	0.7562130177514793	0.8568047337278106	0.8591715976331361	0.8958579881656805	0.8224852071005917	0.8840236686390532	0.8390532544378698	0.893491124260355	0.8224852071005917	0.9159763313609467	0.8958579881656805	0.914792899408284	0.9337278106508876	0.9585798816568047	0.8118343195266272	0.9041420118343195	0.8710059171597633	0.8994082840236687	0.978698224852071	0.7644970414201183	0.7455621301775148	0.8662721893491124	0.7917159763313609	0.7455621301775148	0.9159763313609467	0.8	0.9218934911242603	0.9976331360946745	0.9230769230769231
ec1368	0.685207100591716	0.5668639053254438	0.5136094674556213	0.8899408284023669	0.855621301775148	0.834319526627219	0.7431952662721893	0.8390532544378698	0.0	0.7893491124260354	0.4260355029585799	0.8781065088757396	0.6402366863905326	0.9005917159763314	0.757396449704142	0.8390532544378698	0.6331360946745562	0.5751479289940828	0.8745562130177514	0.8887573964497042	0.7727810650887574	0.8804733727810651	0.8721893491124261	0.9893491124260355	0.6982248520710059	0.8449704142011835	0.8627218934911243	0.9242603550295858	0.9680473372781065	0.7775147928994083	0.6792899408284023	0.7431952662721893	0.8011834319526627	0.8378698224852071	0.7609467455621302	0.591715976331361	0.8958579881656805	1.0	0.9242603550295858
ec1380	0.7384615384615385	0.8224852071005917	0.8497041420118343	0.850887573964497	0.45207100591715976	0.7881656804733728	0.5289940828402366	0.8437869822485207	0.7893491124260354	0.0	0.6828402366863905	0.4236686390532544	0.5810650887573965	0.46153846153846156	0.3727810650887574	0.4366863905325444	0.8047337278106509	0.8201183431952662	0.9325443786982248	0.8615384615384616	0.7775147928994083	0.6911242603550296	0.9325443786982248	0.9550295857988166	0.7384615384615385	0.8887573964497042	0.7254437869822485	0.9337278106508876	0.9810650887573964	0.4284023668639053	0.6130177514792899	0.4437869822485207	0.35976331360946745	0.6260355029585799	0.8698224852071006	0.8165680473372781	0.7952662721893491	0.9857988165680474	0.7893491124260354
ec1392	0.5727810650887574	0.4011834319526627	0.4485207100591716	0.8674556213017751	0.6757396449704142	0.6840236686390533	0.6177514792899408	0.7562130177514793	0.4260355029585799	0.6828402366863905	0.0	0.7479289940828402	0.4556213017751479	0.8118343195266272	0.6165680473372781	0.744378698224852	0.4970414201183432	0.6556213017751479	0.850887573964497	0.8260355029585799	0.7656804733727811	0.8189349112426035	0.8757396449704142	0.8994082840236687	0.6118343195266273	0.8485207100591716	0.6958579881656805	0.9124260355029585	0.9562130177514793	0.5763313609467455	0.48520710059171596	0.6272189349112426	0.6177514792899408	0.685207100591716	0.714792899408284	0.48757396449704143	0.8579881656804734	0.9928994082840237	0.8781065088757396
ec1396	0.8473372781065088	0.8840236686390532	0.8615384615384616	0.8982248520710059	0.5360946745562131	0.8248520710059172	0.5857988165680473	0.8568047337278106	0.8781065088757396	0.4236686390532544	0.7479289940828402	0.0	0.693491124260355	0.6130177514792899	0.23668639053254437	0.11834319526627218	0.8414201183431953	0.8627218934911243	0.9159763313609467	0.9325443786982248	0.9266272189349113	0.8544378698224852	0.914792899408284	0.9751479289940829	0.7715976331360946	0.901775147928994	0.8011834319526627	0.9550295857988166	0.9810650887573964	0.42485207100591715	0.6863905325443787	0.2863905325443787	0.2556213017751479	0.693491124260355	0.9325443786982248	0.8840236686390532	0.9183431952662722	0.98698224852071	0.8532544378698225
ec1400	0.5005917159763313	0.5644970414201184	0.7396449704142012	0.8982248520710059	0.5337278106508876	0.6792899408284023	0.5846153846153846	0.8591715976331361	0.6402366863905326	0.5810650887573965	0.4556213017751479	0.693491124260355	0.0	0.6792899408284023	0.5940828402366863	0.6745562130177515	0.6804733727810651	0.8094674556213017	0.9372781065088758	0.8603550295857988	0.7562130177514793	0.808284023668639	0.8674556213017751	0.893491124260355	0.6059171597633136	0.7964497041420119	0.6674556213017752	0.9171597633136095	0.9585798816568047	0.5763313609467455	0.4662721893491124	0.659171597633136	0.5337278106508876	0.6828402366863905	0.8437869822485207	0.7076923076923077	0.8544378698224852	1.0	0.8852071005917159
