,m,m.ci,m.mle,maxLL,binoLL,poisLL,Rsqr,Rsqr.bino,Rsqr.pois,RMSE,RMSE.bino,RMSE.pois,AIC,BIC,AIC.bino,BIC.bino,AIC.pois,BIC.pois,N,Samples,Richness,Detect,i,j
2,0.0114187614928911,0.00324309699020975,0.0114203499379857,-47.9716736200818,36.3028218710146,36.2619465601559,0.44524842258311,-3.65232343569419,-3.64859072477009,0.160709240654997,0.465400157673758,0.465213417341705,-91.9433472401636,-86.4361668579509,76.6056437420291,82.1128241242419,76.5238931203118,82.0310735025245,500,35,116,0.002,mantel_starved_fruit_S,mantel_starved_fruit_F
3,0.0151243299911534,0.00626398271542563,0.0151463933704614,-23.9735784849242,19.6071453120628,19.5761047992532,-0.154379245543752,-2.9576216017437,-2.95488664744752,0.197645859239741,0.365957455298153,0.365830984150629,-43.9471569698484,-38.4399765876357,43.2142906241257,48.7214710063384,43.1522095985064,48.6593899807191,500,35,116,0.002,mantel_starved_fruit_F,mantel_starved_fruit_S
4,0.0141253378352372,0.00152886631019351,0.0141371092182902,-705.919655061621,-41.878371428635,-42.1194736694689,0.663929354481283,-5.85869919144522,-5.8524746972891,0.0608461460903807,0.274877165480654,0.274752407153361,-1407.83931012324,-1399.36657094283,-79.75674285727,-71.2840036768626,-80.2389473389378,-71.7662081585304,500,35,511,0.002,mantel_starved_fruit_F,mantel_starved_fruit_F
5,0.0164407687956513,0.00220876749640117,0.0164664041191827,-372.380522484237,-31.7468599188773,-31.8830148542469,0.734873791582438,-2.62572499338744,-2.62262408785397,0.072908410121155,0.269617903607412,0.269502583431795,-740.761044968473,-733.287900373515,-59.4937198377545,-52.0205752427962,-59.7660297084938,-52.2928851135355,500,38,310,0.002,mantel_starved_soil_St,mantel_starved_soil_St
6,0.213401271287563,0.0103918597128317,0.21340514275983,-5831.15753120979,-3129.55670131994,-3131.93179511444,0.725422564999953,-0.948673072935639,-0.946028982179511,0.0397917511852672,0.106005920727388,0.105933978331718,-11658.3150624196,-11646.1545875871,-6255.11340263988,-6242.95292780745,-6259.86359022888,-6247.70311539645,500,38,3230,0.002,mantel_starved_soil_So,mantel_starved_soil_So
7,0.0196163200890593,0.00446401222342775,0.0196329726311919,-119.093258808844,-6.70225685045969,-6.78071853014298,0.603886671732807,-1.54160935520723,-1.53918991868677,0.119451837462566,0.302578110852977,0.302434059834116,-234.186517617688,-227.938589658881,-9.40451370091938,-3.15658574211286,-9.56143706028595,-3.31350910147943,500,23,168,0.002,mantel_starved_unstarved_S,mantel_starved_unstarved_S
8,0.0187302343555921,0.0057556884851042,0.0187422190021361,-24.0105020756704,10.2055171498763,10.1859159981571,0.529854367666521,-2.29727823817815,-2.29487406567285,0.1712506930612,0.453517377862443,0.453352009222708,-44.0210041513408,-39.5819887409886,24.4110342997526,28.8500497101048,24.3718319963142,28.8108474066664,500,23,68,0.002,mantel_starved_unstarved_S,mantel_starved_unstarved_U
9,0.0203963658044095,0.00808005916213065,0.0204223310192933,-10.0292265617281,10.7013824373785,10.6768432318261,0.348527060219985,-1.76224804669115,-1.75964006852855,0.210342148213775,0.433121210325029,0.43291669621436,-16.0584531234563,-11.6194377131041,25.4027648747571,29.8417802851093,25.3536864636522,29.7927018740044,500,23,68,0.002,mantel_starved_unstarved_U,mantel_starved_unstarved_S
10,0.01769662354445,0.00399900462041207,0.017701464688426,-109.263049872123,7.44572052746333,7.38871711927833,0.598286906442902,-1.71008363804498,-1.70807557447889,0.124665818277191,0.323802908446406,0.323682923715174,-214.526099744246,-208.326366888598,18.8914410549267,25.091173910575,18.7774342385567,24.9771670942051,500,23,164,0.002,mantel_starved_unstarved_U,mantel_starved_unstarved_U
11,0.0152357069317356,0.00247965277996663,0.0152611220076626,-210.71804043478,-0.803806774330034,-0.887390474264902,0.695861936028162,-2.47021788101034,-2.46749822015762,0.0926585668302579,0.312988630401265,0.312865959462579,-417.436080869559,-410.657937409926,2.39238645133993,9.17052991097293,2.2252190514702,9.0033625111032,500,35,219,0.002,mantel_unstarved_fruit_U,mantel_unstarved_fruit_U
12,0.0133744897846933,0.00355321812564261,0.0133986311352162,-57.5222838671145,26.7040987071403,26.6660649579721,0.521473583423272,-3.72434312187967,-3.72071784081534,0.142012730372372,0.446215893079524,0.446044655678105,-111.044567734229,-105.698910065305,57.4081974142805,62.7538550832043,57.3321299159441,62.677787584868,500,35,107,0.002,mantel_unstarved_fruit_U,mantel_unstarved_fruit_F
13,0.0163271603049898,0.00545953648033483,0.0163517779948615,-44.872078508926,8.32021758384368,8.28633195939727,0.265699872672352,-2.72270391163289,-2.71982993168923,0.159835655061167,0.359886960363215,0.359748014635487,-85.7441570178521,-80.3984993489283,20.6404351676874,25.9860928366112,20.5726639187945,25.9183215877184,500,35,107,0.002,mantel_unstarved_fruit_F,mantel_unstarved_fruit_U
14,0.0138601564225048,0.00143008744359974,0.0138822147378975,-907.275947496087,-106.254134749413,-106.559721309739,0.624145413882254,-5.86440390989442,-5.85803441806127,0.0572370520914518,0.244606923880274,0.244493411955933,-1810.55189499217,-1801.66363247877,-208.508269498827,-199.620006985426,-209.119442619478,-200.231180106077,500,35,629,0.002,mantel_unstarved_fruit_F,mantel_unstarved_fruit_F
15,0.0162291840462273,0.002533363765338,0.0162546053246416,-232.613883542924,-6.81429386385804,-6.90567420086618,0.712246998472817,-2.18256670141508,-2.18003784645686,0.0897367968088749,0.298434748518117,0.29831615741792,-461.227767085848,-454.317124855132,-9.62858772771608,-2.71794549700068,-9.81134840173236,-2.90070617101696,500,36,234,0.002,mantel_unstarved_soil_U,mantel_unstarved_soil_U
16,0.190947220538706,0.137783844951326,0.190973712811651,1.40242058430583,7.83088896107073,7.81187178575813,-0.112515236383323,-0.52712082900456,-0.525894923614399,0.249918234678042,0.292807138969355,0.292689589031545,6.80484116861166,10.9599160564231,19.6617779221415,23.8168528099529,19.6237435715163,23.7788184593277,500,36,59,0.002,mantel_unstarved_soil_U,mantel_unstarved_soil_S
