location	MaxTemp	MinTemp	AvgTemp	MaxcDHI	AvgcDHI	MaxcDNI	AvgcDNI	MaxcGHI	AvgcGHI	MaxDP	MinDP	AvgDP	MaxDHI	AvgDHI	MaxFF	AvgFF	MaxRH	MinRH	AvgRH	MaxSZA	MinSZA	AvgSZA	MaxSA	MinSA	AvgSA	MaxPress	MinPress	AvgPres	MaxPW	MinPW	AvgPW	MaxWD	MinWD	AvgWD	MaxWS	MinWS	AvgWS	MaxUVO	AvgUVO	MaxUVI	AvgUVI
Etna, ME	18.6	6.8	12.5041666666667	90	31.9166666666667	79	12	258	63.3333333333333	15.8	6.8	11.6916666666667	237	58.2916666666667	7	0.916666666666667	100	82.14	95.1954166666667	143.8	53.66	97.2658333333333	0.13	0.13	0.13	1005	993	997.583333333333	3.4	2.7	3.15833333333333	197	95	171.75	0.2	0.1	0.1125	14.6882	3.39744583333333	11.5048	2.64817916666667
Bowdoin, ME	18.6	9.3	14.2541666666667	92	33.3333333333333	98	12	267	60.7083333333333	15.4	9.3	12.9875	218	56.0833333333333	7	0.916666666666667	100	80.4	92.4325	144.63	52.84	97.2091666666667	0.12	0.12	0.12	1008	996	1000.91666666667	3.5	2.9	3.23333333333333	200	129	179.291666666667	0.5	0.3	0.4	12.1303	2.33379583333333	9.5052	1.82337083333333
Wolpou, ME	13.1	6.8	9.83333333333333	78	29.2083333333333	847	135.083333333333	520	123.166666666667	6.9	3.4	5.24166666666667	297	65	1	0.0833333333333333	92.63	52.2	74.59	139.64	47.77	93.07	0.15	0.15	0.15	1018	1013	1014.58333333333	2.3	1.4	1.65	282	194	252.75	2.4	1.2	1.82083333333333	30.0995	6.5022125	23.6072	5.08147916666667
Harvard09, MA	21.7	9.6	15.7125	93	38.6666666666667	944	417.791666666667	869	282.875	12.9	8.2	9.925	93	38.6666666666667	1	0.0833333333333333	97.92	45.23	71.9575	129.14	34.61	83.3729166666667	0.14	0.14	0.14	1009	1005	1007.33333333333	1.7	1.2	1.4125	355	3	230.416666666667	0.5	0	0.2125	52.2923	16.0098166666667	41.1261	12.5486833333333
Harvard11, MA	20.8	14.9	17.0875	87	32.375	3	0.208333333333333	177	41.0833333333333	18.1	14.9	16.2125	174	40.9166666666667	7	0.875	100	77.18	94.9845833333333	140.53	45.73	92.5570833333333	0.15	0.15	0.15	990	987	988.166666666667	3.3	2.4	2.88333333333333	353	7	120.166666666667	0.5	0	0.154166666666667	10.3721	2.20104166666667	8.1424	1.72309166666667
Champlain, VT	11.7	6.4	9.32916666666667	95	34.8333333333333	121	21.5833333333333	354	88.7083333333333	10.4	2	5.55	294	78.9583333333333	7	0.666666666666667	95.19	56.96	78.5720833333333	138.89	46.96	92.4083333333333	0.19	0.19	0.19	1005	994	999.958333333333	2.1	1.4	1.77083333333333	307	247	289.125	0.1	0.1	0.1	20.4768	4.9085375	16.0592	3.8355625
Middlefield, CT	22.1	13.7	17.9458333333333	120	45.5833333333333	864	248.666666666667	738	194.25	18.1	13	15.2	297	54.0416666666667	7	0.375	100	56.31	85.91375	140.45	43.85	91.73	0.15	0.15	0.15	992	987	989.041666666667	3.5	1.9	2.525	269	191	224.125	1	0.4	0.733333333333333	43.4831	10.8175083333333	34.1489	8.46833333333333
Solebury, PA	37.1	20.9	29.1583333333333	176	71.2083333333333	828	323.916666666667	929	310.625	20.5	14.3	17.1166666666667	425	96.75	0	0	80.24	27.2	53.2558333333333	118.26	19.98	73.4695833333333	0.2	0.2	0.2	999	995	997.208333333333	4.2	3.3	3.71666666666667	338	217	275.583333333333	0.4	0.1	0.154166666666667	57.3325	17.7092791666667	45.1431	13.9053833333333
Terhune11, NJ	28.3	15.5	22.2083333333333	144	62.4166666666667	851	349.458333333333	886	293.375	20.6	15	17.4375	144	62.375	7	0.333333333333333	98.27	52.64	76.6220833333333	126.73	28.59	80.105	0.16	0.16	0.16	1008	1005	1006.20833333333	3.6	2.6	2.975	345	227	298.291666666667	0.7	0.2	0.383333333333333	53.8344	17.0209166666667	42.3651	13.3500875
Terhune09, NJ	15.2	5.3	9.97083333333333	101	37.1666666666667	877	53.6666666666667	607	103.208333333333	6.8	4.5	5.37916666666667	308	71.2916666666667	7	0.958333333333333	99.07	49.77	75.7291666666667	142.66	43.94	92.6316666666667	0.15	0.15	0.15	1009	1007	1007.66666666667	1.3	1	1.12083333333333	331	271	295.625	1	0.5	0.783333333333333	34.5102	5.78624166666667	27.0277	4.5274125
Media1112, PA	18.8	7	11.5	72	23.4583333333333	869	155.708333333333	498	106.625	14.5	7	10.2666666666667	224	44.9583333333333	7	1.16666666666667	100	73.08	92.9408333333333	157.6	57.95	103.965	0.12	0.12	0.12	1022	1015	1019.25	2.2	1.2	1.62916666666667	175	160	168.5	1.3	0.4	0.7	30.6595	7.22082083333333	23.9748	5.62202916666667
Media0812, PA	28.1	20.5	23.9625	180	73.0416666666667	745	182.916666666667	737	219	23	19.8	20.9625	436	112.416666666667	7	0.5	100	60.64	84.96125	125.87	26.7	79.0941666666667	0.16	0.16	0.16	1003	1001	1001.70833333333	4.4	3.9	4.07916666666667	336	8	194.458333333333	0.7	0.3	0.408333333333333	45.6588	7.94573333333333	35.9206	6.23246666666667
Media0712, PA	34.8	19.9	26.8208333333333	190	77.7083333333333	760	201.75	854	248.708333333333	24.5	13.2	18.9041666666667	462	118.083333333333	0	0	88.75	48.68	63.2741666666667	120.51	21.23	74.9170833333333	0.15	0.15	0.15	1002	995	998.25	4.7	2.1	3.80833333333333	245	200	223.958333333333	1.3	0.5	0.85	60.1324	20.0849916666667	47.3468	15.7669833333333
Media0512, PA	24.6	16.1	19.1583333333333	185	75.9583333333333	303	48.7083333333333	645	138.916666666667	20	16	17.4458333333333	465	111.875	7	0.5	99.83	70.55	90.5633333333333	120.76	21.7	75.115	0.16	0.16	0.16	1009	1004	1006.45833333333	3.9	3.3	3.59583333333333	235	129	167.458333333333	1.4	0.5	0.891666666666667	20.1195	5.35504166666667	15.8334	4.20330416666667
Media0911, PA	25.2	16.6	20.9458333333333	138	50.5416666666667	875	225.75	806	227.375	18	15.1	16.3125	408	96.3333333333333	7	0.666666666666667	92.06	58.01	75.9845833333333	131.23	32.34	83.3870833333333	0.15	0.15	0.15	1013	1010	1011.54166666667	3.1	1.8	2.32083333333333	333	137	197.458333333333	1	0.1	0.558333333333333	48.207	13.130125	37.8979	10.289225
Media0811, PA	24.1	18.1	21.3083333333333	148	54.2083333333333	694	148.25	664	205.791666666667	20.9	18.1	19.1666666666667	426	129.708333333333	7	0.541666666666667	100	72.35	88.3691666666667	125.94	26.77	79.1508333333333	0.15	0.15	0.15	1005	996	1000	4.2	3.2	3.75416666666667	354	3	246.666666666667	1.3	0.4	0.720833333333333	40.4115	11.8610666666667	31.8052	9.301425
Media0711, PA	30.6	16.1	24.1875	137	56.1666666666667	897	361.541666666667	971	333.125	17.1	13.7	14.9791666666667	377	88.4583333333333	7	0.583333333333333	98.07	36.03	60.5583333333333	116.75	17.68	72.0720833333333	0.15	0.15	0.15	1010	1006	1007.875	2.7	2.4	2.47916666666667	357	16	224.208333333333	0.9	0.2	0.483333333333333	59.6503	19.4335125	46.9733	15.2571041666667
Media1110, PA	10.1	0	4.55416666666667	68	21.9166666666667	957	341.791666666667	622	164.708333333333	2.1	-3.6	-0.195833333333333	68	21.9166666666667	0	0	100	42.68	74.68125	154.24	54.56	101.360833333333	0.13	0.13	0.13	1019	1009	1015.5	0.8	0.6	0.7375	357	6	262.625	1.1	0.4	0.658333333333333	35.2698	8.53277916666667	27.6165	6.65542083333333
Media0810, PA	35.9	19.7	27.1416666666667	156	60.25	853	334.541666666667	855	273.041666666667	18.6	13.9	15.55	156	60.25	1	0.0833333333333333	74.2	28.46	52.2520833333333	130.97	32.05	83.17375	0.15	0.15	0.15	1013	1008	1011.125	3.1	1.7	2.43333333333333	359	283	323.458333333333	0.7	0.4	0.525	51.6795	15.82365	40.6558	12.4042291666667
Media1109, PA	17.1	9.7	12.5916666666667	104	31.75	181	30.4166666666667	341	73.0833333333333	14	9.7	11.5291666666667	243	59.6666666666667	7	0.583333333333333	100	75	93.8054166666667	157	57.33	103.492916666667	0.12	0.12	0.12	1017	1014	1015.66666666667	2.3	1.8	2	317	3	135.958333333333	0.7	0.2	0.366666666666667	19.0783	3.85412083333333	14.9211	3.0019875
