location	MaxTemp	MinTemp	AvgTemp	MaxcDHI	AvgcDHI	MaxcDNI	AvgcDNI	MaxcGHI	AvgcGHI	MaxDP	MinDP	AvgDP	MaxDHI	AvgDHI	MaxFF	AvgFF	MaxRH	MinRH	AvgRH	MaxSZA	MinSZA	AvgSZA	MaxSA	MinSA	AvgSA	MaxPress	MinPress	AvgPres	MaxPW	MinPW	AvgPW	MaxWD	MinWD	AvgWD	MaxWS	MinWS	AvgWS	MaxUVO	AvgUVO	MaxUVI	AvgUVI
Solebury 9-28	20.8	16	17.6	119	43.4166666666667	519	87.125	447	116.083333333333	17.1	13.5	15.3416666666667	302	79.8333333333333	100	7.45833333333333	100	64.99	87.7008333333333	141.34	42.79	91.6520833333333	0.16	0.16	0.16	1008	1001	1005.08333333333	5.3	2	3.61666666666667	357	108	227.708333333333	0.7	0.1	0.183333333333333	25.1796	6.4137625	19.7047	5.01399166666667
St Paul Wine	25.8	15.8	20.0958333333333	100	37.4166666666667	880	281.833333333333	698	211.666666666667	19	15.6	16.9	277	58.4166666666667	100	68	100	56.6	84.04875	147.72	38.79	92.4141666666667	0.15	0.15	0.15	953	950	951.333333333333	3.1	2.7	2.85833333333333	222	87	148.541666666667	0.5	0.1	0.2875	40.8222	11.8602666666667	32.042	9.2878125
Taylor Brooke	20.4	12.2	15.7708333333333	114	42.5833333333333	869	240.666666666667	769	198.25	14.6	11.6	12.5041666666667	328	68.2916666666667	82	3.58333333333333	100	58.12	82.74125	136.84	41.1	89.16625	0.16	0.16	0.16	998	992	994.833333333333	2.6	2.1	2.25	89	15	44.5	0	0	0	45.6372	10.9648666666667	35.8587	8.58595416666667
Terhune 11-1	21.4	9.6	14.35	82	27.9166666666667	856	198.583333333333	573	128.458333333333	16	9.6	12.5208333333333	209	39	100	8.91666666666667	100	68.08	89.8383333333333	153.93	54.93	101.401666666667	0.15	0.15	0.15	1006	1001	1003.875	3.3	1.7	2.74166666666667	250	193	216	1.2	0.7	0.891666666666667	32.4363	6.6685625	25.3942	5.20356666666667
Terhune 23-10	17.5	4.6	9.67916666666667	89	30.4166666666667	909	256.791666666667	644	163.458333333333	8.6	4	6	123	34.875	100	10.375	100	51.29	80.5091666666667	150.9	51.94	99.055	0.15	0.15	0.15	1014	1005	1009.5	1.4	1.1	1.27916666666667	286	194	226.625	1.3	0.6	0.829166666666667	36.928	8.90857916666667	28.9414	6.95640416666667
Terhune 26-9	27.9	20.6	23.3541666666667	116	41.5833333333333	843	214.375	733	183.958333333333	23.6	20.6	21.9458333333333	278	59.6666666666667	100	6.54166666666667	100	72.14	92.5370833333333	140.62	41.97	91.0345833333333	0.16	0.16	0.16	1013	1003	1008.16666666667	5.1	4.2	4.53333333333333	209	162	193.333333333333	1.3	0.6	0.870833333333333	43.4058	10.2960291666667	34.1002	8.06332916666667
Tiger Mountain	25.6	18.4	21.0458333333333	122	44.2083333333333	869	259.5	803	209.666666666667	19.1	17.7	18.5208333333333	202	51.5833333333333	57	3.875	100	62.18	86.9395833333333	147.91	37.84	92.1066666666667	0.15	0.15	0.15	961	958	959.291666666667	3.3	3.1	3.1625	126	41	89.875	0.4	0	0.0875	48.0123	11.8333541666667	37.7441	9.27605416666667
Unionville 27-9	22.3	14.1	18.5	87	33.8333333333333	874	190.083333333333	690	171.958333333333	22.3	10	14.2	322	61.0416666666667	100	9.54166666666667	100	47.89	78.52125	140.93	42.43	91.3445833333333	0.15	0.15	0.15	1005	998	1002.625	5.2	2	3.3125	350	3	99.625	0.4	0.1	0.225	40.8109	9.71895833333333	32.059	7.61168333333333
Unionville 7-10	27.4	17.6	21.45	101	36.1666666666667	725	136.041666666667	572	124.875	23.4	17.6	19.7125	308	63.5833333333333	11	0.958333333333333	100	71.24	90.7725	144.86	46.21	94.3995833333333	0.15	0.15	0.15	1007	1005	1006.25	4.4	3.7	4.09583333333333	257	185	224.458333333333	0.7	0.1	0.25	32.8191	6.87712083333333	25.7224	5.37557083333333
Woodstock	20.4	12.2	15.7708333333333	114	42.5833333333333	869	240.666666666667	769	198.25	14.6	11.6	12.5041666666667	328	68.2916666666667	82	3.58333333333333	100	58.12	82.74125	136.84	41.1	89.16625	0.16	0.16	0.16	998	992	994.833333333333	2.6	2.1	2.25	89	15	44.5	0	0	0	45.6372	10.9648666666667	35.8587	8.58595416666667
