code	Treatment	Bacteria	Replicate	Sex	numflies	dilution_AAB	count_AAB	dilution_LAB	count_LAB	axenic?	...8	exp	codename	cfuA	cfuL	perc	total	filtercol
TW-G-3-F	TW	G	3	F	5	3	16	3	2	NA	TW-3-F	A	TW-G-3-F-A	102400	12800	0.111111111111111	115200	Y
TW-G-4-M	TW	G	4	M	5	3	1	3	3	NA	TW-4-M	A	TW-G-4-M-A	6400	19200	0.75	25600	Y
TW-G-4-F	TW	G	4	F	5	3	6	3	2	NA	TW-4-F	A	TW-G-4-F-A	38400	12800	0.25	51200	Y
P21-G-1-M	P21	G	1	M	5	1	37	0	0	NA	NA	C	P21-G-1-M-C	3700	0	0	3700	Y
P21-G-1-F	P21	G	1	F	5	2	33	0	0	NA	NA	C	P21-G-1-F-C	26400	0	0	26400	Y
P21-G-2-M	P21	G	2	M	5	1	53	0	0	NA	NA	C	P21-G-2-M-C	5300	0	0	5300	Y
P21-G-2-F	P21	G	2	F	5	2	38	0	0	NA	NA	C	P21-G-2-F-C	30400	0	0	30400	Y
P21-G-3-M	P21	G	3	M	5	0	12	0	0	NA	NA	C	P21-G-3-M-C	150	0	0	150	Y
P21-G-3-F	P21	G	3	F	5	2	20	0	0	NA	NA	C	P21-G-3-F-C	16000	0	0	16000	Y
P21-G-4-M	P21	G	4	M	5	2	11	1	12	NA	NA	C	P21-G-4-M-C	8800	1200	0.12	10000	Y
P21-G-4-F	P21	G	4	F	5	2	62	1	32	NA	NA	C	P21-G-4-F-C	49600	3200	0.0606060606060606	52800	Y
P20-G-1-M	P20	G	1	M	5	1	74	0	0	NA	NA	C	P20-G-1-M-C	7400	0	0	7400	Y
P20-G-1-F	P20	G	1	F	5	3	69	0	0	NA	NA	C	P20-G-1-F-C	441600	0	0	441600	Y
P20-G-2-M	P20	G	2	M	5	1	17	0	0	NA	NA	C	P20-G-2-M-C	1700	0	0	1700	Y
P20-G-2-F	P20	G	2	F	5	2	31	0	0	NA	NA	C	P20-G-2-F-C	24800	0	0	24800	Y
P20-G-3-M	P20	G	3	M	5	1	64	0	0	NA	NA	C	P20-G-3-M-C	6400	0	0	6400	Y
P20-G-3-F	P20	G	3	F	5	2	34	0	0	NA	NA	C	P20-G-3-F-C	27200	0	0	27200	Y
P20-G-4-M	P20	G	4	M	2	1	22	1	39	NA	NA	C	P20-G-4-M-C	5500	9750	0.639344262295082	15250	Y
P20-G-4-F	P20	G	4	F	3	2	15	2	46	NA	NA	C	P20-G-4-F-C	20000	61333.3333333333	0.754098360655738	81333.3333333333	Y
P19-G-1-M	P19	G	1	M	5	1	55	0	0	NA	NA	C	P19-G-1-M-C	5500	0	0	5500	Y
P19-G-1-F	P19	G	1	F	5	2	54	0	0	NA	NA	C	P19-G-1-F-C	43200	0	0	43200	Y
P19-G-2-M	P19	G	2	M	2	0	5	0	43	NA	NA	C	P19-G-2-M-C	156.25	1343.75	0.895833333333333	1500	Y
P19-G-3-M	P19	G	3	M	5	0	35	0	0	NA	NA	C	P19-G-3-M-C	437.5	0	0	437.5	Y
P19-G-3-F	P19	G	3	F	5	2	10	0	0	NA	NA	C	P19-G-3-F-C	8000	0	0	8000	Y
P19-G-4-M	P19	G	4	M	5	1	13	0	0	NA	NA	C	P19-G-4-M-C	1300	0	0	1300	Y
P19-G-4-F	P19	G	4	F	5	1	34	0	0	NA	NA	C	P19-G-4-F-C	3400	0	0	3400	Y
ER-G-2-M	ER	G	2	M	5	2	43	2	28	NA	NA	C	ER-G-2-M-C	34400	22400	0.394366197183099	56800	Y
ER-G-2-F	ER	G	2	F	5	2	42	2	28	NA	NA	C	ER-G-2-F-C	33600	22400	0.4	56000	Y
ER-G-3-M	ER	G	3	M	5	1	26	0	0	NA	NA	C	ER-G-3-M-C	2600	0	0	2600	Y
ER-G-3-F	ER	G	3	F	5	2	21	0	3	NA	NA	C	ER-G-3-F-C	16800	37.5	0.0022271714922049	16837.5	Y
ER-G-4-M	ER	G	4	M	5	0	45	0	3	NA	NA	C	ER-G-4-M-C	562.5	37.5	0.0625	600	Y
ER-G-4-F	ER	G	4	F	5	1	26	0	3	NA	P21-A-1-M	C	ER-G-4-F-C	2600	37.5	0.014218009478673	2637.5	Y
TI-G-1-M	TI	G	1	M	5	1	1	0	1	NA	P21-A-1-F	C	TI-G-1-M-C	100	12.5	0.111111111111111	112.5	Y
TI-G-1-F	TI	G	1	F	5	3	10	0	1	NA	NA	C	TI-G-1-F-C	64000	12.5	0.000195274360476469	64012.5	Y
TW-G-1-M	TW	G	1	M	5	1	39	1	10	NA	NA	C	TW-G-1-M-C	3900	1000	0.204081632653061	4900	Y
TW-G-1-F	TW	G	1	F	5	2	43	1	12	NA	NA	C	TW-G-1-F-C	34400	1200	0.0337078651685393	35600	Y
