	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1367	ec1369	ec1372	ec1382	ec1384	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti112	eti122	eti124	eti126
ec1254	0.0	0.1324524796636551	0.3037382963545632	0.4315363267074266	0.5043057085930069	0.5235687885885638	0.3998791995064995	0.5157618013729137	0.46772452366975603	0.6011889710960054	0.5579573527410762	0.5264348568604135	0.532356803777577	0.5448562273650263	0.5271131676820653	0.5395370144499401	0.4982383211052932	0.4766388906902413	0.5461654332334112	0.5632148348200419	0.3593247672604696	0.5431609872836445	0.5376340750235307	0.5411565735711787	0.5416909989596843	0.30604878584715123	0.34524384335603886	0.5621684364588903	0.5496283244772808	0.517074053305207	0.5537751471989123	0.5594855153281206	0.5177365940920127	0.45658128475723625	0.5406440657306293
ec1270	0.1324524796636551	0.0	0.2539627337919992	0.3631482213418816	0.4344430896939461	0.4597141711096442	0.3332817893802383	0.44621790760485214	0.395790900123474	0.5404313995514383	0.488482442785064	0.4576442287978303	0.4619171432994742	0.47453527023728587	0.45897787263853757	0.4714763171649918	0.4382845865334079	0.45507781782978884	0.47815360371123894	0.49409456033957433	0.30135263599531076	0.47239951245859557	0.4681739534874907	0.4712960643580815	0.4739067911495253	0.20860284526263362	0.25667878464364635	0.49098319076455654	0.4785341362389922	0.44728678295793267	0.4829830294464541	0.48868172989285225	0.4477600744981223	0.3883314703878407	0.4706091031052897
ec1278	0.3037382963545632	0.2539627337919992	0.0	0.3027945455290537	0.3912395361137879	0.41325733196871167	0.29491758497839227	0.39977902601536514	0.3351081469004824	0.4318680729206483	0.44911142976936863	0.4122402326823966	0.41995850562643355	0.43169349987647754	0.4179431464502962	0.4303197740046057	0.3814222203077021	0.46527884663934493	0.43636809990091396	0.4563255528237983	0.27399064976095044	0.4319099409705485	0.42340719639583235	0.42898515734381826	0.4350982177505057	0.2503709906282874	0.2628896292172941	0.4513741260521655	0.43837454077927995	0.4087985728460479	0.4423203068643367	0.44896822488224425	0.39859141244236085	0.3341270988905265	0.42556159978940855
ec1306	0.4315363267074266	0.3631482213418816	0.3027945455290537	0.0	0.15147560397650256	0.18656361857472897	0.15292734888395965	0.163967289029264	0.11389569787102498	0.3010940635309069	0.2137839386216862	0.15801165516848897	0.1921356199340116	0.18431259563406904	0.18797815315960725	0.185334237962332	0.15180747257455798	0.45624940724297824	0.21194515277020903	0.20307728981879564	0.2057186994267609	0.19329642218896648	0.17704932957985797	0.192339554029189	0.1811050204414674	0.19304471711834423	0.13685734709603803	0.19822539458429744	0.18645336048893346	0.2392681429331413	0.19248829932666217	0.19597009895908535	0.15025363760306398	0.08596518490071042	0.17670918207865294
ec1322	0.5043057085930069	0.4344430896939461	0.3912395361137879	0.15147560397650256	0.0	0.05808467235349253	0.2426237443142965	0.04603578490683972	0.09620983022058612	0.31425726765079076	0.08937129456191915	0.04636522289449753	0.05360108421498079	0.05852239456265141	0.054756011366967186	0.06577657638966833	0.0540342365923558	0.466678656990704	0.07833527129741907	0.08625420620938909	0.3139429983308244	0.06358573958971978	0.053656002041708145	0.052476427032472815	0.06448076829763913	0.2506686223414904	0.20496700289980418	0.08036921098109304	0.06587212266468977	0.2456225070381443	0.07112254675355262	0.0760319022975611	0.030534512140489824	0.09875170910343192	0.04841578145665948
ec1325	0.5235687885885638	0.4597141711096442	0.41325733196871167	0.18656361857472897	0.05808467235349253	0.0	0.2776512730049208	0.045702100099340684	0.12054987052241145	0.32643137053063087	0.07174223232768343	0.054448783554308905	0.050780969033721354	0.05053230812353281	0.030051886271422204	0.04677218105526014	0.05443848276489274	0.4671068654527336	0.05862033727744895	0.07246657569329773	0.3487054282615256	0.044249893630339196	0.044532411353906745	0.04966972049919631	0.05755397297831319	0.28809980709546124	0.23371509778607424	0.06677661786825807	0.05379328785628511	0.25012140970101837	0.056704954544748956	0.0589107356884299	0.05289552830735967	0.12730504605576726	0.050031864053192175
ec1341	0.3998791995064995	0.3332817893802383	0.29491758497839227	0.15292734888395965	0.2426237443142965	0.2776512730049208	0.0	0.27260654697290476	0.21283729180876187	0.37704551758439003	0.30629374746470245	0.2760198400497851	0.266652236805151	0.28425947349962943	0.2729055788959267	0.2939428736814912	0.25449764400423136	0.478203545163356	0.28550270640387443	0.3135617571576177	0.17270581032580515	0.28423355830854224	0.276237447853762	0.27839767433869755	0.29246686930860877	0.15005003767090902	0.11756563072343923	0.305182245364503	0.29356467084514615	0.2763874052294354	0.29695119892036004	0.30396143516431207	0.25963870887567314	0.20850831929152797	0.2759784576300078
ec1350	0.5157618013729137	0.44621790760485214	0.39977902601536514	0.163967289029264	0.04603578490683972	0.045702100099340684	0.27260654697290476	0.0	0.10624202056493612	0.32511395540182475	0.07676122566579163	0.03376533825162091	0.05921640377937042	0.04216328039070378	0.04658614772962495	0.04651009381576848	0.05520719144787017	0.46503933351068805	0.07651282532058777	0.06435471872501795	0.335625078746685	0.061680740389799316	0.04606389776645066	0.05817209178407311	0.045777839113581666	0.2777675286487169	0.22238508398776594	0.05830489875267207	0.04709149175969375	0.24209177064101842	0.050819248736294745	0.06242916535486211	0.036108278431805425	0.0968953620693096	0.0453683113340856
ec1353	0.46772452366975603	0.395790900123474	0.3351081469004824	0.11389569787102498	0.09620983022058612	0.12054987052241145	0.21283729180876187	0.10624202056493612	0.0	0.29571841436898544	0.14891526659739218	0.10669843364458927	0.12163919052870434	0.1266846991047176	0.11458492892922852	0.13296147277287468	0.08873242667835483	0.4570921860519441	0.1336332136308384	0.15656150929734258	0.2717063746569931	0.12845414770298014	0.1218102094817772	0.12728022994532806	0.13938140832289977	0.21942514622467837	0.17934156913992833	0.1463311746994974	0.14029006244127928	0.24343399205762986	0.14244143054197922	0.14400320613870554	0.08978937032898604	0.05861577719239079	0.11838715480279083
ec1354	0.6011889710960054	0.5404313995514383	0.4318680729206483	0.3010940635309069	0.31425726765079076	0.32643137053063087	0.37704551758439003	0.32511395540182475	0.29571841436898544	0.0	0.3475241642831134	0.3389264458591719	0.318119667955965	0.3326352405239611	0.3200356766227471	0.336735999825378	0.31713403178096716	0.5978803181078309	0.3272485325756512	0.3546364200845089	0.378518489759712	0.3303607146519303	0.3266284376049967	0.31922524063907953	0.3454276923703563	0.3870681462036795	0.3716966407129082	0.34776780989183265	0.3420731745714917	0.3847989491173841	0.34297460334934937	0.34557568262063054	0.3256872944980277	0.31689063637143855	0.32911886785369127
ec1357	0.5579573527410762	0.488482442785064	0.44911142976936863	0.2137839386216862	0.08937129456191915	0.07174223232768343	0.30629374746470245	0.07676122566579163	0.14891526659739218	0.3475241642831134	0.0	0.0661508588825079	0.05208418273080997	0.04854362632260986	0.06656893941467339	0.04368969537031812	0.10745050479520593	0.4749907507351673	0.04874077757440799	0.03257579421771536	0.36656189022989305	0.03480129030689885	0.05451005229460974	0.06002452477561046	0.04910951452970268	0.3157779742773292	0.2628270392491661	0.030466689027749783	0.0425681821087333	0.26709166114922833	0.03723678149996082	0.027978376726817532	0.08314077857422504	0.14760923800602532	0.06100404384236975
ec1364	0.5264348568604135	0.4576442287978303	0.4122402326823966	0.15801165516848897	0.04636522289449753	0.054448783554308905	0.2760198400497851	0.03376533825162091	0.10669843364458927	0.3389264458591719	0.0661508588825079	0.0	0.05641913722576007	0.0400083879971507	0.05338545078604735	0.043040506328602984	0.057699220187883746	0.46932669341904254	0.07415679203141755	0.0538578755016174	0.33578404370248616	0.05576951817919347	0.04468966065735918	0.057804547777213305	0.03663267086541909	0.286155836412768	0.2286521373395833	0.05040986240763852	0.042715373951781335	0.2499596847122985	0.04699233623216839	0.05365903773297606	0.0290237405395987	0.08607585022362663	0.03746194339827931
ec1367	0.532356803777577	0.4619171432994742	0.41995850562643355	0.1921356199340116	0.05360108421498079	0.050780969033721354	0.266652236805151	0.05921640377937042	0.12163919052870434	0.318119667955965	0.05208418273080997	0.05641913722576007	0.0	0.03730267232832467	0.03984932151283953	0.04248790333930545	0.08166708248723178	0.46766863860677155	0.040532279127994474	0.06679531112516571	0.34271886095466964	0.03259089884741538	0.03250260984694092	0.031206718184640922	0.044784671270836074	0.2785498588779749	0.23512733613524023	0.05928000380184675	0.046757717629243564	0.2606572318785151	0.05064388846303232	0.056082287874578945	0.05813023590668845	0.13320445708873074	0.03293323526224628
ec1369	0.5448562273650263	0.47453527023728587	0.43169349987647754	0.18431259563406904	0.05852239456265141	0.05053230812353281	0.28425947349962943	0.04216328039070378	0.1266846991047176	0.3326352405239611	0.04854362632260986	0.0400083879971507	0.03730267232832467	0.0	0.04196181605447055	0.025468623126520797	0.07398281257977143	0.47307832046551856	0.043513584337466125	0.03827693903120022	0.35475361874451317	0.031035538126649866	0.018605538118408895	0.03144085219332045	0.021713249599102473	0.2937302786395907	0.23940760690294427	0.03274893960426442	0.02080481451244401	0.2520949578314753	0.023878720094586192	0.03212221349288249	0.04937365157730246	0.1157287927254783	0.028085757086089652
