	ec1249	ec1257	ec1265	ec1298	ec1314	ec1330	ec1349	ec1356	ec1368	ec1380	ec1392	ec1396	ec1400	ec1408	ec1411	ec1420	ec1424	ec1427	ec1435	eti481	eti482	eti483	eti484	eti485	eti486	eti487	eti488	eti489	eti490	eti502	eti503	eti505	eti507	eti508	eti509	eti510	eti536	eti537	eti542
ec1249	0.0	0.14793857159744406	0.0996268094332483	0.2598904706175396	0.15459696863177413	0.18151910499873133	0.10388969090252727	0.15602614653124802	0.14776559967803235	0.1513362193599505	0.14818312403505113	0.1750288458945752	0.10517563521560004	0.17474234306780076	0.1389011407892151	0.17508085662752013	0.15236255073545646	0.2775760229718779	0.3167506080629749	0.19102137610197492	0.0983810428721814	0.11966775631444766	0.14336878418211663	0.35540741975872825	0.07673246140098285	0.11432882549885406	0.3072110427626248	0.37194835576747776	0.4290279246022428	0.14411513704835438	0.1504494733817294	0.1599274759336074	0.17507662384449035	0.12451891897075087	0.1740523017218961	0.13205324687569783	0.1296543815727793	0.43352022931564926	0.2390096753274531
ec1257	0.14793857159744406	0.0	0.1338255411450207	0.34774342429577504	0.05430294279326908	0.24788357791985294	0.09265867093456508	0.18095843171235163	0.23025346004869007	0.06850182108426661	0.04046667594726956	0.07401431646752311	0.05775717926835611	0.06891853253221512	0.07810444036361928	0.07501141460767599	0.05599384994959829	0.3413361815232414	0.38051510739932315	0.22632791362719723	0.12652546219425306	0.08349070777196287	0.17637040951565958	0.4407772388563256	0.14485366127589042	0.12170951095321302	0.3600568232697094	0.46614102374994354	0.5064012254463784	0.05328701297463579	0.05070585412063255	0.04558141117082288	0.06763022468738626	0.08151245586503537	0.2432760327828399	0.12321135202686706	0.18378285653568396	0.49105971455186903	0.27179189988509833
ec1265	0.0996268094332483	0.1338255411450207	0.0	0.28062288652095874	0.15304803940191558	0.2301065006726703	0.11625982855228739	0.18887738941107815	0.15815381100531048	0.1605959334034984	0.12418621559811388	0.16651918783862174	0.12491479382604607	0.17003403807360248	0.13926298943660087	0.1702141385895493	0.14631770905701189	0.30212647407508253	0.3557825302966064	0.22158131598843037	0.1086017546856281	0.11687153301522234	0.17340559721826684	0.4088683397139663	0.12714015986977634	0.12945793268037897	0.3148862322428888	0.42261679562065174	0.4758534850516877	0.13608706445396054	0.14786902416368009	0.1474270748398285	0.17003147176316874	0.1378186616757582	0.19290025412732034	0.10436773685246456	0.15491417833529686	0.4710812179041263	0.26141455849252815
ec1298	0.2598904706175396	0.34774342429577504	0.28062288652095874	0.0	0.3575843961427478	0.29410823301430483	0.2961142821777528	0.32041167701341794	0.21781072551613828	0.3438631062593783	0.3319049231691255	0.3672785185395333	0.33110050565225463	0.37187745264017	0.3304033566498296	0.36810565119394245	0.3451169620025421	0.36120823633829124	0.42160403762752474	0.32612237204546524	0.3034756380392714	0.3194297253274302	0.2951555729212832	0.44707140194866246	0.27756557197365994	0.3206139552383878	0.3778393363161367	0.4848988005190924	0.5328006630580847	0.34060517523152267	0.35336254847527176	0.35547049891995863	0.3714140190321924	0.34383427191152843	0.2683737720874309	0.29963740460679916	0.29123021780806196	0.5219101276771914	0.3540832699254027
ec1314	0.15459696863177413	0.05430294279326908	0.15304803940191558	0.3575843961427478	0.0	0.23789733487811182	0.08642846277380262	0.19372976141323156	0.25025658722237676	0.0384712090214393	0.04260232535689127	0.03309118555735042	0.05868509884524613	0.029764614825239885	0.055571843356124924	0.036509352820754105	0.02477208455799514	0.3456935140398042	0.3796862476304147	0.25998524899619774	0.16098189946649996	0.08434464475516255	0.20800801288542886	0.4659443396971344	0.1489244283753648	0.14973692327350188	0.38102276597775864	0.4921978617302683	0.5088653981036798	0.04138923636221734	0.02791736438102758	0.037863641171550645	0.031726803902730055	0.09989341474744676	0.26079151740574524	0.1411159260354503	0.20534260983086966	0.4898306474019631	0.2933465952722984
ec1330	0.18151910499873133	0.24788357791985294	0.2301065006726703	0.29410823301430483	0.23789733487811182	0.0	0.2183873278938184	0.21185740780177348	0.23779770204569345	0.2383972805674955	0.23586377763332564	0.25326104561916113	0.2191872801349269	0.2556642084964808	0.2402343255167656	0.2567839469407386	0.23580560253129115	0.15761056073226187	0.14624730543263448	0.25687745899155356	0.22262938053860343	0.23744085062888765	0.2129769928246154	0.2863644998353962	0.12924958310664159	0.22579676109543437	0.33216391489411845	0.2711842653493858	0.286352800024316	0.2407912452936952	0.24485341045568992	0.2504963807951031	0.25663953627953373	0.25399171443513424	0.19144144065530674	0.22971339275465266	0.22753294432805216	0.3038279242317171	0.24790771527780603
ec1349	0.10388969090252727	0.09265867093456508	0.11625982855228739	0.2961142821777528	0.08642846277380262	0.2183873278938184	0.0	0.1836460522377445	0.18364698627788845	0.08205104229225142	0.0917962714696107	0.1037783219479535	0.06404323117838512	0.10235465556987573	0.06399513870303115	0.10625653612587496	0.08775828406276652	0.30267221036068576	0.35110430824133965	0.23044130704221558	0.12072379173314814	0.05037407288572967	0.1687181980573296	0.39796624151493104	0.10791873206495899	0.12605043236894262	0.336540150298586	0.42628640913031896	0.4596595967110694	0.0722182709137423	0.0918699846150045	0.08227677233311934	0.10192590540130614	0.07551620066351133	0.21482429511378096	0.12560908423734754	0.16246374555662083	0.4527740344436027	0.26258058460260775
ec1356	0.15602614653124802	0.18095843171235163	0.18887738941107815	0.32041167701341794	0.19372976141323156	0.21185740780177348	0.1836460522377445	0.0	0.2179464983821365	0.2118092101344153	0.2001250142382568	0.21638274652284298	0.15730725248580124	0.211734125437759	0.20546605450171512	0.2197899474320627	0.20424875392361416	0.31553109994293493	0.34473060456911114	0.10501380752092962	0.14960608701651926	0.18665664282479388	0.08867407715441739	0.37449519580131324	0.15422684200755996	0.11393283025935133	0.23907733958122276	0.3742173498522854	0.47194425995312117	0.19246088846158277	0.2015603173075386	0.1997009005409342	0.2123696866047811	0.1657713563651021	0.2113409486807947	0.18243844463770484	0.13468335745563234	0.45823052305401213	0.1836920179951426
ec1368	0.14776559967803235	0.23025346004869007	0.15815381100531048	0.21781072551613828	0.25025658722237676	0.23779770204569345	0.18364698627788845	0.2179464983821365	0.0	0.24154203309738595	0.22734983057122718	0.2659164912478046	0.21254965156103936	0.26467594515742904	0.22442487522935559	0.2653504238513727	0.24154846807899272	0.29519214677441974	0.36482405372382554	0.24606759256684735	0.1772529380123246	0.2063536529318933	0.20374995098733553	0.37381379687383726	0.155346292936053	0.20450396954680405	0.298389455307891	0.41274949667087096	0.4614748521703068	0.23454022448095554	0.2486170967272709	0.24348092488181705	0.2672671817782123	0.22604404776173925	0.1948344529400141	0.2048692315562098	0.17505403065627878	0.4603926615527887	0.29543134334944066
ec1380	0.1513362193599505	0.06850182108426661	0.1605959334034984	0.3438631062593783	0.0384712090214393	0.2383972805674955	0.08205104229225142	0.2118092101344153	0.24154203309738595	0.0	0.04524569524718438	0.03619204608834414	0.07190494269687689	0.04164888198601675	0.038393000265722455	0.03643940069662139	0.035146182720534894	0.3219121366366972	0.3718733427924998	0.2738869422709624	0.16287066014010293	0.08903523106832213	0.21208243273563782	0.4618394802180129	0.1548540858607474	0.15982139515598065	0.3872549172145324	0.4854029792190257	0.5031595673856907	0.04744855464508822	0.05496543953272051	0.037696546517395534	0.04168382272707685	0.11408872119112158	0.2511186619673605	0.1493311720342641	0.20357149917049253	0.47680973661776826	0.30215467689144265
