	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1367	ec1369	ec1372	ec1382	ec1384	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti112	eti122	eti124	eti126
ec1254	0.0	0.968	0.916	0.852	0.932	0.97	0.72	0.992	0.99	0.986	1.0	0.998	0.96	0.988	0.982	0.964	0.966	0.988	0.992	0.994	0.618	0.99	0.96	0.984	0.958	0.988	0.984	0.992	0.974	0.986	0.978	1.0	0.996	0.99	0.998
ec1270	0.968	0.0	0.824	0.9	0.878	0.86	0.836	0.856	0.852	0.876	0.916	0.9	0.88	0.864	0.834	0.9	0.86	0.972	0.886	0.908	0.968	0.88	0.838	0.83	0.914	0.494	0.742	0.88	0.874	0.926	0.872	0.886	0.884	0.894	0.85
ec1278	0.916	0.824	0.0	0.872	0.744	0.838	0.708	0.844	0.768	0.778	0.844	0.906	0.76	0.812	0.85	0.874	0.888	0.982	0.814	0.908	0.926	0.818	0.776	0.772	0.872	0.74	0.84	0.902	0.846	0.902	0.846	0.88	0.924	0.874	0.894
ec1306	0.852	0.9	0.872	0.0	0.552	0.674	0.778	0.654	0.752	0.864	0.93	0.46	0.83	0.876	0.774	0.526	0.506	0.92	0.886	0.47	0.822	0.74	0.804	0.574	0.43	0.904	0.902	0.432	0.416	0.892	0.47	0.45	0.578	0.336	0.494
ec1322	0.932	0.878	0.744	0.552	0.0	0.644	0.604	0.528	0.602	0.486	0.754	0.59	0.484	0.68	0.604	0.572	0.546	0.92	0.772	0.604	0.888	0.602	0.608	0.392	0.552	0.64	0.782	0.578	0.52	0.812	0.55	0.556	0.52	0.564	0.53
ec1325	0.97	0.86	0.838	0.674	0.644	0.0	0.84	0.666	0.708	0.812	0.854	0.718	0.786	0.796	0.618	0.66	0.626	0.92	0.742	0.722	0.932	0.648	0.674	0.628	0.694	0.832	0.74	0.658	0.636	0.84	0.676	0.604	0.684	0.706	0.666
ec1341	0.72	0.836	0.708	0.778	0.604	0.84	0.0	0.822	0.758	0.672	0.832	0.91	0.576	0.76	0.8	0.9	0.822	0.988	0.73	0.924	0.69	0.81	0.668	0.66	0.888	0.58	0.754	0.87	0.838	0.896	0.772	0.898	0.892	0.894	0.818
ec1350	0.992	0.856	0.844	0.654	0.528	0.666	0.822	0.0	0.626	0.776	0.74	0.602	0.734	0.73	0.566	0.624	0.62	0.926	0.808	0.678	0.964	0.62	0.334	0.574	0.66	0.82	0.63	0.642	0.614	0.536	0.64	0.608	0.45	0.59	0.578
ec1353	0.99	0.852	0.768	0.752	0.602	0.708	0.758	0.626	0.0	0.694	0.736	0.638	0.658	0.688	0.614	0.726	0.682	0.92	0.658	0.788	0.944	0.608	0.614	0.628	0.804	0.742	0.766	0.754	0.714	0.852	0.75	0.688	0.586	0.692	0.666
ec1354	0.986	0.876	0.778	0.864	0.486	0.812	0.672	0.776	0.694	0.0	0.822	0.868	0.518	0.746	0.776	0.848	0.814	0.956	0.766	0.876	0.91	0.762	0.742	0.628	0.882	0.638	0.82	0.844	0.786	0.896	0.828	0.834	0.818	0.846	0.778
ec1357	1.0	0.916	0.844	0.93	0.754	0.854	0.832	0.74	0.736	0.822	0.0	0.784	0.602	0.764	0.752	0.8	0.9	0.974	0.782	0.908	0.968	0.61	0.738	0.812	0.872	0.836	0.808	0.836	0.884	0.838	0.856	0.862	0.854	0.84	0.872
ec1364	0.998	0.9	0.906	0.46	0.59	0.718	0.91	0.602	0.638	0.868	0.784	0.0	0.76	0.85	0.698	0.446	0.454	0.926	0.81	0.298	0.968	0.68	0.796	0.524	0.302	0.898	0.866	0.25	0.27	0.916	0.286	0.398	0.584	0.292	0.498
ec1367	0.96	0.88	0.76	0.83	0.484	0.786	0.576	0.734	0.658	0.518	0.602	0.76	0.0	0.724	0.722	0.726	0.768	0.952	0.674	0.882	0.93	0.654	0.688	0.624	0.832	0.63	0.768	0.72	0.766	0.878	0.774	0.8	0.818	0.834	0.762
ec1369	0.988	0.864	0.812	0.876	0.68	0.796	0.76	0.73	0.688	0.746	0.764	0.85	0.724	0.0	0.678	0.878	0.832	0.982	0.778	0.898	0.962	0.752	0.68	0.696	0.876	0.712	0.742	0.86	0.818	0.836	0.81	0.852	0.758	0.836	0.772
ec1372	0.982	0.834	0.85	0.774	0.604	0.618	0.8	0.566	0.614	0.776	0.752	0.698	0.722	0.678	0.0	0.686	0.554	0.922	0.48	0.764	0.93	0.676	0.53	0.544	0.756	0.756	0.66	0.664	0.692	0.762	0.678	0.668	0.558	0.704	0.644
ec1382	0.964	0.9	0.874	0.526	0.572	0.66	0.9	0.624	0.726	0.848	0.8	0.446	0.726	0.878	0.686	0.0	0.502	0.92	0.81	0.536	0.92	0.652	0.778	0.534	0.488	0.906	0.866	0.46	0.482	0.89	0.522	0.276	0.564	0.512	0.42
ec1384	0.966	0.86	0.888	0.506	0.546	0.626	0.822	0.62	0.682	0.814	0.9	0.454	0.768	0.832	0.554	0.502	0.0	0.926	0.698	0.504	0.95	0.726	0.708	0.448	0.532	0.842	0.776	0.44	0.45	0.892	0.428	0.45	0.574	0.502	0.454
ec1386	0.988	0.972	0.982	0.92	0.92	0.92	0.988	0.926	0.92	0.956	0.974	0.926	0.952	0.982	0.922	0.92	0.926	0.0	0.992	0.926	0.986	0.924	0.92	0.93	0.92	0.982	0.984	0.918	0.916	0.974	0.922	0.93	0.932	0.922	0.932
ec1388	0.992	0.886	0.814	0.886	0.772	0.742	0.73	0.808	0.658	0.766	0.782	0.81	0.674	0.778	0.48	0.81	0.698	0.992	0.0	0.888	0.922	0.652	0.634	0.706	0.872	0.804	0.786	0.778	0.798	0.87	0.764	0.78	0.794	0.864	0.822
ec1398	0.994	0.908	0.908	0.47	0.604	0.722	0.924	0.678	0.788	0.876	0.908	0.298	0.882	0.898	0.764	0.536	0.504	0.926	0.888	0.0	0.956	0.728	0.824	0.57	0.146	0.928	0.898	0.256	0.174	0.88	0.256	0.444	0.636	0.35	0.554
ec1401	0.618	0.968	0.926	0.822	0.888	0.932	0.69	0.964	0.944	0.91	0.968	0.968	0.93	0.962	0.93	0.92	0.95	0.986	0.922	0.956	0.0	0.962	0.908	0.936	0.928	0.956	0.968	0.942	0.944	0.934	0.924	0.954	0.948	0.962	0.968
ec1403	0.99	0.88	0.818	0.74	0.602	0.648	0.81	0.62	0.608	0.762	0.61	0.68	0.654	0.752	0.676	0.652	0.726	0.924	0.652	0.728	0.962	0.0	0.684	0.646	0.684	0.824	0.802	0.694	0.646	0.842	0.706	0.638	0.656	0.69	0.718
