	ec1314	ec1322	ec1346	ec1354	ec1361	ec1369	ec1378	ec1386	ec1393	ec1396	ec1401	ec1404	ec1409	ec1411	ec1417	ec1419	ec1425	ec1433	ec1438	eti110	eti114	eti122	eti123	eti124	eti126	eti135
ec1314	0.0	0.602	0.572	0.918	0.536	0.876	0.674	0.896	0.912	0.62	0.95	0.742	0.61	0.59	0.96	0.88	0.512	0.85	0.782	0.492	0.632	0.572	0.454	0.6	0.626	0.516
ec1322	0.602	0.0	0.532	0.476	0.444	0.702	0.692	0.89	0.652	0.608	0.894	0.602	0.6	0.568	0.648	0.8	0.382	0.81	0.794	0.538	0.608	0.528	0.582	0.58	0.522	0.522
ec1346	0.572	0.532	0.0	0.822	0.402	0.808	0.434	0.89	0.728	0.414	0.832	0.786	0.374	0.33	0.86	0.87	0.496	0.876	0.784	0.308	0.342	0.602	0.316	0.368	0.438	0.246
ec1354	0.918	0.476	0.822	0.0	0.744	0.74	0.948	0.952	0.746	0.892	0.932	0.74	0.868	0.804	0.644	0.834	0.646	0.894	0.932	0.808	0.836	0.824	0.854	0.86	0.766	0.81
ec1361	0.536	0.444	0.402	0.744	0.0	0.714	0.526	0.886	0.724	0.442	0.934	0.604	0.422	0.362	0.77	0.756	0.342	0.812	0.772	0.344	0.424	0.518	0.346	0.402	0.408	0.406
ec1369	0.876	0.702	0.808	0.74	0.714	0.0	0.972	0.982	0.626	0.902	0.966	0.724	0.882	0.808	0.732	0.78	0.654	0.846	0.972	0.822	0.862	0.76	0.864	0.852	0.754	0.792
ec1378	0.674	0.692	0.434	0.948	0.526	0.972	0.0	0.894	0.964	0.178	0.966	0.892	0.24	0.326	0.972	0.976	0.664	0.976	0.824	0.386	0.242	0.73	0.412	0.44	0.576	0.42
ec1386	0.896	0.89	0.89	0.952	0.886	0.982	0.894	0.0	0.976	0.894	0.984	0.912	0.89	0.894	0.986	0.99	0.892	0.98	0.9	0.9	0.9	0.898	0.902	0.892	0.894	0.89
ec1393	0.912	0.652	0.728	0.746	0.724	0.626	0.964	0.976	0.0	0.914	0.824	0.724	0.908	0.848	0.732	0.812	0.694	0.87	0.962	0.84	0.87	0.67	0.888	0.858	0.674	0.746
ec1396	0.62	0.608	0.414	0.892	0.442	0.902	0.178	0.894	0.914	0.0	0.922	0.788	0.194	0.226	0.922	0.902	0.6	0.92	0.802	0.326	0.19	0.644	0.324	0.41	0.51	0.354
ec1401	0.95	0.894	0.832	0.932	0.934	0.966	0.966	0.984	0.824	0.922	0.0	0.902	0.948	0.96	0.956	0.972	0.962	0.948	0.99	0.954	0.968	0.94	0.938	0.962	0.964	0.918
ec1404	0.742	0.602	0.786	0.74	0.604	0.724	0.892	0.912	0.724	0.788	0.902	0.0	0.814	0.738	0.73	0.578	0.634	0.522	0.898	0.762	0.81	0.588	0.768	0.796	0.728	0.762
ec1409	0.61	0.6	0.374	0.868	0.422	0.882	0.24	0.89	0.908	0.194	0.948	0.814	0.0	0.244	0.916	0.91	0.548	0.922	0.796	0.276	0.182	0.624	0.312	0.392	0.502	0.35
ec1411	0.59	0.568	0.33	0.804	0.362	0.808	0.326	0.894	0.848	0.226	0.96	0.738	0.244	0.0	0.794	0.808	0.494	0.866	0.762	0.22	0.222	0.588	0.268	0.336	0.436	0.286
ec1417	0.96	0.648	0.86	0.644	0.77	0.732	0.972	0.986	0.732	0.922	0.956	0.73	0.916	0.794	0.0	0.69	0.678	0.916	0.974	0.838	0.868	0.832	0.894	0.89	0.772	0.808
ec1419	0.88	0.8	0.87	0.834	0.756	0.78	0.976	0.99	0.812	0.902	0.972	0.578	0.91	0.808	0.69	0.0	0.75	0.682	0.964	0.858	0.866	0.704	0.882	0.868	0.83	0.858
ec1425	0.512	0.382	0.496	0.646	0.342	0.654	0.664	0.892	0.694	0.6	0.962	0.634	0.548	0.494	0.678	0.75	0.0	0.832	0.776	0.416	0.558	0.522	0.482	0.55	0.452	0.456
ec1433	0.85	0.81	0.876	0.894	0.812	0.846	0.976	0.98	0.87	0.92	0.948	0.522	0.922	0.866	0.916	0.682	0.832	0.0	0.944	0.856	0.93	0.72	0.856	0.864	0.89	0.854
ec1438	0.782	0.794	0.784	0.932	0.772	0.972	0.824	0.9	0.962	0.802	0.99	0.898	0.796	0.762	0.974	0.964	0.776	0.944	0.0	0.764	0.792	0.766	0.768	0.802	0.806	0.778
eti110	0.492	0.538	0.308	0.808	0.344	0.822	0.386	0.9	0.84	0.326	0.954	0.762	0.276	0.22	0.838	0.858	0.416	0.856	0.764	0.0	0.28	0.578	0.18	0.344	0.432	0.264
eti114	0.632	0.608	0.342	0.836	0.424	0.862	0.242	0.9	0.87	0.19	0.968	0.81	0.182	0.222	0.868	0.866	0.558	0.93	0.792	0.28	0.0	0.614	0.318	0.396	0.384	0.324
eti122	0.572	0.528	0.602	0.824	0.518	0.76	0.73	0.898	0.67	0.644	0.94	0.588	0.624	0.588	0.832	0.704	0.522	0.72	0.766	0.578	0.614	0.0	0.598	0.576	0.406	0.51
eti123	0.454	0.582	0.316	0.854	0.346	0.864	0.412	0.902	0.888	0.324	0.938	0.768	0.312	0.268	0.894	0.882	0.482	0.856	0.768	0.18	0.318	0.598	0.0	0.362	0.484	0.256
eti124	0.6	0.58	0.368	0.86	0.402	0.852	0.44	0.892	0.858	0.41	0.962	0.796	0.392	0.336	0.89	0.868	0.55	0.864	0.802	0.344	0.396	0.576	0.362	0.0	0.424	0.366
eti126	0.626	0.522	0.438	0.766	0.408	0.754	0.576	0.894	0.674	0.51	0.964	0.728	0.502	0.436	0.772	0.83	0.452	0.89	0.806	0.432	0.384	0.406	0.484	0.424	0.0	0.368
eti135	0.516	0.522	0.246	0.81	0.406	0.792	0.42	0.89	0.746	0.354	0.918	0.762	0.35	0.286	0.808	0.858	0.456	0.854	0.778	0.264	0.324	0.51	0.256	0.366	0.368	0.0
