	utf1354	utf1362	utf1383	utf1390	utf1398	utf1406	utf1414	utf392	utf398	utf408	utf410	utf416	utf425	utf440	utf442	utf446	utf450	utf463	utf523	utf531	utf540	utf546	utf547	utf557	utf563	utf571
utf1354	0.0	0.792	0.734	0.848	0.9	0.798	0.964	0.884	0.918	0.912	0.826	0.844	0.862	0.914	0.914	0.916	0.892	0.952	0.9	0.924	0.826	0.892	0.832	0.908	0.902	0.876
utf1362	0.792	0.0	0.552	0.83	0.812	0.762	0.954	0.684	0.91	0.926	0.802	0.744	0.842	0.664	0.85	0.476	0.866	0.912	0.762	0.834	0.45	0.816	0.592	0.624	0.454	0.766
utf1383	0.734	0.552	0.0	0.744	0.81	0.66	0.936	0.61	0.758	0.87	0.744	0.772	0.726	0.492	0.912	0.732	0.564	0.84	0.71	0.862	0.612	0.688	0.516	0.656	0.7	0.704
utf1390	0.848	0.83	0.744	0.0	0.484	0.688	0.614	0.9	0.934	0.524	0.838	0.488	0.824	0.81	0.848	0.912	0.692	0.6	0.79	0.828	0.84	0.748	0.772	0.876	0.89	0.768
utf1398	0.9	0.812	0.81	0.484	0.0	0.732	0.328	0.904	0.954	0.282	0.906	0.572	0.862	0.832	0.818	0.886	0.746	0.344	0.858	0.932	0.904	0.864	0.886	0.874	0.904	0.918
utf1406	0.798	0.762	0.66	0.688	0.732	0.0	0.82	0.924	0.904	0.784	0.514	0.754	0.822	0.688	0.95	0.942	0.716	0.812	0.79	0.792	0.878	0.748	0.802	0.862	0.906	0.698
utf1414	0.964	0.954	0.936	0.614	0.328	0.82	0.0	0.976	0.978	0.346	0.962	0.622	0.944	0.896	0.984	0.976	0.942	0.368	0.924	0.988	0.972	0.902	0.964	0.976	0.978	0.946
utf392	0.884	0.684	0.61	0.9	0.904	0.924	0.976	0.0	0.858	0.926	0.704	0.856	0.706	0.716	0.906	0.626	0.894	0.912	0.798	0.814	0.62	0.904	0.624	0.722	0.7	0.852
utf398	0.918	0.91	0.758	0.934	0.954	0.904	0.978	0.858	0.0	0.898	0.806	0.85	0.882	0.78	0.97	0.952	0.798	0.796	0.774	0.95	0.8	0.374	0.678	0.794	0.928	0.724
utf408	0.912	0.926	0.87	0.524	0.282	0.784	0.346	0.926	0.898	0.0	0.874	0.43	0.914	0.83	0.898	0.936	0.782	0.206	0.868	0.966	0.878	0.838	0.898	0.922	0.916	0.878
utf410	0.826	0.802	0.744	0.838	0.906	0.514	0.962	0.704	0.806	0.874	0.0	0.7	0.692	0.594	0.906	0.814	0.676	0.852	0.786	0.736	0.71	0.816	0.67	0.834	0.872	0.67
utf416	0.844	0.744	0.772	0.488	0.572	0.754	0.622	0.856	0.85	0.43	0.7	0.0	0.846	0.684	0.904	0.904	0.8	0.394	0.618	0.788	0.74	0.674	0.61	0.754	0.868	0.648
utf425	0.862	0.842	0.726	0.824	0.862	0.822	0.944	0.706	0.882	0.914	0.692	0.846	0.0	0.802	0.906	0.848	0.784	0.918	0.862	0.844	0.842	0.85	0.746	0.828	0.862	0.804
utf440	0.914	0.664	0.492	0.81	0.832	0.688	0.896	0.716	0.78	0.83	0.594	0.684	0.802	0.0	0.914	0.74	0.566	0.738	0.658	0.778	0.678	0.698	0.612	0.748	0.756	0.632
utf442	0.914	0.85	0.912	0.848	0.818	0.95	0.984	0.906	0.97	0.898	0.906	0.904	0.906	0.914	0.0	0.89	0.818	0.958	0.906	0.964	0.782	0.962	0.886	0.918	0.882	0.95
utf446	0.916	0.476	0.732	0.912	0.886	0.942	0.976	0.626	0.952	0.936	0.814	0.904	0.848	0.74	0.89	0.0	0.87	0.958	0.876	0.8	0.504	0.952	0.656	0.794	0.36	0.888
utf450	0.892	0.866	0.564	0.692	0.746	0.716	0.942	0.894	0.798	0.782	0.676	0.8	0.784	0.566	0.818	0.87	0.0	0.838	0.806	0.772	0.826	0.726	0.73	0.844	0.854	0.66
utf463	0.952	0.912	0.84	0.6	0.344	0.812	0.368	0.912	0.796	0.206	0.852	0.394	0.918	0.738	0.958	0.958	0.838	0.0	0.75	0.968	0.814	0.752	0.792	0.924	0.926	0.844
utf523	0.9	0.762	0.71	0.79	0.858	0.79	0.924	0.798	0.774	0.868	0.786	0.618	0.862	0.658	0.906	0.876	0.806	0.75	0.0	0.778	0.672	0.598	0.424	0.51	0.816	0.632
utf531	0.924	0.834	0.862	0.828	0.932	0.792	0.988	0.814	0.95	0.966	0.736	0.788	0.844	0.778	0.964	0.8	0.772	0.968	0.778	0.0	0.896	0.824	0.722	0.802	0.912	0.574
utf540	0.826	0.45	0.612	0.84	0.904	0.878	0.972	0.62	0.8	0.878	0.71	0.74	0.842	0.678	0.782	0.504	0.826	0.814	0.672	0.896	0.0	0.772	0.504	0.664	0.484	0.788
utf546	0.892	0.816	0.688	0.748	0.864	0.748	0.902	0.904	0.374	0.838	0.816	0.674	0.85	0.698	0.962	0.952	0.726	0.752	0.598	0.824	0.772	0.0	0.574	0.748	0.892	0.594
utf547	0.832	0.592	0.516	0.772	0.886	0.802	0.964	0.624	0.678	0.898	0.67	0.61	0.746	0.612	0.886	0.656	0.73	0.792	0.424	0.722	0.504	0.574	0.0	0.446	0.65	0.536
utf557	0.908	0.624	0.656	0.876	0.874	0.862	0.976	0.722	0.794	0.922	0.834	0.754	0.828	0.748	0.918	0.794	0.844	0.924	0.51	0.802	0.664	0.748	0.446	0.0	0.766	0.654
utf563	0.902	0.454	0.7	0.89	0.904	0.906	0.978	0.7	0.928	0.916	0.872	0.868	0.862	0.756	0.882	0.36	0.854	0.926	0.816	0.912	0.484	0.892	0.65	0.766	0.0	0.868
utf571	0.876	0.766	0.704	0.768	0.918	0.698	0.946	0.852	0.724	0.878	0.67	0.648	0.804	0.632	0.95	0.888	0.66	0.844	0.632	0.574	0.788	0.594	0.536	0.654	0.868	0.0
