	ec1057	ec1059	ec1065	ec1066	ec1075	ec1076	ec1082	ec1083	ec1084	ec1089	ec1091	ec1092	ec1097	ec1098	ec1100	ec1101	ec1105	ec1106	ec1108	ec1113	ec1114	ec1116	ec1119	ec1121	ec1122	ec1124	ec1126	ec1127	ec1130	ec1137	ec1138	ec1140	ec1141	ec1142	ec1145	ec1150
ec1057	0.0	0.6232611067228547	0.6352802859974693	0.6061240202560596	0.6308984972541569	0.5836658280776511	0.6220821868302858	0.7511335578667822	0.555200567274974	0.590953009636339	0.6633102144144117	0.5490637986205679	0.623718399805526	0.6197009649010374	0.571830572464624	0.6447186875296336	0.6692781353408075	0.5756246523651857	0.6158263056815355	0.5158049060348772	0.6279884685955809	0.6449972776897465	0.7005284211927917	0.6394607180646074	0.6545674266888195	0.605756960006384	0.6471340515327756	0.7003552591394266	0.6475305106643201	0.5657417938014344	0.6583408832470549	0.6318768366619538	0.642241193175482	0.6260925240853992	0.6949066953789768	0.6748223220548246
ec1059	0.6232611067228547	0.0	0.6428718802276806	0.5717691688564368	0.5711080867732435	0.6677197087682699	0.5607002299905353	0.7057006531893039	0.6071621411519363	0.5692275356438279	0.5578729174512865	0.6385180634083116	0.6045825440149948	0.5539383650863979	0.607669530220894	0.6085695012387968	0.5891503799730097	0.5758195290092353	0.5387802806198346	0.6626654325306401	0.5655732186560973	0.6124796813814545	0.5906130959674667	0.5852075102949758	0.5351128385791072	0.6698863857931477	0.6277146506914051	0.6128267502236096	0.5093321349487698	0.572679755093798	0.5937506935176644	0.6061561610058148	0.5746928193653353	0.543833292462706	0.5936337614596491	0.6443159992523064
ec1065	0.6352802859974693	0.6428718802276806	0.0	0.6271829528401611	0.6350516423870617	0.6471770492983566	0.6664582880160538	0.6779780382721278	0.6502750253252431	0.6793911149658343	0.6692591380794438	0.62670997634755	0.6409991261047362	0.6594774297665502	0.621587304809328	0.5864617211850233	0.6366504843732191	0.6172388804464869	0.6343861484986474	0.5982880440880496	0.6490455812808859	0.6227780809279357	0.6848752429362118	0.6437934381120467	0.6585442893374132	0.6497146930656142	0.6550147207493775	0.716172575920923	0.6550299959068098	0.6329922221865433	0.6981043308539032	0.6673022438001696	0.6234059357292663	0.6673747160483353	0.6798194523240443	0.6913309446328164
ec1066	0.6061240202560596	0.5717691688564368	0.6271829528401611	0.0	0.5721528828021534	0.653231821608294	0.562045154279956	0.735442644382827	0.6053408499449467	0.5933381140827665	0.6146712081915849	0.5733097199565629	0.5944389367449165	0.5814043023534715	0.601005557094911	0.6230800333825472	0.6330312429331002	0.5537182833597246	0.5860118728610062	0.5996210303416719	0.5508844147861081	0.5817521537188012	0.629575038298986	0.5519101419703745	0.6113398490110686	0.635472792925577	0.6094204622969058	0.6406951522720733	0.5718673087606694	0.537537601235388	0.6276014190469212	0.6429040681173669	0.5960380754401036	0.6045164749441645	0.6416448984949055	0.6360428945801162
ec1075	0.6308984972541569	0.5711080867732435	0.6350516423870617	0.5721528828021534	0.0	0.647851413890313	0.6133990551151268	0.7023194103401545	0.6422569927722704	0.5769709305787232	0.6133213344973765	0.6074685969882693	0.6136425510804429	0.5858534483433501	0.645087641158091	0.6413698009758404	0.6415522131354152	0.5680323670977975	0.6081110643045481	0.640820281001288	0.593651976575389	0.6223622993776277	0.637025911653564	0.6194143597198293	0.6584601625021439	0.6349982424733585	0.650773287580495	0.6451021591103645	0.5518828821696132	0.5973248954493969	0.6227712630806287	0.6014850627731934	0.5853456073457073	0.5971203354500773	0.6175726967598791	0.6463585387377193
ec1076	0.5836658280776511	0.6677197087682699	0.6471770492983566	0.653231821608294	0.647851413890313	0.0	0.6899463208570333	0.7710948182358027	0.5644831163266487	0.6632963603127028	0.7285239985223225	0.5070536411244928	0.6513330498136293	0.6538994685298388	0.5807160380986958	0.6679565159413237	0.6414083304667402	0.6426193369470701	0.6549289070291411	0.538562404050497	0.6596405200718243	0.6416871329167262	0.7181451386390358	0.6886943973420496	0.6980393457517549	0.5454481700009459	0.692869528229868	0.7218542276878712	0.6745927831650788	0.6360865374431292	0.7090677591164747	0.6688937392948658	0.6711886910785858	0.672383296439797	0.6857593911547966	0.7065458131272577
ec1082	0.6220821868302858	0.5607002299905353	0.6664582880160538	0.562045154279956	0.6133990551151268	0.6899463208570333	0.0	0.7274476453766955	0.6302240412839576	0.5830302210081006	0.5673599138624927	0.6500337416380685	0.5811900366562311	0.5638452070198089	0.6280571658607965	0.6221488034645946	0.622853251771727	0.6044078414910148	0.5663148559326163	0.6563775679366353	0.5499440665866411	0.6317133936326381	0.6367341773819202	0.5823555257938219	0.5729607965427215	0.6796579559284867	0.5525260496004315	0.6355085257979848	0.5432560819174738	0.5894849883158539	0.6090865930057127	0.6363086404231155	0.5724839730226253	0.5665947204243468	0.6184129458077192	0.5924180153146041
ec1083	0.7511335578667822	0.7057006531893039	0.6779780382721278	0.735442644382827	0.7023194103401545	0.7710948182358027	0.7274476453766955	0.0	0.7249126736356587	0.7228112814399323	0.6987282700112011	0.7140538940447247	0.7140436854555149	0.7251189762437702	0.7091515177073499	0.6690793441991998	0.7006641896397627	0.6770678119575653	0.6922613982202528	0.7175955202230991	0.7004585689082249	0.6645630004630011	0.7130505354809779	0.7130807989778791	0.7363646794144085	0.6730760144922616	0.6932183860852729	0.6146393070212621	0.7089766314230123	0.7103029951854705	0.7227592806374372	0.6448070993267866	0.7303613336697997	0.659943312072915	0.6987989095793028	0.6992214203070386
ec1084	0.555200567274974	0.6071621411519363	0.6502750253252431	0.6053408499449467	0.6422569927722704	0.5644831163266487	0.6302240412839576	0.7249126736356587	0.0	0.6299210461810838	0.6375963063741795	0.5604490953762139	0.5933396810020752	0.6385022263359601	0.5298877405129138	0.614578842877411	0.6122730335876041	0.5743308677695673	0.5822148443231107	0.5190188258256372	0.6044877079951071	0.5965300798867377	0.6671011271215888	0.6111262881539813	0.6477759716731692	0.5486128922154541	0.6206884603159842	0.668103458292447	0.6222949280076033	0.5810008717775402	0.674878579677467	0.5835696143788344	0.5994462881772021	0.6118876271088487	0.6778647075502165	0.6689161776057314
ec1089	0.590953009636339	0.5692275356438279	0.6793911149658343	0.5933381140827665	0.5769709305787232	0.6632963603127028	0.5830302210081006	0.7228112814399323	0.6299210461810838	0.0	0.6215967420846356	0.6024722966985522	0.6004909429481035	0.6083901506046945	0.6191148066177876	0.6560834505997494	0.6173138020931909	0.605050399975727	0.5715801420683834	0.6438400547410233	0.598332568279207	0.6413554922240537	0.6326358924446983	0.5652652762719362	0.6242930042147374	0.6575342089265522	0.6401520967458922	0.6466951947780815	0.6105352627025395	0.521151777301711	0.6219579414607243	0.5911794366541581	0.6116502513606414	0.5593652713468227	0.6368939165962739	0.6357613694064074
