Feature ID,kingdom,phylum,class,order,family,genus,species
23552251a867c2bf2a57bdb0858e9178,k__Bacteria, p__Planctomycetes, c__OM190, o__CL500-15, f__, g__, s__
fa028c1f73b1f69eaeb177cbb417e927,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
d1cb5368b21b6dba263a12ed87e43fbe,k__Bacteria, p__Acidobacteria, c__RB25, o__, f__, g__, s__
06a94661342219cd7d17cfa516866da9,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Gaiellales, f__Gaiellaceae, g__, s__
d342e715cf83395d48c4f986a0668540,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__
02d8334a7920c1a33e00b3b03eadc5a8,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
9450425f108e6ce4a6c9765de235f41a,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae, g__, s__
1feb75852222e0ab68592376100b6ec3,k__Bacteria, p__Chloroflexi, c__Thermomicrobia, o__JG30-KF-CM45, f__, g__, s__
0a99ba0118e2fed4634009b7a256abc4,k__Bacteria, p__Elusimicrobia, c__Elusimicrobia, o__FAC88, f__, g__, s__
3851de175dfecd666c16bcff875ecd0e,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae, g__Rickettsia, s__
742fd8ff31dac7408e40b8d25c346087,k__Bacteria, p__Armatimonadetes, c__0319-6E2, o__, f__, g__, s__
50214de47499a4c1bfb1ccb2d12fcb38,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
e7a075e35be700593df27089a7b95a9d,k__Bacteria, p__, c__, o__, f__, g__, s__
e1d313e123418a10c9ddf0e4cd8d65a2,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__
