	ec1441	ec1442	ec1444	ec1445	ec1446	ec1449	ec1450	ec1452	ec1453	ec1454	ec1455	ec1457	ec1460	ec1461	ec1462	ec1463	ec1468	ec1469	ec1470	ec1471	ec1479	ec1489	ec1490	ec1492	ec1493	ec1495	ec1497	ec1498	ec1499	ec1500	ec1501	ec1502	ec1503	ec1505	ec1507	ec1508	ec1509	ec1510	ec1511	ec1513	ec1514	ec1515	ec1516	ec1517	ec1518	ec1521	ec1524	ec1525	ec1526	ec1529	ec1533	ec1534	eti145	eti146	eti147	eti149	eti151	eti152	eti153	eti154	eti156	eti160	eti161	eti162	eti164	eti165	eti166	eti167
ec1441	0.0	1.2397515486833899	0.608373871034205	1.1690416949144475	1.1205768995277325	0.37963417191940557	1.2381002953450864	0.650314315601009	0.6667404928205387	0.6688398482240626	0.6512697524782768	0.6510602894131349	0.3654967509279232	0.6301651293823611	0.6815810804395541	0.6573676638459046	0.6205909653607594	0.5789433238242155	0.6414215318772959	0.5831221764945587	0.5859817437546204	0.8080201276547212	0.6613646532893532	0.6479622221780121	0.5880979156222422	0.563635290881802	0.7403076074210293	0.3966592192897868	0.6264823038287177	0.6656177147489708	0.6142931206055212	0.5688074088522864	0.6397308091219234	0.6853822456390886	0.6741955347620734	0.6303042388338345	0.5958414790252393	0.611929837282505	0.6093963819669874	0.6702923114289744	0.666193766924017	0.6655026684371097	1.0742980661739008	0.6446714548907033	0.6178539825046643	0.6574087010440495	0.6722542682017225	0.6650471317391169	0.7894834444914341	0.6200425886863324	0.651087442057177	0.6615001317261845	0.6650097051167226	0.656209940994603	0.6636779990328577	1.150841829979918	0.5532954681333986	0.5160182730536479	0.6562736980082194	0.6561410897012941	0.5864719029594044	0.6265817163020195	0.6392479922222191	0.9224270974408849	0.6224507057782217	0.6631911048108597	0.6034097980124973	0.6438958052805541
ec1442	1.2397515486833899	0.0	1.2549535003585617	0.12573623317994953	0.13573351724923685	1.22751066031088	0.006409942735496609	1.2710842585280688	1.2730245468908346	1.2714948408537419	1.2649555944016813	1.2708552366345272	1.2617065506578147	1.256895991547452	1.283648597173271	1.2677838767356717	1.2318824868368374	1.2072282287768652	1.2603516011625324	1.181023750993545	1.1695080352282408	0.7985204137697677	1.2694240273048312	1.2611619306858364	1.2464030037335896	1.1685795672600274	0.8221902524488209	1.248466870283485	1.2616243753420846	1.2720947545093306	1.2430460954180205	1.2554412550253162	1.2616677737195983	1.2887337513630974	1.2276537215200403	1.2703942543608167	1.2068922002921818	1.1371856529615196	1.2540067610013692	1.2782700280867823	1.273051072987949	1.2742134371040983	0.2835702345968523	1.2587786080342824	1.2471231420778146	1.267427364060693	1.2770705197746999	1.2695427626421112	1.0943032179898706	1.1969609837281134	1.2693051440257799	1.2223215859216459	1.2710662181931016	1.2674901818877449	1.2733237788011031	0.5088609844984144	1.1916565780253305	1.2478262233801913	1.2668379068310882	1.2724023074916497	1.2384523664759814	1.2422977570976743	1.2615220024345082	0.5530635398490398	1.2449164351633066	1.2711414199928828	1.2270482015393074	1.1209636898861155
ec1444	0.608373871034205	1.2549535003585617	0.0	1.1296354238862858	1.160651700255649	0.487263565489558	1.2533454539119258	0.13507606874451805	0.16963633449302706	0.17978361361702483	0.14112941686856564	0.11095839020882772	0.3159305536225636	0.1534809425688195	0.18603342519552274	0.16900383147101442	0.2709659097638887	0.3480428468677604	0.10575735095841227	0.45310801342018975	0.5130049798928409	0.4674323093940973	0.17086988649650167	0.14527626129176124	0.08106383435456316	0.37536287645259087	0.4638347844470997	0.47307208671089385	0.1331775614795599	0.16993851413356645	0.10183872967913861	0.14917449337892502	0.1162781599303703	0.18400586310400616	0.23077972133646266	0.15471844865351894	0.3141274961292112	0.4920203167482948	0.12395568207408729	0.15803431832039425	0.17287441644233859	0.17799516414973326	0.9864389302537238	0.15205241920330537	0.14182870786356502	0.1747661997947557	0.1886933730380639	0.1806224191750906	0.5016121542031786	0.20230682498827118	0.1502756009144227	0.20797775058422083	0.16335787111245667	0.15312632793026415	0.15063110429040336	1.1927150841359258	0.43032225184006023	0.3213573352245894	0.1670411216564205	0.16189780267467485	0.19649618162011295	0.0674470587750582	0.08875859791633793	0.7211618154235949	0.13152491065454108	0.17298502460227258	0.11992548467124405	0.23070895426177962
ec1445	1.1690416949144475	0.12573623317994953	1.1296354238862858	0.0	0.07148985991847172	1.1536787244501165	0.12537696659036257	1.1457661822157927	1.1488116814246345	1.1472537137621064	1.1412218437903239	1.1455658452299846	1.1398278037742324	1.1315923297748771	1.158330520780995	1.1424658004233958	1.1101474031976915	1.081910152424589	1.1350335246902565	1.1180291788588395	1.1080398995341816	0.6731202415726396	1.1441059509925553	1.1382440730506658	1.1210849272613135	1.0448888725126735	0.6965939216738439	1.170124188093978	1.1397741170588476	1.1478550074390705	1.1177280189457448	1.132913956829667	1.1363641121070236	1.1634156764708217	1.1023356450477642	1.1488472161351586	1.0815741244799062	1.0150459421974807	1.1320702234219568	1.1529519517345064	1.150062260576054	1.1521470738328523	0.16152662174277904	1.1370868344427523	1.1226938530067827	1.144488951441206	1.1554218858312577	1.1464684757287582	0.9690138265853283	1.0718290093011626	1.1445240080900325	1.09700350944937	1.1457481417808255	1.1437402245653452	1.148005702328827	0.4374933432962966	1.1097304854348793	1.1233133464612293	1.1446140427628035	1.1474657146801637	1.1131773477677098	1.1169940953650996	1.1362039259622325	0.4273437981248604	1.1195983588510308	1.1471180616615981	1.1017445397667327	0.9956456134338394
ec1446	1.1205768995277325	0.13573351724923685	1.160651700255649	0.07148985991847172	0.0	1.107837715911897	0.13461245026627497	1.182775921233955	1.1932717943359705	1.1931006442275423	1.1869725864873126	1.1868792187393233	1.1443532145416953	1.1698949760839104	1.2069410105532392	1.187484503237272	1.1525620564117895	1.1148657989107849	1.1778655140795045	1.1022829478762084	1.0953421052226477	0.7190604667308748	1.1890520499390655	1.1822751825232904	1.157400567043856	1.0876226471020942	0.742204356323028	1.1247560162717238	1.1668008686582305	1.1911451780829136	1.1533935699160491	1.1589636988559822	1.1766557271481466	1.2094461327120603	1.1498639785825424	1.1712638042552845	1.1266097765409588	1.042112449807833	1.1556302663319806	1.1983326518634363	1.1955820283435339	1.194420587147711	0.19962178643578493	1.1788314746339397	1.1640690625588337	1.1876420958122336	1.199602577403102	1.1920737179976966	1.0143658417665251	1.1177079846719535	1.18019674246375	1.143520379917977	1.193254984965094	1.1899204957441034	1.1933864025777574	0.39977258737596333	1.0912488353177456	1.1387726436732943	1.187157887692936	1.1924568839447236	1.1354870227728475	1.1606228969879329	1.1777218335110353	0.4732282681308462	1.159975649192464	1.1895926894809452	1.1395407733294984	1.0417106908099563
ec1449	0.37963417191940557	1.22751066031088	0.487263565489558	1.1536787244501165	1.107837715911897	0.0	1.2258594069725763	0.5442501220188588	0.5663486629418639	0.5692487564783881	0.5468267653655654	0.5372710453108664	0.3309288578439218	0.5603234810139742	0.5876494243908627	0.5586635024368832	0.5213991903034211	0.4542724035563454	0.5298327870142309	0.46219454174703983	0.48094643100886636	0.7962348442617048	0.5600073417392131	0.5451096309877455	0.4858908761628404	0.442328519145477	0.714958057252975	0.36865011127215974	0.5204517916416161	0.5657148510091846	0.49617628142781417	0.46262303200125154	0.5295935723214018	0.5842322387930045	0.6290034328667159	0.5336551808401022	0.47105429800959553	0.5878869994242686	0.5082149601918811	0.5660955523482912	0.564151597991358	0.5643709447731182	1.0678261949153733	0.5442018432641755	0.5408842580403024	0.557292967188169	0.5707899702696044	0.5677328077280679	0.7387471290296297	0.6022375461474629	0.5460248304860243	0.6125934182920338	0.5629385816562663	0.5537336341808932	0.5590603253454139	1.1470536828700992	0.4413424478718144	0.3751881389908534	0.5530075719541074	0.5538660963080979	0.47178032765690364	0.526056451365281	0.5217968313934204	0.9142225055374408	0.5032055700711361	0.5636897837439777	0.49186282966653677	0.6309625063898898
ec1450	1.2381002953450864	0.006409942735496609	1.2533454539119258	0.12537696659036257	0.13461245026627497	1.2258594069725763	0.0	1.269476212081433	1.2714165004441988	1.2698435875154381	1.2633043410633775	1.2692471901878914	1.260098504211179	1.2555282491997233	1.282644663137064	1.2661758302890362	1.2305147444891087	1.2055769754385615	1.258743554715897	1.1794157045469096	1.1687667076079316	0.7970555916134895	1.2677727739665272	1.2597941883381074	1.244751750395286	1.1669283139217235	0.8201295772538475	1.2468588238368492	1.260016328895449	1.2707270121616019	1.2414380489713848	1.2538332085786807	1.2600597272729626	1.2870824980247935	1.2262081217152103	1.2687430010225131	1.2052841538455463	1.1355776065148842	1.2523555076630655	1.2766619816401468	1.2716833306402202	1.2728456947563696	0.28014716115166094	1.2571705615876465	1.2454718887395106	1.265776110722389	1.2757027774269711	1.2681750202943824	1.0926951715432351	1.1955932413803847	1.2676538906874761	1.2206703325833423	1.2694581717464661	1.266122439540016	1.2717157323544677	0.5072529380517791	1.1900485315786948	1.2461749700418876	1.2654701644833595	1.270794261045014	1.2368443200293457	1.2406897106510386	1.2599139559878725	0.5503397554161078	1.243265181825003	1.2697736776451538	1.225440155092672	1.1195959475183868
ec1452	0.650314315601009	1.2710842585280688	0.13507606874451805	1.1457661822157927	1.182775921233955	0.5442501220188588	1.269476212081433	0.0	0.056270633193344986	0.05992188540790505	0.04807882965321595	0.1131806211353387	0.37606427166562534	0.06701602297427497	0.059970613072036466	0.1318146149657174	0.28658120219903477	0.4341681315025453	0.06757436504479582	0.5045302923833751	0.5287919193334549	0.48433873208997164	0.05688970674645792	0.06586626325661775	0.1742360182365528	0.4299691295826067	0.5533735718508445	0.5522411577867621	0.12082463218554339	0.048625522881471345	0.15954856285844082	0.18922429367686638	0.07094863322549536	0.05994262504315157	0.1431734402607967	0.07643089889500208	0.40203891103856226	0.5552576618875943	0.10260880203878865	0.03654967647345708	0.055729793599187206	0.06974124385295566	1.0038251959596907	0.11120204050813996	0.11311157408072964	0.05587746787021322	0.07722515678421288	0.06283266347483049	0.5474218042579684	0.088187875902463	0.042735818799858466	0.17504037250632154	0.04899710660678715	0.05048260436053028	0.035399607651768084	1.2234550264105268	0.5007068654159309	0.38006309225758156	0.05081573524983663	0.04706491562505483	0.2688055401000604	0.13450447615300254	0.062300138313932184	0.7404966689416816	0.18180616139769853	0.057674752370494936	0.2051631936243495	0.15886172225365008
ec1453	0.6667404928205387	1.2730245468908346	0.16963633449302706	1.1488116814246345	1.1932717943359705	0.5663486629418639	1.2714165004441988	0.056270633193344986	0.0	0.029787845868295755	0.06288060509315986	0.147240427823372	0.39469107041051743	0.0908832491367233	0.04950073636274614	0.13767606105366856	0.26932129307960595	0.4661570438005197	0.09461377051250708	0.5224411983849883	0.5281705872986842	0.4885812911216255	0.02001700643283195	0.06707173679663228	0.21253140915372118	0.4431301472758132	0.5857768204193987	0.5823632199210405	0.11606346543744951	0.018535522798785495	0.19366508583765082	0.20004742674084366	0.09800147898345649	0.0479185929520531	0.14859503365701215	0.07346403029249293	0.4310829790372259	0.5691624787688436	0.1062025588724656	0.03938633352022451	0.023503821871931323	0.032528205010053726	1.0088312669876747	0.10046997254772404	0.10773497766370704	0.032404587999139076	0.03218219181201222	0.03281784920368236	0.5675412256090967	0.09199319574902554	0.030684014829387648	0.19466086071604852	0.015292923889882086	0.04189597346494583	0.0330961257494146	1.238308064923889	0.5195214990845225	0.41010806523265436	0.04301816464216215	0.01910224061425729	0.310316391758807	0.17276576249941356	0.10433930037161968	0.7367629229899646	0.2154617888935947	0.022782701453858394	0.23845047116957702	0.1847854044467119
ec1454	0.6688398482240626	1.2714948408537419	0.17978361361702483	1.1472537137621064	1.1931006442275423	0.5692487564783881	1.2698435875154381	0.05992188540790505	0.029787845868295755	0.0	0.05924107770399175	0.1527125613924117	0.3951344757074372	0.09839289454997391	0.04209016620638076	0.13892614360565816	0.2862071350177914	0.4680438534625124	0.09821873542611861	0.5241476996867366	0.5252613702189255	0.49642584713698834	0.025611050676014508	0.07541289234398874	0.2196822583147879	0.44612251798992075	0.592097756690297	0.5844732247596687	0.1371269459471867	0.02023457013002196	0.19198894291548063	0.2106173305633015	0.10336602680270363	0.03989028287953495	0.15576739208969337	0.09287760383293595	0.4338443664839555	0.5744572908135726	0.11903308817231775	0.042501057033477674	0.03889871934961608	0.054421555189198584	1.0110543230202313	0.12097057305389113	0.12718032566246332	0.016550688996197674	0.04763596672651032	0.01400849484305694	0.574599865327711	0.10285731236404251	0.04762509819490776	0.20257006944433065	0.029857958105577034	0.05659152668722219	0.0367588693959017	1.2394602349224582	0.5233193407574708	0.4136906629254568	0.0287510293208763	0.03997418410786003	0.318059038181046	0.17865560151492108	0.1090636171942807	0.7449849700034157	0.22242705484315567	0.022777824570475558	0.2461454889501105	0.1916091530921791
