	SRR21280500	SRR21280501	SRR21280504	SRR21280506	SRR21280507	SRR21280508	SRR21280509	SRR21280510	SRR21280511	SRR21280512	SRR21280513	SRR21280515	SRR21280516	SRR21280517	SRR21280518	SRR21280588	SRR21280622	SRR21280623	SRR21280624	SRR21280625	SRR21280626	SRR21280627	SRR21280628	SRR21280630	SRR21280631	SRR21280632	SRR21280633	SRR21280634	SRR21280635	SRR21280636	SRR21280637	SRR21280645	SRR21280646	SRR21280647	SRR21280648	SRR21280649	SRR21280650	SRR21280651	SRR21280652	SRR21280653	SRR21280654	SRR21280656	SRR21280658	SRR21280659	SRR21280660	SRR21280661	SRR21280774	SRR21280775	SRR21280819	SRR21280873	SRR21280874	SRR21280875	SRR21280876	SRR21280912	SRR21280913	SRR21280916	SRR21280917	SRR21280919	SRR21280920	SRR21280921	SRR21280922	SRR21280923	SRR21280924	SRR21280926	SRR21280927	SRR21281059	SRR21281081	SRR21281124	SRR21281125	SRR21281126	SRR21281127	SRR21281128	SRR21281129	SRR21281130	SRR21281131	SRR21281132	SRR21281133	SRR21281252	SRR21281264
SRR21280500	0	0.2939793883904819	0.2234799120931804	0.2897172099221246	0.2185851573210795	0.2116397248593099	0.1733446461263642	0.2634849980452919	0.2011447832224634	0.2011672609259424	0.3873680916911403	0.2265000798301111	0.6653372521894958	0.1834832273135174	0.206445828875346	0.4109222545136414	0.1667246851343711	0.2696764646602866	0.2386231451800956	0.2910336538123798	0.2400815556715626	0.2820980312227236	0.2237372740934776	0.2382238371935616	0.2303801442907538	0.2044445799843339	0.2348177926039869	0.2644573542502057	0.2026909707866861	0.242044887969413	0.2040939238158147	0.1691980204870029	0.5148492684637714	0.2768690682022503	0.4719284579026342	0.269106473416609	0.277650438425595	0.2139663291305863	0.1923762881458091	0.2657419366722679	0.7134007058115834	0.1684712782134558	0.2169006797188268	0.2204898487616997	0.2425387699668123	0.1905285669040523	0.19973207517206	0.2848550991980995	0.172855460829643	0.2572615117359235	0.2622345182481808	0.2319628932318875	0.2543340219591575	0.2676096808148635	0.2329045561981602	0.2614604924739304	0.2354101460671452	0.2691791106650833	0.2323205907910442	0.2269168026867076	0.2286926230850287	0.2388631823112418	0.2185820959465909	0.2806185293613844	0.2350144753696008	0.2960083493080263	0.2340412582719284	0.2642414071476739	0.2369896588608741	0.2970560420486297	0.2870279480003897	0.2783074423215343	0.2513894877301961	0.2326652280027797	0.2270536224936849	0.2340158517252817	0.2471364328275225	0.219851117603318	0.5111900161766321
SRR21280501	0.2939793883904819	0	0.2771289112256097	0.3407979409374057	0.14968625546008	0.153855961161845	0.1945580972119818	0.1180269849362356	0.1434064492837025	0.1602059316644364	0.4251806209578836	0.1410145787106432	0.8168574176348303	0.2656042195158104	0.246969485309059	0.4897709916605486	0.1613061678391141	0.044638515169655	0.0933684818579395	0.02567798049432498	0.08000866916596321	0.04069796844509187	0.1081365685576552	0.1348499987190011	0.13885434177637	0.1390221047311213	0.09090078480441033	0.04330375344522366	0.1163088571192583	0.08134160832248755	0.1619107599885322	0.1850718666837613	0.6552555543475842	0.03446790381504682	0.4446583337432712	0.04438695863491903	0.05362495457918742	0.1370297797159799	0.3018029498269416	0.04756202713633981	0.7027450521235689	0.195020103621776	0.1174634943572642	0.1099146564634861	0.08156589974401368	0.1438360167859829	0.1692613133516858	0.02957217308300344	0.2760054324684205	0.07585201311922413	0.05289719006966918	0.09147198250932992	0.1023426441028287	0.04710056651629874	0.08667971989418073	0.06480739442202006	0.0876912528339663	0.05079115217726583	0.1155317187708847	0.09573025745713155	0.0902203635335454	0.08038436355147592	0.1059956368752367	0.0321361635465516	0.08586358323542354	0.386619078188675	0.08204591014828369	0.05161830717412518	0.07979932252400407	0.01117510632847582	0.01973300477174575	0.0370721739899814	0.07142633706334825	0.08804128524533447	0.08903987182527531	0.0897096342453327	0.06368938826530884	0.1083649759203617	0.5136424492922117
SRR21280504	0.2234799120931804	0.2771289112256097	0	0.1423836608359925	0.1809192874294156	0.1473902995476306	0.1767058821923249	0.2302291986284763	0.1852781236469977	0.2077733147994316	0.2928578327719359	0.1893607302294601	0.7620879322600161	0.1291035286507699	0.2159729164583478	0.4976968669555734	0.1775622677699024	0.2506230720703161	0.1994955109938938	0.2675478966586977	0.2421543073285687	0.2549138568502983	0.2425442746468143	0.1669401501101866	0.2550597018913765	0.1880760165919303	0.2241464583977112	0.2445247862571932	0.2187418008417384	0.2126397894333708	0.1712013322295904	0.2064715964398526	0.5847182361614951	0.2587283586489143	0.4664845467606812	0.2653501492598137	0.2514100711499203	0.2025599698854719	0.3077938315141037	0.2493542696219511	0.5950966097833322	0.2130937166553414	0.2193257324824359	0.2167052647138533	0.2281146320230267	0.2089798360108009	0.2118543891457917	0.264032123879624	0.2963693475175128	0.2276158940802408	0.2415390648547257	0.2131279609785931	0.2242387480909037	0.2469464975740054	0.2137959079664586	0.2352954571472729	0.2113793723455951	0.2465241797890582	0.2295901688120665	0.2104500012823849	0.2146247988630771	0.2207768041367492	0.2148457996326226	0.2600673312848928	0.2179587042223711	0.365605022985907	0.2473296225330782	0.2446281200809732	0.221607508503328	0.2783022352000819	0.2688394315995352	0.2544479171091399	0.2316114353164358	0.2131289392335569	0.21284545141274	0.2190426424368631	0.2265967483567173	0.188622778475355	0.4888323929939464
SRR21280506	0.2897172099221246	0.3407979409374057	0.1423836608359925	0	0.2377296518049756	0.2295982473857818	0.2424916562305821	0.3008784852321765	0.2585019801338052	0.286978702381294	0.2219786137766903	0.2601293406031252	0.788588965747488	0.2290840015203157	0.3005609394866358	0.543189791996628	0.2420581889518816	0.314856175489778	0.268811343645896	0.3364101021434426	0.3049861756422605	0.3215832763535427	0.304557133714277	0.2282463938795702	0.3180257582520188	0.2488111202070022	0.2847839716130868	0.3109585270737388	0.2820533857521716	0.2789788039256373	0.2461619101717686	0.2762486291635665	0.6025249080730219	0.3220920621332102	0.5319076995192383	0.3368953380408917	0.3213917646492421	0.2716509666699884	0.3822174310286429	0.3167325001828744	0.5317412241491624	0.2881748318823557	0.2982109000409906	0.2814942435770961	0.2920285164224156	0.2834027106576484	0.2924790831945586	0.3313606604270246	0.371879419636364	0.2872839232049911	0.3076855136704393	0.2802332931100269	0.2876383592413053	0.3136797610375082	0.2807422166939853	0.293842015280793	0.2782486681305795	0.3140491769936989	0.2972573108941274	0.2775554061360078	0.2813041363768672	0.2873311421230675	0.2797139407376277	0.3266904634411777	0.2848469326036276	0.4124082983744724	0.3198739174353433	0.3117236086401909	0.2871544159935367	0.3436838837614197	0.3326532302189729	0.3203296074603013	0.2973672410071267	0.2776338532230081	0.2799011625196632	0.2861573901730465	0.2928675475273448	0.2743027045241092	0.5433211298564384
SRR21280507	0.2185851573210795	0.14968625546008	0.1809192874294156	0.2377296518049756	0	0.07696009903170511	0.1261577887085524	0.07957025174068795	0.06834217318405768	0.1775203838099414	0.3480876552341392	0.04901367522160991	0.7742792062006794	0.1844540325726587	0.1519711370482583	0.5006795444968497	0.09028010837850911	0.1276521202264074	0.1407357662881253	0.1468320151469096	0.1199709661858937	0.1321750096159555	0.1210920122558894	0.1448088549765632	0.1346609673819982	0.1297029897921497	0.09893650610420326	0.120775285571162	0.09745737293403534	0.08634344455464123	0.1389541304135796	0.1426164312577711	0.61653241795421	0.1394300164877095	0.395994379266618	0.1685120901172627	0.14550758542279	0.09526194392482915	0.2976058033642803	0.1282597624203484	0.6529497575154315	0.1517872010321591	0.1430757921420898	0.09929573378080718	0.1140218290275139	0.1235447913758758	0.1319338366448231	0.1422051498594863	0.2609377010616616	0.09684072278048021	0.1208880410785292	0.09142010470895451	0.09782658451478281	0.1259744632087589	0.09437393245340525	0.1061741491549329	0.09012668317759795	0.1254534949203433	0.1338219863581364	0.09144120911229203	0.09688709750650826	0.1000762135527185	0.09407780058615353	0.1371453642804048	0.09732119110096393	0.3971284609539577	0.1547147615601218	0.1237283725874176	0.1031732478438876	0.1529494362330658	0.1419403716176854	0.1303889966985687	0.1088489797487256	0.09270156594442189	0.09549040251094638	0.1016394651263468	0.1057161356191467	0.1015379517177946	0.4717016446980161
SRR21280508	0.2116397248593099	0.153855961161845	0.1473902995476306	0.2295982473857818	0.07696009903170511	0	0.09266531582604942	0.09138492886749136	0.09297983484141077	0.1764744368931712	0.3205994658918002	0.0630076331914282	0.7697887135137957	0.1591267132451397	0.1619813584615641	0.4908116375691272	0.07531285132122675	0.1309256286849728	0.09180781992480878	0.1476918534903768	0.1277995638144507	0.1389036018522651	0.1304777432930642	0.1018903279079621	0.1480316245162335	0.101951620816881	0.1145658588884745	0.1264535115664681	0.1068626393178941	0.1043554589115707	0.1110874017439564	0.1455446770759959	0.6178970779826509	0.1519325669489331	0.4081951942486278	0.1783152491516727	0.1566042041867267	0.1010555504649194	0.2987957216771381	0.1339747726955621	0.6107693038928702	0.151608033671142	0.1543145314980617	0.1043301289587193	0.1269129555820372	0.1342344481361083	0.1504541332398024	0.141247012790419	0.2621262692985339	0.1170494756162488	0.1208030916605067	0.09239395274081712	0.1167112057353346	0.1255020360359601	0.09804478617612057	0.1198884679126342	0.09648068405330719	0.1331262282344411	0.1601951203335443	0.0949031624030538	0.1007267717536655	0.1011845802400889	0.100093180813117	0.1359414190652267	0.09816657598202769	0.3597007831544042	0.164722846448974	0.1237953486422459	0.111541550430802	0.1532969907441549	0.1444802055743322	0.1355137486279736	0.1119179524919582	0.09727011109911567	0.09864531443674446	0.1049239574113816	0.1078045493150203	0.1126998523719305	0.465418091365987
SRR21280509	0.1733446461263642	0.1945580972119818	0.1767058821923249	0.2424916562305821	0.1261577887085524	0.09266531582604942	0	0.1555342749041711	0.107582567016571	0.1915801789651706	0.308184164430203	0.1197697925256639	0.7895241812249109	0.186499920974186	0.2115783264149323	0.5166467570963527	0.06501018034403901	0.163123734087905	0.1299116226723497	0.1818866468771144	0.1346435621689699	0.1764980446918113	0.1078457827501634	0.1235344381243641	0.09126899307059121	0.0970313848149976	0.1283515722408419	0.1591305269281949	0.09593242681765284	0.1373264080559521	0.1177460091953651	0.1557554134773169	0.6351998931657233	0.1820316779392371	0.427743136409709	0.2104013438298618	0.1916879784343595	0.1059529952876847	0.3124729788586882	0.1606405126271198	0.6359767131235692	0.1528658735287977	0.1705522380128338	0.1081857319156107	0.1438780999729176	0.1421005463012183	0.1731131202329121	0.1775176252931049	0.2728497043610754	0.1508972292591476	0.1563268384350528	0.1249021856257012	0.1458415971234671	0.1617491487229019	0.1271209011630474	0.1555681525951433	0.1290709149746621	0.1632288636488527	0.191491772941534	0.1196886025714317	0.1243281222958379	0.1325795611078476	0.1147767482845947	0.174789450664946	0.1290388703642242	0.3892707469900423	0.2000898976091569	0.1583753451836173	0.1310610948840355	0.1930743373077055	0.1855926056902132	0.1764415584968329	0.1464531644478206	0.1272605037478899	0.1209802545709663	0.1277561388800021	0.1447101050416124	0.1450254091489869	0.4827778978575833
SRR21280510	0.2634849980452919	0.1180269849362356	0.2302291986284763	0.3008784852321765	0.07957025174068795	0.09138492886749136	0.1555342749041711	0	0.0895025998955674	0.2056144616440563	0.3912694364692187	0.04592308025645403	0.791323567733579	0.2311372926241782	0.1696464318366025	0.5019291658263225	0.1208485086878518	0.09509596513811822	0.1571903690696696	0.1188913864174418	0.09104442669229089	0.1012736187933402	0.09376038156913861	0.1654870449896677	0.11377305849115	0.1637136011337208	0.1053265461512296	0.1154335370055815	0.09152202612991561	0.09710623599781848	0.1699482697002264	0.1625418924893561	0.6449987134132549	0.1164776138866277	0.4260935993686502	0.1484763752015858	0.1442794629963505	0.1072304153316487	0.3195651058748173	0.1032329822371679	0.6752138790536881	0.1661023832364591	0.1482200977533168	0.08292576847257588	0.09758358991176745	0.1245043993759362	0.1661733519474956	0.1041500314678987	0.2690765881480083	0.08593661515182502	0.08574885004663671	0.05605651709994317	0.08680142831235291	0.08940446105155597	0.06346070931128543	0.08525343902546585	0.05939813808980358	0.09552350212591854	0.1508298765207125	0.05853630632440598	0.0666987160127132	0.06506513259364888	0.06533462658648453	0.0967273304908797	0.06232155586864445	0.4175647702934224	0.1481494442663916	0.08732075011059023	0.08989712698152214	0.1111390847236873	0.1126630018406465	0.09881462778300323	0.07264359649495718	0.06163517850577948	0.08060422891158797	0.07267887410560894	0.07584108258630115	0.09851610955575685	0.4895694835915566
SRR21280511	0.2011447832224634	0.1434064492837025	0.1852781236469977	0.2585019801338052	0.06834217318405768	0.09297983484141077	0.107582567016571	0.0895025998955674	0	0.182928811196948	0.3475993768910342	0.08744894128289052	0.78204197748	0.1908251362921742	0.1713002282101873	0.4974691224976799	0.08610956046848739	0.1178692819595116	0.1603815422576196	0.140263648177809	0.08531689450690899	0.1291731640866818	0.08389023120805796	0.1592387517274759	0.09696420253277438	0.1283328063354904	0.09422124979550234	0.1280152507930843	0.06825956092165346	0.09966332758449216	0.1418997199144671	0.1324442721670606	0.6227757261276785	0.1279529938128266	0.4071037661478395	0.1579467360422316	0.1422765907665011	0.09075606601525671	0.3023820682766913	0.1153043965152742	0.6734896690156555	0.1415028089312067	0.1247768395704575	0.08480561557958073	0.09261159709007415	0.1049417072506215	0.1480385773680044	0.1330642843962023	0.2497522544893731	0.1020848971520586	0.1106923599800571	0.07887040956563302	0.101269342837674	0.1164023523641456	0.08160034313118912	0.1107361605677315	0.08227076554910562	0.1182219027124179	0.1435227875915475	0.07401979856084871	0.07754698717868613	0.0872784792963744	0.05904825405980432	0.129523184995033	0.08351590964185153	0.4114519169722125	0.1495809051028838	0.1137467590054059	0.09035045867102165	0.1455303383795599	0.1343813431663522	0.1285552315861311	0.09672930243452166	0.07690575444081771	0.08529149579565606	0.08155211056702155	0.09554506492296445	0.1019070678111451	0.4818663149209198
SRR21280512	0.2011672609259424	0.1602059316644364	0.2077733147994316	0.286978702381294	0.1775203838099414	0.1764744368931712	0.1915801789651706	0.2056144616440563	0.182928811196948	0	0.4083852522887194	0.1861831224803718	0.715847478070905	0.1622410541891581	0.1481882812238996	0.3939114893394369	0.1858333306215568	0.1346782272210516	0.1353442951139157	0.1469162550019504	0.1577200627970148	0.1416846599861165	0.1844391461222352	0.1465481799308589	0.2154385083221578	0.1482812662446054	0.1487857537139651	0.1312186499056253	0.1771365762758478	0.1306754521412869	0.1417089997626455	0.1310342762227678	0.5359336981257283	0.1361964046554036	0.428406142936313	0.1215877726805465	0.1307386336707941	0.1741401291652533	0.2079359749048553	0.1333622041447057	0.6926291516526777	0.1125453228259907	0.0888877020011344	0.1821365854841157	0.1432887428650941	0.1495288768958916	0.1431061411729171	0.1471099678784106	0.182901047944313	0.1499603778153572	0.1369998547342021	0.1764210202377187	0.1749930619067259	0.1327220616533027	0.1675901973556996	0.1462832946906283	0.1687578086947705	0.1361543548021747	0.1070925078849374	0.1770331929886723	0.1725286359729659	0.1632080282630002	0.1840369870175573	0.1406214159023967	0.1681424354356636	0.2791676424706792	0.08911671517327062	0.1365476993323671	0.1475722573152359	0.1583487315756967	0.1506491411830486	0.1423082046000158	0.1539237656526173	0.1676138805717462	0.15720278312137	0.1692956918676581	0.1490402756500478	0.1397297978322895	0.4731464664664838
