	SRR21280467	SRR21280470	SRR21280471	SRR21280472	SRR21280473	SRR21280476	SRR21280531	SRR21280536	SRR21280678	SRR21280682	SRR21280683	SRR21280684	SRR21280685	SRR21280718	SRR21280719	SRR21280730	SRR21280741	SRR21280788	SRR21280789	SRR21280792	SRR21280795	SRR21280798	SRR21280800	SRR21280801	SRR21280847	SRR21280848	SRR21280897	SRR21280898	SRR21280902	SRR21280903	SRR21280909	SRR21280910	SRR21280949	SRR21280952	SRR21280954	SRR21280955	SRR21280956	SRR21280958	SRR21280960	SRR21280962	SRR21281007	SRR21281018	SRR21281022	SRR21281023	SRR21281024	SRR21281045	SRR21281047	SRR21281049	SRR21281050	SRR21281052	SRR21281054	SRR21281056	SRR21281057	SRR21281058	SRR21281068	SRR21281069	SRR21281071	SRR21281079	SRR21281083	SRR21281084	SRR21281085	SRR21281109	SRR21281157	SRR21281184	SRR21281185	SRR21281188	SRR21281190	SRR21281191	SRR21281194	SRR21281219	SRR21281221
SRR21280467	0	0.3267104822253623	0.5972473843808096	0.3144343481174554	0.3795235148512965	0.5344658213121307	0.4653463580515758	0.5564776354385148	0.4932297869274668	0.3668098300574387	0.5163190475954359	0.3632900868768781	0.5051550855798012	0.3908851566783436	0.3806252225900335	0.4706339723948705	0.5616982981396516	0.3838076208025404	0.1783310120335093	0.3105469639466172	0.3895240429791311	0.1791897414997046	0.4384366796373354	0.5336122950637544	0.5286144571773643	0.6092273769777	0.5571610970176536	0.3544431580881063	0.5503078161664395	0.4744064476898017	0.5565048298017579	0.3569229772443535	0.4313805457326436	0.3863717613495366	0.4542747314540979	0.5834964902068097	0.6188677614884024	0.1697832425315462	0.5471714872843281	0.3883525769592462	0.321931168336784	0.3452914602548591	0.3516258369599293	0.4329313419665493	0.2404133150765611	0.5552729709408695	0.4312733814097967	0.3688957567037592	0.4717781215233133	0.4953657139253362	0.3786566107632569	0.4269096700995109	0.4130033922728341	0.5096683401676509	0.7022979382994272	0.7004095026082542	0.5512712198351067	0.5710384511289375	0.5732671864041543	0.5680774857466513	0.5347955913290933	0.4764615980290851	0.5604842777216068	0.5224666307676468	0.6057851029431782	0.08349345246455571	0.3245863830269541	0.236946765888056	0.3043691361597736	0.4338163362083167	0.360340005385572
SRR21280470	0.3267104822253623	0	0.5766632337392197	0.3780019793842855	0.4394472422961255	0.4808007347827278	0.541603294116321	0.5465663776361284	0.4409208216725193	0.4751655542060387	0.5503538776584153	0.4131591612266113	0.3890553346880455	0.5488816606517843	0.4338663893256227	0.5990914422353831	0.591175926579024	0.4335743881174531	0.3994758150562671	0.4806314684150687	0.4419706278236837	0.3373184666249673	0.4830284054556623	0.5997390409301248	0.4660567219174704	0.594146919714871	0.5894678825278508	0.4170034440032934	0.5802270012351857	0.4203119567266208	0.6016897665485259	0.5274483769033153	0.5229304536600453	0.4317299749876614	0.539370688359026	0.6817910827577126	0.6465837753130417	0.2612740190154195	0.5311743808447656	0.4315430440062513	0.4873111776213151	0.4806410448799179	0.5054806553925275	0.4974866719427406	0.4377010034429901	0.5081243728563549	0.4702157445350297	0.4167179155670976	0.5166335549577925	0.5354136887076469	0.4231796624435961	0.4731143194144453	0.455008860213896	0.5434711344780687	0.6432513671709479	0.7365662830978353	0.6566407701554466	0.6701317176121723	0.6584149150716759	0.5957927893045901	0.6440605116830056	0.5337070177130271	0.5185439399953544	0.6366879947953056	0.6393550545230858	0.3447663959049374	0.486956792821404	0.4481928720542904	0.4740093801189937	0.4724374592544557	0.4072239285210353
SRR21280471	0.5972473843808096	0.5766632337392197	0	0.524494183214021	0.4424679186537063	0.560597888844508	0.499489275886401	0.5367849350556663	0.4370150914695798	0.4587051080133701	0.4459983193770825	0.5955877810083394	0.6148690858126203	0.514617434749549	0.4369612057581207	0.451057096413295	0.4684226258358526	0.438727480895946	0.5809305862579467	0.6142489196920465	0.595121697202847	0.5999245887764275	0.4722831446583661	0.6093653552686118	0.6161719519947195	0.4167062759964295	0.5590444827831851	0.4708063398952258	0.4635992795604205	0.4095058256179954	0.5622602085415107	0.4902514464062873	0.4603542592073582	0.4371863064735338	0.5154804867542908	0.5283258914734746	0.534240285929267	0.5764954521352412	0.424764756511288	0.436398817992008	0.4689128748369507	0.4595202670723865	0.5394944819855292	0.5160145546324446	0.6065260019515414	0.4923961546027677	0.5790555109882011	0.5712595565175204	0.451140195856868	0.4388496465756402	0.4301296157522698	0.5806752532189349	0.5865194962615194	0.4709804525275007	0.5381554236841543	0.6304317715298754	0.5355322571445676	0.5176997793330861	0.5606218682125363	0.436202487359652	0.4778316917511919	0.4654634100624101	0.4359244454991089	0.5435667907544096	0.5695964368984899	0.6013872168171803	0.6266828929947379	0.6540502220355497	0.4622709840440584	0.5764220342196662	0.5854076551907353
SRR21280472	0.3144343481174554	0.3780019793842855	0.524494183214021	0	0.4338714937967548	0.6457715900712717	0.5313509569128216	0.5659990756872192	0.5202328446639504	0.4741491271841175	0.5318278046995285	0.3768199955817839	0.5796304641596124	0.5450659678299458	0.4211593541658112	0.6025835600062692	0.5413237891095468	0.4192798363997819	0.382226440258825	0.4826821660821684	0.4091825015765612	0.336058443775717	0.4720669447515448	0.5958013335107313	0.5904940135080305	0.6840928694381609	0.6455449069058787	0.3907589882164784	0.5652242725020477	0.5114168922809359	0.6559379681116242	0.529372887443504	0.512780329467261	0.4082134989998056	0.5392703138928476	0.609007109790039	0.6488369796064704	0.2293222357577824	0.6374574288555588	0.4136621258668074	0.4867322641817781	0.4798283483297328	0.4961085945561327	0.5750276889741835	0.4181572078171877	0.5783494238519825	0.4408312637481018	0.3843256150480288	0.5022287835458223	0.5261843458269685	0.4042549697511801	0.450342925533775	0.4243392243047528	0.5347108339656859	0.7465818436435581	0.735523791819457	0.6514031874371182	0.6654877855787155	0.6466059191932702	0.5809921112488712	0.6408612737022829	0.5998643940951012	0.588782371899331	0.6305383742759649	0.688557468038388	0.3297462317023711	0.4722123778139317	0.4295473678722582	0.4582600899320598	0.4429441257726041	0.3905659561051334
SRR21280473	0.3795235148512965	0.4394472422961255	0.4424679186537063	0.4338714937967548	0	0.473288389736269	0.3797490170539707	0.6330476196512398	0.3722762979872877	0.1962546190114133	0.3262144807736075	0.4641207300531649	0.6108121555325872	0.3143972778526468	0.2378737908545343	0.4061095489302304	0.3930622710095269	0.1362120620756479	0.440073525351619	0.5118149698161768	0.4784530334548441	0.3901252241913424	0.218512838361088	0.5794797855900983	0.5730704881996667	0.5434819596408459	0.5344126957672206	0.2062715332642472	0.374337361246745	0.2647514799304795	0.5482775702413558	0.288147423450167	0.27951913965811	0.1307731491751448	0.3786095015636795	0.5275128626421262	0.5676961373947904	0.3293359766097611	0.4726152434150667	0.133170115510098	0.2182525437863742	0.2049612076552251	0.334552486955919	0.4285166479469393	0.4694601110610229	0.4504340484851443	0.5109600908726409	0.4256985374985342	0.274831006500386	0.3118427597486739	0.1229881934398524	0.5115994821106934	0.4585442511414738	0.3182675162386686	0.6359069901970008	0.6210648816749317	0.4932752507632012	0.5159865700287125	0.5000830435425218	0.4025035991063762	0.4785434349496543	0.4156280446332057	0.395459868929079	0.5147898613245693	0.5920578248793823	0.3902123307739269	0.5181926860197144	0.4860781545605949	0.193116139695366	0.5154348841038335	0.464741367588572
SRR21280476	0.5344658213121307	0.4808007347827278	0.560597888844508	0.6457715900712717	0.473288389736269	0	0.5621647555403305	0.5499411781789921	0.5177113111905591	0.4320864642820656	0.5497801053199065	0.655696637840545	0.4954993551154937	0.4057498605982433	0.5239660257949291	0.4898754896070533	0.5440613002958894	0.4760802333285608	0.5729565375841769	0.6040393888550456	0.6553308257827429	0.5812964085649075	0.4973408860938705	0.6490552711857674	0.4963756475147054	0.4538873367689057	0.5384115174652059	0.5185601858241305	0.5644696651915829	0.4610904876973649	0.4781382346155421	0.4384262293667067	0.4797080254629023	0.4754220318693295	0.5355474401557806	0.5761233852801595	0.4895499241499238	0.6051318744302453	0.3796012430695531	0.4643696983931991	0.423513599162371	0.3966464057237307	0.4370031798108936	0.4692138882760354	0.5900799315141062	0.5364663356006684	0.6688356185195047	0.6283575531636241	0.5242383172902664	0.5375732477956899	0.4664995700595741	0.6679440334266626	0.645256550031604	0.5397866652670685	0.5274223739695104	0.6617908906104732	0.5444804503585403	0.5427912062301261	0.5849844954902654	0.5827667979757232	0.5166246503754821	0.4449930649312135	0.5159535723321956	0.538190037851894	0.5911771313594122	0.5440979673317102	0.5781952024122408	0.5555680966482492	0.426592757083347	0.6664868762311681	0.6454803136214309
SRR21280531	0.4653463580515758	0.541603294116321	0.499489275886401	0.5313509569128216	0.3797490170539707	0.5621647555403305	0	0.5802513642646827	0.3207103206895702	0.3806359523642237	0.4109380216613127	0.5620833605385082	0.5746655254303299	0.4625817722034378	0.3353985501204745	0.5182709224075022	0.4988362762008481	0.3801872002577706	0.4580172711323093	0.557523946762818	0.5218976214336924	0.4674002672555718	0.3481754853084537	0.5420075477559065	0.5004627772370472	0.5396161860169888	0.4967501747332915	0.3473265886995662	0.3911946227791041	0.3988722143697924	0.4807964821945873	0.4376903571254791	0.3074088352989087	0.3866528318010278	0.3590916695091797	0.5395181973976019	0.5501056969545737	0.47135080499058	0.4747886023383637	0.3809914737593962	0.395382163516375	0.3883252467357131	0.3698609350228433	0.4242966486847482	0.4317383151252463	0.4596637940703422	0.4662436812677745	0.3941574537116757	0.4625398252454564	0.4473960972473763	0.3804064206626314	0.4685339118592241	0.5530317096188632	0.489903701431783	0.5991608318201032	0.6019384128778348	0.430688954251813	0.4727229645972951	0.4893927121323566	0.3909258922205583	0.5000188362037228	0.3741221726450862	0.4876432652655476	0.4102850297553209	0.4976560798170572	0.4589099091746651	0.5678226928584389	0.5432996145218726	0.3767241937402194	0.4692661857715162	0.5600832720843998
SRR21280536	0.5564776354385148	0.5465663776361284	0.5367849350556663	0.5659990756872192	0.6330476196512398	0.5499411781789921	0.5802513642646827	0	0.5892092878035653	0.6067224245379023	0.5180701209800675	0.512980221630517	0.4034928150524335	0.5773638664916586	0.6316562420658367	0.510854690285712	0.6328092363473472	0.6217882690952338	0.5002300076553835	0.4257954160446386	0.6274516792000955	0.5602258756595733	0.5734662379269025	0.4754267772509214	0.4964117283446302	0.4500713355093166	0.6202806626517821	0.6216439618698337	0.5350981548024417	0.6044164657447215	0.6243937141250595	0.5778118360432027	0.5979032704087031	0.626218677397093	0.6148438334605333	0.566113500448714	0.5761702480074351	0.6186776516231992	0.5017959818751462	0.6148396993394813	0.57438605285844	0.6003000613137877	0.6038929129909211	0.5723959496827874	0.5673066731199737	0.6213744623857385	0.4929665288554045	0.6003150577483687	0.5158823593128221	0.5239974831710908	0.628654204264374	0.4955320519725049	0.5064330521898327	0.5262342379444299	0.5669944461026161	0.625857840096393	0.4560571813867113	0.5283819789477222	0.5192626214028234	0.5270249047679754	0.5183612793536841	0.5517923944565428	0.5125548304835453	0.509874893370289	0.5299874723541019	0.5549228724221653	0.4736660921150459	0.5771313407776898	0.5882087628945438	0.4987172862554464	0.5013425760815661
SRR21280678	0.4932297869274668	0.4409208216725193	0.4370150914695798	0.5202328446639504	0.3722762979872877	0.5177113111905591	0.3207103206895702	0.5892092878035653	0	0.3839785283842183	0.3592387840657792	0.5485755369556827	0.5341921299769479	0.4823824600844228	0.2979991829406634	0.5215378073471055	0.4758414244691629	0.3454017779845856	0.47575200393219	0.5735367117249488	0.5087659350384081	0.4846697902576459	0.393178960559222	0.5933887823076536	0.4858423939085824	0.5232130905407086	0.3907624395200504	0.3260506769094777	0.4126376770045689	0.2121856311849009	0.3859287949486047	0.4567724244934491	0.3505973742294108	0.3648629658117957	0.4288178484208682	0.5834376440065512	0.5404297605402871	0.4467388990667818	0.4542299862780654	0.3593473226195934	0.40389718877354	0.3904088802094537	0.4283334600943595	0.3080354416402528	0.4636261988336609	0.3119835357653492	0.497671438815902	0.394596845907853	0.4354851790607721	0.4166229145070729	0.3480681219823391	0.4853374306195262	0.542168154122137	0.4543643147156257	0.5804968125211497	0.6333812861675092	0.5225656432455767	0.5196590385845475	0.5440494197502888	0.3983945432014808	0.5142403949653729	0.276440317825279	0.344027552787069	0.4607152199584449	0.4371974743084414	0.4908656869912507	0.5941035127300526	0.575749923133859	0.4112790876400276	0.4862723380168691	0.5338374440200363
SRR21280682	0.3668098300574387	0.4751655542060387	0.4587051080133701	0.4741491271841175	0.1962546190114133	0.4320864642820656	0.3806359523642237	0.6067224245379023	0.3839785283842183	0	0.3575046204633051	0.4956151177335095	0.5974442349909737	0.3005308248909485	0.2637241710498186	0.3591886630996552	0.4094880058330077	0.1577327367860228	0.4115810382815024	0.4783842749708859	0.5057158031018792	0.3577299336904759	0.2186635035284277	0.5235865361097549	0.5321028231415239	0.4959669315250707	0.4996324429969757	0.2526790820890852	0.394341659572346	0.299569071868726	0.5080578807376525	0.2524928660794283	0.2051226404086415	0.1770430867180221	0.3317365733802561	0.4957677646088849	0.5230366019500244	0.3693984363289307	0.4222559190467223	0.1721360348927432	0.172265424856558	0.1514269402821813	0.2630486026840504	0.4192568891433565	0.4613195954459797	0.472368816972186	0.5258091734958623	0.4263125120870633	0.2787010693921971	0.3127552912396392	0.145849546137276	0.5140353903504198	0.4926816972638593	0.3098179508454101	0.5883624700970214	0.5617846536942329	0.4350437239571253	0.4902802028999967	0.4870507156241983	0.4146992223075492	0.4494841696261278	0.3970250112581559	0.4129043902172582	0.490314192134119	0.5617770268602338	0.3790033830002087	0.5091983927163545	0.4733104230650259	0.1819775912533723	0.5196175375630937	0.4744307641056604
