	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1358	ec1359	ec1361	ec1362	ec1368	ec1375	ec1377	ec1378	ec1380	ec1390	ec1391	ec1392	ec1394	ec1396	ec1400	ec1406	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1438	eti101	eti102	eti105	eti107	eti109	eti111	eti113	eti114	eti116	eti117	eti118	eti121	eti123	eti125	eti133	eti134	eti135
ec1425	0.514	0.652	0.88	0.672	0.832	0.696	0.872	0.488	0.7	0.708	0.49	0.49	0.798	0.624	0.59	0.332	0.676	0.646	0.44	0.644	0.634	0.41	0.528	0.728	0.464	0.644	0.588	0.386	0.302	0.62	0.532	0.474	0.538	0.504	0.654	0.0	0.706	0.926	0.57	0.77	0.422	0.668	0.644	0.63	0.582	0.392	0.64	0.544	0.5	0.408	0.324	0.812	0.468	0.776	0.406	0.542	0.468
ec1427	0.816	0.812	0.912	0.71	0.89	0.826	0.86	0.9	0.726	0.85	0.826	0.776	0.89	0.778	0.884	0.76	0.694	0.602	0.83	0.654	0.908	0.822	0.85	0.826	0.69	0.79	0.864	0.812	0.698	0.9	0.876	0.73	0.794	0.828	0.764	0.706	0.0	0.932	0.742	0.89	0.79	0.806	0.742	0.796	0.748	0.732	0.84	0.8	0.812	0.782	0.732	0.896	0.848	0.842	0.714	0.734	0.758
ec1435	0.896	0.858	0.998	0.802	0.946	0.944	0.986	0.974	0.956	0.498	0.95	0.822	0.836	0.906	0.954	0.868	0.946	0.898	0.894	0.936	0.996	0.938	0.944	0.932	0.876	0.942	0.936	0.944	0.832	0.974	0.96	0.904	0.936	0.936	0.88	0.926	0.932	0.0	0.958	0.966	0.94	0.908	0.942	0.942	0.926	0.818	0.9	0.926	0.926	0.89	0.866	0.962	0.864	0.932	0.918	0.918	0.936
ec1437	0.806	0.894	0.954	0.932	0.83	0.906	0.96	0.604	0.92	0.778	0.554	0.562	0.884	0.686	0.638	0.562	0.78	0.81	0.594	0.92	0.662	0.604	0.608	0.798	0.78	0.922	0.646	0.622	0.564	0.626	0.606	0.572	0.614	0.572	0.9	0.57	0.742	0.958	0.0	0.778	0.614	0.864	0.904	0.922	0.664	0.6	0.806	0.598	0.66	0.608	0.598	0.812	0.586	0.83	0.656	0.842	0.57
ec1438	0.902	0.944	0.98	0.96	0.938	0.932	0.976	0.784	0.972	0.842	0.778	0.768	0.884	0.77	0.794	0.776	0.91	0.898	0.764	0.972	0.816	0.788	0.768	0.858	0.824	0.966	0.792	0.778	0.766	0.778	0.792	0.762	0.782	0.764	0.924	0.77	0.89	0.966	0.778	0.0	0.782	0.922	0.966	0.962	0.778	0.758	0.848	0.772	0.768	0.766	0.768	0.098	0.766	0.882	0.764	0.9	0.766
eti101	0.708	0.662	0.944	0.736	0.89	0.702	0.914	0.608	0.786	0.798	0.352	0.524	0.876	0.672	0.386	0.35	0.616	0.67	0.352	0.706	0.39	0.324	0.624	0.786	0.572	0.658	0.354	0.458	0.346	0.558	0.338	0.252	0.308	0.302	0.656	0.422	0.79	0.94	0.614	0.782	0.0	0.624	0.768	0.694	0.668	0.402	0.818	0.288	0.67	0.368	0.44	0.814	0.372	0.816	0.518	0.704	0.356
eti102	0.658	0.51	0.9	0.656	0.856	0.636	0.86	0.898	0.744	0.866	0.836	0.778	0.862	0.8	0.924	0.73	0.214	0.62	0.816	0.664	0.96	0.78	0.864	0.844	0.504	0.614	0.912	0.666	0.56	0.922	0.904	0.8	0.872	0.848	0.594	0.668	0.806	0.908	0.864	0.922	0.624	0.0	0.724	0.666	0.782	0.516	0.816	0.842	0.822	0.402	0.758	0.926	0.836	0.846	0.598	0.646	0.78
eti105	0.712	0.704	0.854	0.542	0.928	0.712	0.792	0.976	0.676	0.922	0.882	0.84	0.92	0.858	0.94	0.782	0.734	0.598	0.872	0.47	0.974	0.806	0.926	0.894	0.546	0.514	0.918	0.776	0.68	0.974	0.914	0.822	0.884	0.91	0.702	0.644	0.742	0.942	0.904	0.966	0.768	0.724	0.0	0.512	0.838	0.724	0.882	0.892	0.854	0.772	0.774	0.966	0.908	0.896	0.57	0.626	0.724
eti107	0.676	0.662	0.854	0.55	0.886	0.678	0.792	0.896	0.678	0.912	0.868	0.866	0.922	0.84	0.942	0.744	0.706	0.588	0.884	0.414	0.99	0.79	0.836	0.814	0.554	0.096	0.946	0.73	0.626	0.972	0.93	0.852	0.89	0.902	0.614	0.63	0.796	0.942	0.922	0.962	0.694	0.666	0.512	0.0	0.836	0.658	0.892	0.878	0.794	0.732	0.794	0.96	0.898	0.814	0.524	0.624	0.714
eti109	0.764	0.812	0.912	0.81	0.836	0.84	0.892	0.658	0.854	0.764	0.618	0.556	0.862	0.19	0.718	0.606	0.808	0.772	0.61	0.828	0.768	0.644	0.558	0.738	0.65	0.836	0.7	0.644	0.584	0.618	0.71	0.604	0.648	0.55	0.802	0.582	0.748	0.926	0.664	0.778	0.668	0.782	0.838	0.836	0.0	0.556	0.728	0.576	0.58	0.616	0.59	0.814	0.624	0.802	0.55	0.698	0.592
