	ec1441	ec1449	ec1450	ec1460	ec1468	ec1489	ec1490	ec1492	ec1497	ec1498	ec1500	ec1503	ec1505	ec1508	ec1510	ec1511	ec1514	ec1521	ec1524	ec1525	ec1526	ec1529	ec1530	ec1534	eti146	eti147	eti149	eti153	eti154	eti156	eti161	eti164	eti165	eti166	eti167
ec1441	0.0	0.6878060754145352	0.8350341843030895	0.5873357019587098	0.8675577812023492	0.8290579234059021	0.8257060667603643	0.8600046145727679	0.7698196842265582	0.6467194796350983	0.8073167473471409	0.8147000510981354	0.8432102291267431	0.7082820173070149	0.718233352735264	0.753289384428395	0.8751071234132025	0.8271208182744768	0.8745000160190131	0.8156684317599663	0.806500083716695	0.8178204568970714	0.6249549285506696	0.8111925842965392	0.8747817557160917	0.8506410368457111	0.6261082617700413	0.8337924430155957	0.8282210800148196	0.7172083856152259	0.8308288339114385	0.8379345205962089	0.7937213096200227	0.7594338526337425	0.8181207773131889
ec1449	0.6878060754145352	0.0	0.8747121639290145	0.7106282615598937	0.8287027167686316	0.8395864717459836	0.769275173466745	0.8200053938490967	0.7919742682548351	0.6834583996547785	0.8279610510659986	0.7717915222293644	0.7828717912089714	0.7062513751449853	0.7411523251407274	0.7238182605380225	0.8245054135420967	0.8011175295805428	0.8269344823997089	0.8369894626619	0.8267368800464941	0.8263572318829778	0.7095173365333369	0.7591298548897532	0.8249614410147145	0.791871823944557	0.7324073371094802	0.7759437928767309	0.7717968784830306	0.6929660788626193	0.7242225007905725	0.780580012494371	0.6892267565265208	0.7745544938256202	0.8267044670993146
ec1450	0.8350341843030895	0.8747121639290145	0.0	0.7329247999598899	0.4999963457945847	0.3743785953123575	0.6333105279757573	0.5123124103089598	0.48366070057834293	0.7633581346820796	0.2995923884222877	0.6223457808360562	0.5686797735247822	0.7054307070201565	0.6498826523148948	0.7410234984320575	0.531576696560476	0.5652778916749843	0.5211597354030167	0.36713137763555276	0.44455967555523856	0.30720428853304926	0.7886091279760148	0.69637023601514	0.5260383702757314	0.578870967077364	0.6814605385504776	0.6297899739136892	0.6165110835378764	0.7298757726588748	0.6815095592283387	0.6256083294569839	0.7395363152857509	0.5048471803313456	0.31000297411838995
ec1460	0.5873357019587098	0.7106282615598937	0.7329247999598899	0.0	0.6885313620883301	0.7153649731051565	0.626576054640422	0.671410759614793	0.6280903281016763	0.48964907341841907	0.6514734154529065	0.6043089286002679	0.6800621535511587	0.5579597611720007	0.5738436797580405	0.6297374114252878	0.697666875530072	0.6407593085762745	0.6983771426786357	0.674066233465623	0.6819354649290753	0.673316390175818	0.5337037906458878	0.6239457607056862	0.6963995517806342	0.6611408083901639	0.5492448519391396	0.6650219558257562	0.6307175709067123	0.5504496135871622	0.6996821310919216	0.7066381301528327	0.6369166944467681	0.5799139024631618	0.6743856921572562
ec1468	0.8675577812023492	0.8287027167686316	0.4999963457945847	0.6885313620883301	0.0	0.5037238400187486	0.3686284043878229	0.0707239542832453	0.5519595028328534	0.7285194898181968	0.30050775594935647	0.38242037808808993	0.302917217068488	0.6280067150392328	0.6368606552340125	0.6623680012123816	0.131311805236393	0.43489539827085927	0.12135579823468219	0.36224365552520243	0.4679542395575772	0.3801181685396527	0.7580040836891702	0.6136391874423462	0.12097686555329507	0.26665476172159625	0.7118028233938495	0.37435846602033884	0.3315840413980444	0.6854162333457767	0.4940592282496581	0.41084175197123185	0.5837966012884274	0.5765501521769812	0.36708925130544184
ec1489	0.8290579234059021	0.8395864717459836	0.3743785953123575	0.7153649731051565	0.5037238400187486	0.0	0.5626263021096058	0.5065554481554796	0.4105679812766694	0.7338252293950919	0.31680821097016526	0.6020701483439105	0.48133242378478686	0.6680875360277679	0.6305738767366522	0.7225330182515216	0.4600614734486329	0.3711134491146403	0.4723906442430939	0.3168288603773077	0.3741398542143667	0.20652110266225188	0.7605644979884296	0.49322168293665675	0.4629366691502415	0.47217438739545886	0.6602728530922539	0.6285188048227001	0.513357795209533	0.674486738169488	0.5895835895263664	0.5474683735247856	0.6643628097534702	0.2998016001716053	0.20469652725794327
ec1490	0.8257060667603643	0.769275173466745	0.6333105279757573	0.626576054640422	0.3686284043878229	0.5626263021096058	0.0	0.3703763256453886	0.5711365988168179	0.6845884170258406	0.4969844479171512	0.4640926193057393	0.28454109920712667	0.5963489420109644	0.6344381063412589	0.632502057478252	0.30281439518537645	0.45277494162959797	0.3238972313647467	0.45753846463510744	0.5216227294162877	0.4679592455291819	0.7052683598990316	0.5969409843731619	0.3151103532679912	0.28736061226464343	0.6735802950185681	0.478294922081344	0.34206658093479825	0.6136787757304678	0.4510120793943498	0.4501579856515085	0.5818161192496514	0.5945448390207217	0.4668833726226382
ec1492	0.8600046145727679	0.8200053938490967	0.5123124103089598	0.671410759614793	0.0707239542832453	0.5065554481554796	0.3703763256453886	0.0	0.5527948573319905	0.7139888636199431	0.29912666855347064	0.38534647213639184	0.3131079560767055	0.6106928416965511	0.6195531836918177	0.6645910328129824	0.14536799138280068	0.4094522398510902	0.14887254376843626	0.3682779910484814	0.47186012410112294	0.3861988435184519	0.7452733855447358	0.6131053724917094	0.1456135977566327	0.2763953478129104	0.7140047855604478	0.38466661799616847	0.294388860721169	0.6744795678835249	0.4950482531804429	0.41446282024793396	0.5623140370366628	0.5781869756011453	0.38895149394913303
ec1497	0.7698196842265582	0.7919742682548351	0.48366070057834293	0.6280903281016763	0.5519595028328534	0.4105679812766694	0.5711365988168179	0.5527948573319905	0.0	0.653092297499202	0.3906253117167567	0.5061892310596232	0.5102260926050516	0.5035916518470176	0.43686426757805163	0.6246158124571699	0.5215812130903663	0.5679535342603471	0.5321520780126578	0.32131053812096966	0.20584511721609736	0.30661756402185375	0.6978739485867913	0.47569858554700695	0.5231106580273369	0.4852612236349703	0.5510150110188675	0.6245753046768394	0.49062527760281444	0.5636727880166408	0.5903713868077816	0.5360884809104876	0.5771014239649354	0.40189175596124493	0.30963955198397525
ec1498	0.6467194796350983	0.6834583996547785	0.7633581346820796	0.48964907341841907	0.7285194898181968	0.7338252293950919	0.6845884170258406	0.7139888636199431	0.653092297499202	0.0	0.6841470928475165	0.6438959837372951	0.6929827386485469	0.5220330929933356	0.5858147998307228	0.6223328976110546	0.735429888010028	0.6841056604294204	0.7390890138679996	0.7122902411378214	0.7007729442439427	0.6986133234710739	0.4404918297133599	0.6544836470505083	0.7363165579143334	0.6923508321763748	0.49613696371673444	0.7163770731191886	0.6479915420975332	0.4599858413031449	0.6983871149668873	0.6984260089767994	0.6330875646763197	0.5980476077920686	0.698973626913571
ec1500	0.8073167473471409	0.8279610510659986	0.2995923884222877	0.6514734154529065	0.30050775594935647	0.31680821097016526	0.4969844479171512	0.29912666855347064	0.3906253117167567	0.6841470928475165	0.0	0.5054370221618503	0.47028676501011973	0.6128227540001078	0.5410525982203772	0.6564300809001039	0.36667698990835496	0.4576906451292413	0.3796842055718262	0.21626521390805342	0.3378997603361089	0.17565898999932708	0.7190885390207726	0.602662958901696	0.3693192392754343	0.43754101775997145	0.6333200678539649	0.5035793118468339	0.45847097661284336	0.6448668079442452	0.5834311744551304	0.5320585041109842	0.6321133321610761	0.4317389852269159	0.15914262357013192
ec1503	0.8147000510981354	0.7717915222293644	0.6223457808360562	0.6043089286002679	0.38242037808808993	0.6020701483439105	0.4640926193057393	0.38534647213639184	0.5061892310596232	0.6438959837372951	0.5054370221618503	0.0	0.43451502295760996	0.5557402781359665	0.5762027418156955	0.6236509670095098	0.39403267901412875	0.5216862339507704	0.39739565696119816	0.516304533969282	0.5422182622019834	0.5169030604651271	0.6653482890975421	0.4862817752851601	0.3914997845467896	0.40650733546568846	0.6228650868842897	0.5232595435471544	0.4307026483321141	0.5611452911703815	0.5473653317853632	0.4523514817777806	0.48751004085450367	0.47822247380692	0.5195726564749233
