	ec1442	ec1449	ec1457	ec1462	ec1468	ec1469	ec1470	ec1489	ec1492	ec1493	ec1497	ec1498	ec1500	ec1502	ec1508	ec1513	ec1514	ec1516	ec1517	ec1524	ec1525	ec1530	ec1533	eti145	eti146	eti149	eti151	eti152	eti153	eti154	eti156	eti162	eti164	eti165	eti167
ec1442	0.0	1.236233963501215	1.272065134285867	1.2771373162185515	1.2336041353156224	1.203119864889314	1.255239367293141	0.8073134315564007	1.2608016424237314	1.2453884253101006	0.8393124027564198	1.2474324727674857	1.2690411117889326	1.259891422352606	1.2690886430208752	1.2777521845228283	1.2734899984089678	0.30339138582063013	1.2598150674840913	1.2760217782855292	1.2705378999506662	1.210016049052187	1.2683516509894979	1.269835419169731	1.2678717811033142	0.5038145782531386	1.1889228185219842	1.2450215951851933	1.2678511350416455	1.2705850994133179	1.2412589917503853	0.5728413137967797	1.2467195702186091	1.2695473244607771	1.1591630250651914
ec1449	1.236233963501215	0.0	0.5492791197294273	0.5986289326250795	0.5340628512003448	0.47576584551033485	0.5338632679582012	0.8024710900361204	0.5528532123699726	0.4883382477490058	0.7183373200472261	0.3451248098648557	0.5697583727617271	0.46823336093639767	0.5206564044775394	0.5757872016917648	0.5762149776245677	1.0657995253819221	0.5558947965180372	0.5789485735136897	0.5744339110565557	0.3101881496875533	0.5610029801110198	0.5718797930611983	0.5655047579792531	1.163032688354286	0.45003106106756136	0.37929251643026324	0.5608880860006891	0.5630160005160811	0.4816763971831053	0.9099341955946699	0.5207499908825255	0.5623344013206675	0.6172484374672811
ec1457	1.272065134285867	0.5492791197294273	0.0	0.13028300489917868	0.2858355481443548	0.3611215494139205	0.04893462987366383	0.485538101734828	0.10358159885767577	0.14407957721585907	0.5083583007139045	0.4778687182998242	0.12850197572623948	0.19198939192710643	0.13159534692843328	0.11692622595546284	0.14325092106392376	0.9939125745792298	0.12789920399070076	0.15502234751916705	0.1430325441056764	0.42639800677335843	0.11995914628661353	0.13201176355112712	0.12703985192978204	1.2312764957435927	0.42620539005388647	0.39443169439600695	0.13667240185403332	0.12872673050155645	0.17359243145834966	0.7291380752601819	0.09554176212044241	0.13567200904149834	0.1676227901191208
ec1462	1.2771373162185515	0.5986289326250795	0.13028300489917868	0.0	0.3043493299809409	0.48411643171608554	0.13748432712551711	0.4906360424061982	0.10171213557019526	0.24399654199441534	0.5790314584852327	0.5966228307719169	0.048577520391999036	0.24269634761174133	0.14369936939683028	0.03650111046550662	0.05527452462694209	1.0000724391147653	0.1378505990408536	0.07438235709936611	0.046943530326641954	0.47149555503390794	0.07104468361314234	0.05076790194226023	0.08111368610325531	1.2406445918527267	0.5364591693996508	0.45316083876174473	0.06450455166054692	0.06222778968636894	0.2822840608701021	0.7416902825556428	0.2064846303541702	0.05930868420479106	0.146755592219363
ec1468	1.2336041353156224	0.5340628512003448	0.2858355481443548	0.3043493299809409	0.0	0.43728841310830313	0.26959883151511904	0.5075703414339018	0.2563582268013798	0.2609082195563783	0.5580047598368428	0.5374383854092659	0.27011062006629	0.2086681943859406	0.2704892327577841	0.28776612386574896	0.2704093067103337	0.9575896741732324	0.2111766704488317	0.2723247280300706	0.27976104846260036	0.41696709419623984	0.26827113131897473	0.2712036020306563	0.26220881482549885	1.1944919866375896	0.49190614266610383	0.3946327458274573	0.27674148718382197	0.2664606372153101	0.27703864213461527	0.6955565595460558	0.2600660855623415	0.27146414571243044	0.3354907212345267
ec1469	1.203119864889314	0.47576584551033485	0.3611215494139205	0.48411643171608554	0.43728841310830313	0.0	0.3708356371058739	0.6941797501206636	0.4206973584053103	0.31463444362135734	0.5339670808553119	0.29841688187918297	0.4528281593581805	0.4214402393326412	0.43895668087057194	0.4547955927918319	0.4605255466600472	0.9697754271251378	0.4382096284518827	0.46411888912796256	0.46147756569644643	0.3706614280105883	0.4400052194314291	0.45329695856356117	0.44120799609558903	1.1612966281821229	0.10987332094868388	0.39730580003939764	0.45571395190717895	0.4496960048456844	0.28647893947113817	0.8125644200950782	0.2952545262479275	0.45605050788000706	0.49777088523015306
ec1470	1.255239367293141	0.5338632679582012	0.04893462987366383	0.13748432712551711	0.26959883151511904	0.3708356371058739	0.0	0.460215134485668	0.08814278154630646	0.1320992800493728	0.49007638690198985	0.48054287605828233	0.1141759076587613	0.1764700065481456	0.11568031518570832	0.11418352465167529	0.12908083470209802	0.9766440523736466	0.11179830588177106	0.1417459068071515	0.12951517239657903	0.4063979353827025	0.1044396964010616	0.11561338119251291	0.11027132188825475	1.215968440847547	0.43132558228935053	0.37913581530532825	0.12410966228123621	0.11126409191845296	0.1902914477946213	0.709257577770811	0.11404325012318248	0.12195163604942541	0.1541600098375446
ec1489	0.8073134315564007	0.8024710900361204	0.485538101734828	0.4906360424061982	0.5075703414339018	0.6941797501206636	0.460215134485668	0.0	0.46898322935979264	0.47092608221852655	0.2067644085253312	0.8018027776364972	0.47530938783173843	0.4674935972622087	0.4800027036722739	0.482867399640312	0.4809151217341046	0.5265225010825126	0.4706025920394369	0.48829288840255547	0.4867285494662604	0.6756925091552919	0.47003836750512484	0.47503038876870807	0.4744094480711448	0.8642570954305699	0.750711691550543	0.6518458814470764	0.48489566302722303	0.4729070487680209	0.5227963817368704	0.2693780001837732	0.4561686968777864	0.47703425627712814	0.36366816815114356
ec1492	1.2608016424237314	0.5528532123699726	0.10358159885767577	0.10171213557019526	0.2563582268013798	0.4206973584053103	0.08814278154630646	0.46898322935979264	0.0	0.1990702534655909	0.5445270074348684	0.5311142054518959	0.05958305584310982	0.17364464869007135	0.07746363919285684	0.08402591289762774	0.05566104408361032	0.9833028447811771	0.06489937623973133	0.07692315136073836	0.07265048926553466	0.4223904052132531	0.06028066574679631	0.059185832226125355	0.04139960135791299	1.2252963037277473	0.47908083613279995	0.4013125683567036	0.06355604096795409	0.05811137165305828	0.2558448842233026	0.7163269175740042	0.16885934942664454	0.07016233542597013	0.1391126140096508
ec1493	1.2453884253101006	0.4883382477490058	0.14407957721585907	0.24399654199441534	0.2609082195563783	0.31463444362135734	0.1320992800493728	0.47092608221852655	0.1990702534655909	0.0	0.4224536851246035	0.40185694741904865	0.22648871804118456	0.1780124107319759	0.213289486396678	0.22266936436006426	0.24182478603191296	0.9658925867854424	0.2197758958676786	0.2516505291148412	0.24263261483865553	0.3570464887467324	0.21598172232355367	0.23004306145269435	0.22352792740200592	1.1996141865754204	0.3873071727768808	0.3454899250781449	0.23547931942421174	0.22494668004473034	0.14095588609732373	0.6990986871992724	0.1098315789762849	0.2352985201501456	0.25899842283717434
