	jr1098	jr1099	jr1100	jr1101	jr1113	jr1114	jr1115	jr1116	jr1117	jr1118	jr1119	jr1121	jr1122	jr1123	jr1124	jr1125	jr1126	jr1127	jr1128	jr1249	jr1250	jr1251	jr1252	jr1254	jr1255	jr1256	jr1257	jr1258	jr1259	jr1278	jr1279	jr1281	jr1282	jr1283	jr1284	jr1285	jr1286	jr1287	jr1288	jr1289	jr1291	jr1292	jr1293	jr1296	jr1298	jr1299	jr1300	jr1301	jr1302	jr1303	jr1304	jr1305	jr1306	jr1307	jr1308	jr1309	jr1310	jr1311	jr1312	jr1313	jr1314	jr1315	jr1316	jr1317	jr1318	jr1319	jr1320	jr1321	jr1322	jr1323	jr1336	jr1337	jr1338	jr1339	jr1340	jr1341	jr363	jr367
jr1098	0.0	0.17266174720311053	0.14880894941855868	0.13614152598137005	0.1489331667116317	0.13018160447766358	0.19175043361150845	0.20303421366806979	0.15990965520488126	0.3131097590746482	0.14318290747767726	0.16137812389052553	0.15835663714344284	0.3482333866889868	0.11526920490183448	0.20764986910546102	0.15233991494249471	0.10284360928681162	0.10959613672900448	0.141154060685164	0.13040165181828614	0.15502133776979163	0.10581536899188418	0.13545217746345903	0.1461726436030113	0.14332168527096228	0.15755739785430597	0.1507103005718609	0.14349894342088715	0.1557078621418785	0.14436506250234588	0.15100304976303014	0.1504962358053091	0.3636031712185273	0.16130319737125715	0.15924729499513693	0.2414812221294374	0.15201183130691887	0.32980119568926625	0.10562833365095743	0.15241096161576753	0.16072680507867332	0.12444677187769303	0.14233246854471068	0.16102243971717542	0.284148564103348	0.159893343722529	0.3044103847061011	0.1614915122651615	0.15359871019950724	0.14845176185704342	0.142418515597024	0.366513986427211	0.1529005509573207	0.1881919969247949	0.1514098670666216	0.14887254039477696	0.16314107912857778	0.1301465038206141	0.20931225045846497	0.15996919702114654	0.1609828472666626	0.16023613749134544	0.1791841101787188	0.13992907815680752	0.1316286846155524	0.1426367542075043	0.14273754453246146	0.12085976748718073	0.12030661242421568	0.17590352333953138	0.16554786942625088	0.14136072936609678	0.15045340618562555	0.1572461610422372	0.15923554164988302	0.14609954257915436	0.2519002890099611
jr1099	0.17266174720311053	0.0	0.2771739539847065	0.23368103698171305	0.27680880932937685	0.2552793237001801	0.22335556830012787	0.08957929509251827	0.28899563720838134	0.3235187748559882	0.2566537354460674	0.2833473193521856	0.13591964392114633	0.22916305075078558	0.16741568527856637	0.23964368866743188	0.22448331034638558	0.23174793638201124	0.24578267522369532	0.2661498193333353	0.20814699759581773	0.282185917012785	0.2317487669692199	0.26122282488698356	0.2798212920633856	0.2358439985493983	0.27359261182195926	0.2775934561288313	0.24952647043143547	0.2765620026629249	0.2623803877903404	0.27853129312771346	0.27534222311542683	0.42386122672302257	0.28774578042362703	0.28726499676498685	0.254071064621718	0.25063984682289925	0.39428282439862905	0.23912814660542137	0.28046838853358597	0.28940303801653305	0.2634969151156087	0.25343569334102495	0.21615761575167564	0.324320975718531	0.2890662967866363	0.23092876603743412	0.2902479330296876	0.27821830762961564	0.26731091400832996	0.26758603620136373	0.29771244581233497	0.2836387725721124	0.25851789631750016	0.25681442818352207	0.2748723146826492	0.26885215361476333	0.26016721419422295	0.2204231082873451	0.27004450909293237	0.26845752273900975	0.2877137587313	0.2812317792663239	0.2459187426303302	0.25001088965332025	0.26820023476959826	0.2671785063515658	0.2546361920046543	0.23856186981523275	0.2993062095523824	0.2882513178538385	0.25853306414037686	0.27565861170267797	0.28111505111814383	0.2845406754888591	0.21428302719433986	0.279587874633976
jr1100	0.14880894941855868	0.2771739539847065	0.0	0.17777328096840017	0.027942020975461605	0.04844566362733017	0.18037640662539964	0.27524232473208976	0.02425410392407837	0.3100581275801046	0.059271009516229094	0.031940548512110624	0.22892882436352235	0.43442481154875423	0.14383442768726967	0.27761616071641965	0.15149376327855416	0.06804965763871405	0.08716374375315508	0.026172015694813738	0.17332539460185298	0.03371030826226588	0.11893776526853034	0.04314603025817364	0.04212263960553063	0.09325534197920629	0.03506344776621243	0.06395510020817764	0.0529346702767513	0.06070359817485405	0.06972983006840494	0.03803988591239278	0.037022882592977646	0.380028097198289	0.02350284720287183	0.03470853605739727	0.2320150515628649	0.06993828328013392	0.3452793686200275	0.08581613475011333	0.023172182447465592	0.021440642656702386	0.058374802129070084	0.051491987466498745	0.19938758635791146	0.2777696647369363	0.021618629735717872	0.3249512311438514	0.022965333303250006	0.027512852516106193	0.038256534943645296	0.034831122154105325	0.3956282180835314	0.03645717198730379	0.20283295190216363	0.06130645462961827	0.021878507455846973	0.1786083908260869	0.08533967630912688	0.21939561579376082	0.05079975691469195	0.0630250633253249	0.022389999332634705	0.09155173460147392	0.10125389745007127	0.05997468003366544	0.06750398180281693	0.05180811494812732	0.10569491955690195	0.09741808717931216	0.04954450521452837	0.039530740831615445	0.038891313696357746	0.020477073219336853	0.03955907340834931	0.06586951108804827	0.17444279085463638	0.29185878131219595
jr1101	0.13614152598137005	0.23368103698171305	0.17777328096840017	0.0	0.17405090687983765	0.1633871701439764	0.18753008110882025	0.2436380892761598	0.18880930224191483	0.31028988716669065	0.14776409866936135	0.18525739801843966	0.22779703584318942	0.39942031835685626	0.1843836714107377	0.18738249954929648	0.1262752765880372	0.12185703433529904	0.11298916553786933	0.16440912502955582	0.15762470965170208	0.18074686606524432	0.12028108762942466	0.16203199994829992	0.17857275680618742	0.12479207164769221	0.16429213657888564	0.18499396909791999	0.15063622863596382	0.17292463579040668	0.16372509683126138	0.187021748326957	0.17599662757235965	0.3966706970075929	0.18664505407574267	0.18547495610909687	0.23831972914558766	0.15176120346125774	0.3669306615257204	0.1280584120879378	0.17952831437669836	0.18852703960791528	0.16127161509131377	0.16356044046681478	0.18582782540348924	0.2591995256365845	0.18687637459703899	0.32070543370718396	0.1884721389323832	0.1813763926799434	0.1613861630897858	0.16678651074894937	0.38729227034474156	0.16734382613016613	0.2198522761611876	0.1740923861158212	0.17332516643958307	0.17579917059225533	0.14268166504121027	0.22699715823801309	0.1855913675899227	0.18570543821098814	0.18665004606174668	0.17011996849708724	0.11139209874527642	0.1562458776406813	0.17101043873955457	0.16897239175518788	0.139731299167401	0.11904277761596078	0.20567196943298244	0.19308634140197622	0.15307146176022396	0.17489648527872131	0.185895519163931	0.18471869873304783	0.1819296333780844	0.2607109747093514
jr1113	0.1489331667116317	0.27680880932937685	0.027942020975461605	0.17405090687983765	0.0	0.05544000978151338	0.17525358442438177	0.2714870100453923	0.0314737809759163	0.3106095987734583	0.04620628748464645	0.029666044170616645	0.2298535667331273	0.43190458393407793	0.13718036146631105	0.27668998510490506	0.15309770481403326	0.06358676100732837	0.08224639950432025	0.032866049184526874	0.16301223873245696	0.04257586172232109	0.11021953867305471	0.04855890107964953	0.049322927252408146	0.09355240255905083	0.03865807530462492	0.07350451952019708	0.05008611926739767	0.07303958880516094	0.06924426117342686	0.04796946259214794	0.04700245451756805	0.37221759075295846	0.038678042185330545	0.045645334084295316	0.2315408170021309	0.07305464692820406	0.3455850056081146	0.08699832553753348	0.03308849634814086	0.0379325243874672	0.043103508561038145	0.04256410673381825	0.1966569231213459	0.27919248569321387	0.03164102306539567	0.31583409632716636	0.032103547330549424	0.02486910788016115	0.03258217966060736	0.02864487479820774	0.3864062548418664	0.04417982246352764	0.18835937172455683	0.06405424709642973	0.028489472405146585	0.16742786659162104	0.07895640542161862	0.22156551507131705	0.05683019187175388	0.06285197214628865	0.029365837944474858	0.09406165162911782	0.09303493399143728	0.06354504719625749	0.07445874521716787	0.06328215232315557	0.10879867841995529	0.09643967479443544	0.04799869521961897	0.03521318400496007	0.045235951939075585	0.026191877192439383	0.039616557687325187	0.07640970624931423	0.16733881660545807	0.2917208775855355
jr1114	0.13018160447766358	0.2552793237001801	0.04844566362733017	0.1633871701439764	0.05544000978151338	0.0	0.20574901572573615	0.28714015118168656	0.055026820039619395	0.31783419142938973	0.08576710071197094	0.06508009526224436	0.24766661686139702	0.448803843132433	0.16457803599474638	0.2695611958723974	0.1591209757884847	0.06645147043498018	0.09809559629508376	0.053064444569520614	0.17840250293501458	0.049288535916271026	0.126196246856119	0.03351241075258964	0.03091654043452762	0.09894633515460446	0.06015247566474361	0.03483614630872708	0.0724135192920468	0.03579372508854835	0.05607875695874352	0.043394301959189405	0.0359420509314829	0.4058888656768406	0.04894850067672362	0.04527264080989944	0.24454453207562668	0.089440128909282	0.3758449534673422	0.06562310491311231	0.04100517296152415	0.05286103751532224	0.05513827003475426	0.0734758692904105	0.2019374178275182	0.29651515438269527	0.053527039944015246	0.34081704057884976	0.055977349754209565	0.059824202940502884	0.06102445168797263	0.03865597134422288	0.41468315193876815	0.06473070446556188	0.2303535464388684	0.08346504527982507	0.05791875282500972	0.20377695072754948	0.1089558285416343	0.2365442119255595	0.07530581962273065	0.08652096203668595	0.05618533542183166	0.10841743528387128	0.12319789379621282	0.04092768371842455	0.04814544574587691	0.03370913777180613	0.08578924275698172	0.07155500108672067	0.07826775531114889	0.06377857899310288	0.04697153100138212	0.051387430692168785	0.06954491223066929	0.04834078132592949	0.1968292420087704	0.3101702954759193
jr1115	0.19175043361150845	0.22335556830012787	0.18037640662539964	0.18753008110882025	0.17525358442438177	0.20574901572573615	0.0	0.21981178978764615	0.18814880473839793	0.16392069569409287	0.1534332693679712	0.18302904568387807	0.19828455009506082	0.37004435459779284	0.19652810895102732	0.24108494140082182	0.10373157451996493	0.17000755637297166	0.18004577129676974	0.16227390640184067	0.1505438542066186	0.19610633000859695	0.16004105249781186	0.19091852748879107	0.20908340022292757	0.16520102462597835	0.16438326788923008	0.23015472552683938	0.15211305863716879	0.22362686136752258	0.21776859258930903	0.20388741863229495	0.206031159111437	0.34962734748092106	0.18664570778059467	0.20312935353553396	0.07725967834583511	0.16200815873487073	0.33272797073355376	0.19685782563446985	0.18920363498656093	0.1871481685952107	0.18520563586807062	0.1605950613489604	0.1824972068169587	0.221087151133587	0.1846411508350868	0.15228427536352088	0.1844620258827881	0.1777436320176285	0.15971881668341945	0.19668296537899488	0.3101474717348762	0.18956633309638823	0.17452861278915782	0.16254421829771948	0.17129844171892175	0.17565989738907747	0.15854073723726264	0.08492632861768651	0.1759660288003012	0.17368408726608092	0.18304363522750647	0.1890316553299529	0.14966120182221074	0.19964741227712224	0.21710170331697584	0.2153649438729449	0.21466291441201654	0.1880358730710559	0.2016106621390324	0.19727634098054161	0.17589871236705623	0.1755517476139602	0.18268408129533703	0.23383299740826421	0.1596597267798274	0.2290382244390994
jr1116	0.20303421366806979	0.08957929509251827	0.27524232473208976	0.2436380892761598	0.2714870100453923	0.28714015118168656	0.21981178978764615	0.0	0.28664649450044083	0.31175081350680095	0.23564684893092092	0.27645791299641087	0.10547414378932764	0.18872156742047144	0.17749184153816386	0.21129912520210956	0.21875616962795408	0.24051003021536926	0.24369233826834197	0.2630816929480811	0.19976472755799685	0.2894914589575429	0.2242686338623396	0.28152131490911003	0.30166013865740277	0.22514499529148368	0.26016192921755965	0.31204218493574154	0.23482562322796469	0.3100558221380442	0.29722478233286126	0.2867130202852977	0.299112400719888	0.382392365033715	0.28730470678020686	0.2969277496159325	0.235484689997052	0.23367949208445726	0.35638863919630087	0.2690003688284953	0.28295312789157845	0.2881884698601376	0.27630085135228954	0.23927199223237952	0.19046885420508672	0.31065265098186934	0.28438963374758264	0.20793480681671686	0.2863115207007186	0.27590809661391674	0.2558561191026713	0.2829703279320958	0.26996032073759085	0.27937981020870345	0.2330285726321368	0.2519180797206546	0.27135759852906477	0.24759953134977464	0.24680384056573249	0.2127024906894205	0.2626863766112446	0.2595318134877448	0.28324975415801906	0.27274373379706995	0.22429773128853786	0.28874084621784957	0.30674938415894737	0.30521137828206596	0.2857782995153952	0.2589767990640073	0.2943591782118884	0.28423672072579187	0.2599228519955862	0.27224802794366243	0.27706345576257196	0.32187782624395184	0.19639915552445125	0.25131554629254765
jr1117	0.15990965520488126	0.28899563720838134	0.02425410392407837	0.18880930224191483	0.0314737809759163	0.055026820039619395	0.18814880473839793	0.28664649450044083	0.0	0.3165762004866641	0.06637776184831982	0.03142769722395691	0.2342000754631736	0.4415305518580526	0.14709272785095215	0.28883293947966965	0.16196046880901718	0.07668583689397267	0.09487306925032829	0.03113471037486685	0.182927924618478	0.029530287688766896	0.12782655996970144	0.04238323985931095	0.036981288739112876	0.09753250162426703	0.033514395427913415	0.06152015087036307	0.06189666871410554	0.06778297032413778	0.07093904589603361	0.04043505274842865	0.039088368497832836	0.3855456785533196	0.01538761233254982	0.029035293679821363	0.23105121604849874	0.07797848081716979	0.3508930155772962	0.09720782328868019	0.027723739270749618	0.01149939858899723	0.06572569259137424	0.05862802146377524	0.21047983729510955	0.28111913880892275	0.010891922659274678	0.3292296268968693	0.009925920791568336	0.023562711631212936	0.03614322992876445	0.031109372769393823	0.3988095789635637	0.04870497171911164	0.20369839939038048	0.06568767525614505	0.021894342020026925	0.18014495580195541	0.08745708676576462	0.22162598005053283	0.046479945096343706	0.06746708640473414	0.015722382386356187	0.0910565877197371	0.105592849577416	0.06117775919266248	0.06562043131515302	0.05427643861486772	0.11779786860776034	0.10978846691303284	0.03353387094348371	0.026532616190250564	0.044087800541549836	0.020548648709456892	0.024725138786370296	0.07844289463282829	0.18899813049034198	0.2961087598134992
jr1118	0.3131097590746482	0.3235187748559882	0.3100581275801046	0.31028988716669065	0.3106095987734583	0.31783419142938973	0.16392069569409287	0.31175081350680095	0.3165762004866641	0.0	0.29200785362701537	0.3092358857382651	0.3101498207542912	0.37741531809322687	0.3231699485088515	0.29094016039006537	0.22704760126929538	0.2973715940035884	0.30535534604536596	0.2963866484999368	0.28895631062583227	0.31322722904960504	0.3033057115836499	0.303649492938763	0.32410252711151016	0.2849799858921273	0.3006744484934443	0.3418677199055471	0.2838075173706293	0.33689588601039266	0.3251051346456923	0.3206924639275627	0.3211412762936643	0.3708789956067687	0.31596716966886007	0.32268176925779735	0.0993984855348034	0.2635015388673327	0.33993044577073706	0.3188016780847228	0.3100861023198027	0.3157317968930936	0.32002291407056876	0.2788058445970949	0.26021378823472074	0.3235660480985222	0.31545872369028827	0.1371592943274684	0.31673257735662225	0.3098169047396342	0.29632268510681004	0.3164080043147818	0.37493259900156006	0.3160056514469574	0.31312887609994056	0.26418724673021843	0.30456824741339117	0.326094303956146	0.31093985772538385	0.1805308671928445	0.2749043671597927	0.28075060505609095	0.3173099890018397	0.28628942606746444	0.28758184197349596	0.3116999302620128	0.32731262926477783	0.3263245369072141	0.3324378734229372	0.3114728190002528	0.31680605222432245	0.3134554690255177	0.2949794156517511	0.3083003614439509	0.3033190079010123	0.3468479650332139	0.2807809960269478	0.26885531613864094
