	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	ec1442	ec1449	ec1457	ec1462	ec1468	ec1492	ec1497	ec1500	ec1508	ec1513	ec1516	ec1517	ec1524	ec1533	eti111	eti123	eti135	eti149	eti154	eti162	eti164	eti165	eti166	eti167
ec1249	0.0	0.706	0.726	0.782	0.712	0.576	0.708	0.922	0.692	0.872	0.512	0.842	0.76	0.876	0.66	0.528	0.79	0.892	0.996	0.97	0.778	0.59	0.928	0.766	0.846	0.586	0.904	0.816	0.888	0.894	0.896	0.704	0.654	0.746	0.798	0.99	0.624	0.66	0.786	0.7	0.802	0.698
ec1265	0.706	0.0	0.942	0.894	0.814	0.742	0.704	0.984	0.602	0.868	0.744	0.936	0.786	0.888	0.618	0.666	0.678	0.966	0.996	0.972	0.544	0.574	0.968	0.912	0.634	0.66	0.948	0.51	0.978	0.986	0.988	0.676	0.578	0.886	0.712	0.986	0.638	0.754	0.642	0.632	0.644	0.556
ec1314	0.726	0.942	0.0	0.464	0.54	0.464	0.88	0.606	0.888	0.538	0.592	0.526	0.522	0.576	0.842	0.48	0.888	0.776	0.994	0.98	0.97	0.826	0.874	0.576	0.952	0.822	0.928	0.942	0.928	0.936	0.92	0.912	0.584	0.382	0.482	0.986	0.836	0.862	0.95	0.896	0.962	0.884
ec1346	0.782	0.894	0.464	0.0	0.548	0.438	0.804	0.406	0.746	0.404	0.64	0.368	0.34	0.384	0.868	0.482	0.826	0.782	0.98	0.976	0.898	0.852	0.954	0.842	0.884	0.906	0.986	0.902	0.936	0.97	0.974	0.938	0.554	0.286	0.286	1.0	0.898	0.86	0.868	0.924	0.936	0.874
ec1349	0.712	0.814	0.54	0.548	0.0	0.436	0.812	0.686	0.874	0.612	0.612	0.606	0.49	0.616	0.788	0.514	0.796	0.766	0.996	0.978	0.892	0.784	0.916	0.796	0.886	0.814	0.938	0.744	0.906	0.93	0.926	0.694	0.516	0.488	0.542	0.994	0.744	0.8	0.804	0.754	0.882	0.77
ec1361	0.576	0.742	0.464	0.438	0.436	0.0	0.738	0.52	0.768	0.434	0.592	0.414	0.346	0.452	0.688	0.368	0.752	0.798	0.996	0.972	0.83	0.74	0.87	0.772	0.85	0.732	0.838	0.76	0.9	0.864	0.852	0.672	0.472	0.368	0.418	0.986	0.626	0.726	0.776	0.68	0.84	0.722
ec1362	0.708	0.704	0.88	0.804	0.812	0.738	0.0	0.89	0.712	0.864	0.662	0.864	0.772	0.866	0.608	0.68	0.654	0.912	0.996	0.974	0.636	0.778	0.986	0.926	0.798	0.584	0.974	0.868	0.99	0.982	0.984	0.584	0.586	0.85	0.766	0.998	0.608	0.782	0.716	0.74	0.376	0.696
ec1378	0.922	0.984	0.606	0.406	0.686	0.52	0.89	0.0	0.96	0.16	0.734	0.222	0.364	0.124	0.942	0.634	0.914	0.824	0.996	0.988	0.986	0.986	0.994	0.986	0.984	0.986	0.986	0.988	0.992	0.992	0.994	0.982	0.726	0.408	0.446	1.0	0.986	0.986	0.956	0.986	0.984	0.986
ec1393	0.692	0.602	0.888	0.746	0.874	0.768	0.712	0.96	0.0	0.942	0.788	0.924	0.846	0.924	0.73	0.688	0.782	0.966	0.996	0.972	0.404	0.412	0.976	0.912	0.778	0.784	0.982	0.536	0.958	0.97	0.982	0.804	0.698	0.904	0.68	1.0	0.786	0.782	0.58	0.784	0.812	0.728
ec1396	0.872	0.868	0.538	0.404	0.612	0.434	0.864	0.16	0.942	0.0	0.712	0.176	0.288	0.13	0.854	0.598	0.872	0.806	0.996	0.97	0.956	0.914	0.944	0.912	0.936	0.922	0.958	0.868	0.984	0.986	0.978	0.904	0.638	0.33	0.4	0.986	0.896	0.916	0.924	0.91	0.938	0.896
