	ec1058	ec1059	ec1065	ec1073	ec1075	ec1078	ec1084	ec1091	ec1092	ec1094	ec1098	ec1100	ec1108	ec1113	ec1116	ec1122	ec1124	ec1129	ec1132	ec1133	ec1138	ec1140	ec1149	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1377	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	eti111	eti114	eti123	eti135
ec1058	0	0.1642450050655213	0.2110946115463591	0.1581354828578468	0.158558154871859	0.1330209711629937	0.1569682432535053	0.1781647367988137	0.2016383813498661	0.1905199602576898	0.1643566244140087	0.1574110050302009	0.1414776439266779	0.2199468579125087	0.2296413702035294	0.2130223375347602	0.2450530438170231	0.2372243981011916	0.1699100551378036	0.1564035199502523	0.1918879486706945	0.2685322455699426	0.1509590679949706	0.462082026418713	0.4629717653036747	0.5086046057097192	0.5020289184804543	0.4922077344186467	0.5086926557478195	0.4911093198615107	0.4683207822604063	0.5115839527157046	0.5103717309828742	0.5115859402864171	0.4859939909745644	0.5031993539999113	0.5039340191306648	0.5158948143024957	0.5033014049035975	0.5081980100003359	0.4573523366877651	0.3860503992069478	0.4775544334215626	0.512786237133769	0.5123079608773013	0.495926525160247
ec1059	0.1642450050655213	0	0.2212960576407038	0.1636001669003601	0.1476085306025723	0.1911616394876719	0.1670797071456057	0.134048775633453	0.174797869203221	0.1440177055453534	0.1435714938171611	0.1746024775228414	0.1282264828439191	0.2477349434445831	0.2170160705114999	0.1529316047280503	0.250084528882419	0.2469941700867177	0.1694141589545404	0.1503985535002549	0.1509453805264149	0.2898307176758526	0.1425743092764599	0.4673323880893814	0.4645346366314377	0.5296200943641836	0.5174390623086333	0.4934374434142921	0.5300599305188173	0.5071332007177117	0.471967549783941	0.5335595787522249	0.5245772294442033	0.5320470021510852	0.5067092999649598	0.5238768077809896	0.5196442975525593	0.5376675279394708	0.5247471139858911	0.5301736360168562	0.4736334993330099	0.403139752619427	0.4966708236611838	0.5343480742085771	0.5342349150248435	0.5179519791153419
ec1065	0.2110946115463591	0.2212960576407038	0	0.2161486760465008	0.1921711315858104	0.2413728054310681	0.2068841162339681	0.2277950701997049	0.2092486594149807	0.221894986396218	0.2504848292887604	0.2009020615128226	0.2092207037075131	0.2570261686320818	0.2398371001352671	0.265417257184077	0.2899957142626459	0.2323522164143204	0.1871134375048383	0.2224183438476421	0.2398304192962368	0.3156034094641202	0.2459107470740299	0.4987760968972851	0.5026577484844723	0.5581082829346065	0.517177763884036	0.5253481430475206	0.5571259089178835	0.5417133748478751	0.483623898462936	0.5617346897854921	0.5274274602546807	0.5579272194793646	0.5364673095795573	0.5523121185276371	0.5430923682055367	0.5650651940479474	0.5535135037509815	0.5576855519694972	0.500565402026045	0.4313615323811125	0.5283482151943849	0.5626319745417139	0.5624429778574931	0.5467580942761625
ec1073	0.1581354828578468	0.1636001669003601	0.2161486760465008	0	0.1800595980460968	0.1764440941961758	0.1827782597840681	0.1616818062047187	0.2006571598777982	0.2175716849685054	0.1980474338358696	0.1961382278510967	0.1598259141616891	0.2266047575003075	0.2506090817428428	0.2354955320301287	0.2726797093895436	0.2192591236402559	0.1738564898707934	0.198167360836847	0.1814401759160152	0.269267901864088	0.1864273883439114	0.4683535082909042	0.4658386361736776	0.5110671031643014	0.5081221871865725	0.4962673205897579	0.5139388974373887	0.4978263921798223	0.4771015837935694	0.5176237977029923	0.5167084033433975	0.517685597675662	0.4910006196531904	0.5050567069323406	0.5091660304400515	0.5208004715607324	0.5098124314121244	0.5135860648773231	0.4670690043365219	0.3836282974475994	0.4854571990305662	0.5173622516616125	0.5167595406691472	0.5011779297396514
ec1075	0.158558154871859	0.1476085306025723	0.1921711315858104	0.1800595980460968	0	0.1781450129534008	0.1463397940360787	0.1572567872661475	0.1741220058484691	0.1638403438491146	0.151626875869534	0.159300928471609	0.1463328869663447	0.2137353840137103	0.2142095261559797	0.194642790559732	0.242960381312084	0.2039237912079596	0.1325470166361568	0.1509852230227245	0.1691967626900334	0.2624832775550996	0.1746802417160371	0.4562413036876774	0.4558532616268075	0.510664735707503	0.5048735963632335	0.4845020690196757	0.5111218275375797	0.4936068674046973	0.4591402388717724	0.5154599543902201	0.5133049501990766	0.5143840582330841	0.4872480487359847	0.5050737677426163	0.5024565148043544	0.5194236856374186	0.506781301716131	0.5120740116748514	0.4604751031395088	0.3833181196088389	0.481420044301521	0.5161476482124591	0.5160080578593648	0.49900599058023
ec1078	0.1330209711629937	0.1911616394876719	0.2413728054310681	0.1764440941961758	0.1781450129534008	0	0.1842932870041311	0.2041988001263677	0.2237699095842457	0.1939864838858019	0.1747059174388548	0.1917107384027872	0.1484841145740219	0.2310932428861378	0.2642155178906599	0.2356718672678901	0.2671744984437653	0.2567740811564261	0.2056039519324916	0.1463366653119967	0.2116285429283456	0.2910790690099541	0.1633387510228125	0.4745949098349128	0.4724525668094886	0.5190411174119585	0.5141050630000513	0.5027222134787548	0.5188709964159663	0.502432558519191	0.4812846867002072	0.5228619929290139	0.5219851315216614	0.5221332271114707	0.4974047351441609	0.5126257904264112	0.5132650331416129	0.5268257241762125	0.5147746189867479	0.5195555380310073	0.4698249338614217	0.3966061795375135	0.4893699016475629	0.5236055037047658	0.5234868819973887	0.5088471430718468
ec1084	0.1569682432535053	0.1670797071456057	0.2068841162339681	0.1827782597840681	0.1463397940360787	0.1842932870041311	0	0.1838284059027681	0.1482094810743056	0.1796937157872564	0.1773171236324614	0.1242447469644126	0.1508012248071332	0.1972645633857373	0.1950350601474188	0.2101059400782325	0.2085172776703861	0.2118752568395415	0.1503986372998715	0.1688261355235803	0.2085983372075715	0.2733934334724863	0.1616343774753856	0.4671601322638325	0.4605748993980897	0.5240745165007688	0.5135346908864677	0.4923159351373684	0.5250217255184573	0.5026542193693109	0.4712561311098222	0.5290517457827837	0.5228990501132209	0.5281771470249076	0.5011538984250682	0.5174468781207557	0.5151244845090321	0.5332208814621915	0.5203730932286945	0.5255429867700957	0.4697923882346679	0.3969976312509946	0.4925848908530133	0.5298057489654585	0.5310817084091591	0.513083560256078
ec1091	0.1781647367988137	0.134048775633453	0.2277950701997049	0.1616818062047187	0.1572567872661475	0.2041988001263677	0.1838284059027681	0	0.2049125240075683	0.1782291760727027	0.1608461396100748	0.1937311875065274	0.1492743206825669	0.2437589592078381	0.247013637243545	0.1776915676093599	0.269746691677356	0.225248974385233	0.1552330106571533	0.1748723944425304	0.1225684694892698	0.2786673465595905	0.1760406600051808	0.457331957945607	0.4587279369284212	0.5139111619450759	0.505865473215088	0.4843066008297707	0.5139798792809515	0.4951549913238813	0.4595690558531854	0.5167390349069391	0.5143925972552033	0.5168140078957925	0.4917457502348152	0.5076705056827487	0.5067022967197442	0.5210863892028006	0.5080603822328499	0.5133530921915704	0.4612597338414464	0.3874914443862689	0.4803990817599695	0.5174470536986554	0.5173691605357925	0.5019579200926337
ec1092	0.2016383813498661	0.174797869203221	0.2092486594149807	0.2006571598777982	0.1741220058484691	0.2237699095842457	0.1482094810743056	0.2049125240075683	0	0.1902941891243176	0.2141797194237876	0.1574072647621335	0.1807383091042391	0.1813323995231682	0.1914215866851344	0.2380004730365241	0.1837014926485477	0.1756833950740094	0.1643353586865572	0.2058046067803049	0.2251070893310925	0.278997269802833	0.2086236619318341	0.4756147701495533	0.4685600752521377	0.5365297526512003	0.5244696977585461	0.5008365078481748	0.5369827162059047	0.5129925136455658	0.4749898345454447	0.5413484996635968	0.5327031204531919	0.5402449469014091	0.5142736733355394	0.530874053902905	0.5270419025095383	0.5451683981131885	0.5325360349372632	0.5383152916373733	0.4797898593378085	0.408449670728213	0.5052471395206479	0.5415857940518277	0.5424861962010632	0.5274271594567063
ec1094	0.1905199602576898	0.1440177055453534	0.221894986396218	0.2175716849685054	0.1638403438491146	0.1939864838858019	0.1796937157872564	0.1782291760727027	0.1902941891243176	0	0.1828044912742373	0.1767210829981657	0.1496143210218468	0.2536524133196968	0.213115818940383	0.1635146977092828	0.2537301272434459	0.2656915895617447	0.1847437157417691	0.1293943911885382	0.191309310203148	0.3082720252018416	0.1624834349923311	0.483546321010339	0.4776170589534149	0.546688322282446	0.5335491934942592	0.5095576524710956	0.5457569790166591	0.5215130742848453	0.4838542401823542	0.5497523941738899	0.543226010174083	0.5485911076315001	0.5237231721277975	0.5406101703797563	0.5367207477914377	0.5536307350358346	0.5410737414998007	0.5464625954031389	0.4845301516441332	0.4218119565577899	0.5130499708662934	0.5507885183008467	0.5502908156107548	0.5338911349991844
