	ec1058	ec1059	ec1065	ec1073	ec1075	ec1078	ec1084	ec1091	ec1092	ec1094	ec1098	ec1100	ec1108	ec1113	ec1116	ec1122	ec1124	ec1129	ec1132	ec1133	ec1138	ec1140	ec1149	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1377	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	eti111	eti114	eti123	eti135
ec1058	0.0	0.804	0.802	0.754	0.754	0.774	0.81	0.912	0.854	0.868	0.806	0.786	0.802	0.872	0.848	0.862	0.908	0.892	0.792	0.806	0.918	0.846	0.77	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0
ec1059	0.804	0.0	0.868	0.734	0.698	0.824	0.85	0.768	0.854	0.792	0.684	0.832	0.732	0.91	0.824	0.71	0.924	0.932	0.756	0.772	0.828	0.82	0.76	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0
ec1065	0.802	0.868	0.0	0.81	0.814	0.876	0.882	0.93	0.868	0.904	0.874	0.828	0.838	0.872	0.846	0.904	0.942	0.888	0.802	0.828	0.934	0.856	0.85	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	0.996	1.0	1.0	1.0
ec1073	0.754	0.734	0.81	0.0	0.734	0.778	0.844	0.862	0.854	0.852	0.786	0.832	0.77	0.89	0.85	0.83	0.898	0.926	0.788	0.812	0.916	0.818	0.74	0.996	0.996	1.0	1.0	0.996	0.996	1.0	0.988	1.0	1.0	0.996	1.0	1.0	0.996	0.996	0.996	0.996	0.996	1.0	0.996	1.0	0.998	1.0
ec1075	0.754	0.698	0.814	0.734	0.0	0.756	0.822	0.854	0.844	0.808	0.676	0.822	0.762	0.892	0.82	0.784	0.914	0.878	0.778	0.73	0.896	0.808	0.726	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994	1.0	1.0	1.0
ec1078	0.774	0.824	0.876	0.778	0.756	0.0	0.788	0.916	0.842	0.834	0.792	0.772	0.736	0.906	0.816	0.874	0.89	0.946	0.818	0.732	0.946	0.832	0.692	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99	1.0	1.0	1.0
ec1084	0.81	0.85	0.882	0.844	0.822	0.788	0.0	0.93	0.716	0.928	0.872	0.714	0.806	0.846	0.824	0.912	0.82	0.84	0.796	0.812	0.952	0.826	0.818	0.996	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994	1.0	1.0	1.0
ec1091	0.912	0.768	0.93	0.862	0.854	0.916	0.93	0.0	0.922	0.874	0.85	0.916	0.864	0.968	0.904	0.834	0.944	0.956	0.842	0.88	0.812	0.87	0.88	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.984	1.0	1.0	1.0
ec1092	0.854	0.854	0.868	0.854	0.844	0.842	0.716	0.922	0.0	0.918	0.886	0.746	0.83	0.804	0.802	0.92	0.752	0.792	0.832	0.85	0.952	0.782	0.87	0.996	0.99	1.0	1.0	0.992	0.996	0.996	0.988	1.0	1.0	0.996	1.0	1.0	0.996	0.996	1.0	0.998	0.996	1.0	0.994	0.996	1.0	1.0
ec1094	0.868	0.792	0.904	0.852	0.808	0.834	0.928	0.874	0.918	0.0	0.812	0.888	0.822	0.938	0.86	0.818	0.924	0.964	0.836	0.8	0.876	0.892	0.796	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0
ec1098	0.806	0.684	0.874	0.786	0.676	0.792	0.872	0.85	0.886	0.812	0.0	0.85	0.746	0.93	0.846	0.714	0.934	0.928	0.828	0.784	0.878	0.858	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0
ec1100	0.786	0.832	0.828	0.832	0.822	0.772	0.714	0.916	0.746	0.888	0.85	0.0	0.75	0.816	0.8	0.902	0.828	0.87	0.804	0.78	0.936	0.816	0.82	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994	1.0	1.0	1.0
ec1108	0.802	0.732	0.838	0.77	0.762	0.736	0.806	0.864	0.83	0.822	0.746	0.75	0.0	0.876	0.766	0.808	0.89	0.908	0.754	0.696	0.914	0.788	0.714	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0
ec1113	0.872	0.91	0.872	0.89	0.892	0.906	0.846	0.968	0.804	0.938	0.93	0.816	0.876	0.0	0.878	0.948	0.876	0.738	0.858	0.89	0.956	0.872	0.936	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ec1116	0.848	0.824	0.846	0.85	0.82	0.816	0.824	0.904	0.802	0.86	0.846	0.8	0.766	0.878	0.0	0.85	0.792	0.904	0.754	0.81	0.928	0.746	0.832	0.992	0.98	0.998	0.998	0.978	0.982	0.998	0.982	0.998	0.986	0.99	0.992	0.986	0.98	0.994	0.988	0.984	0.996	0.992	0.972	0.994	0.996	0.994
ec1122	0.862	0.71	0.904	0.83	0.784	0.874	0.912	0.834	0.92	0.818	0.714	0.902	0.808	0.948	0.85	0.0	0.95	0.938	0.844	0.83	0.856	0.874	0.796	0.996	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.994	1.0	1.0	1.0
