"","cluster","pval","rho","sum","fdr","test","taxonomy"
"1","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales",0.0460192287168565,0.237603338503303,29,0.460192287168565,"perc_wolb","order"
"2","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales",0.0231101842087438,-0.269367585811609,29,0.231101842087438,"reads1_noW","order"
"3","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia_ o__Flavobacteriales",0.0477056722947174,-0.235840622756302,127,0.238528361473587,"reads1_noW","order"
"4","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales",5.39844038215231e-05,-0.460176891305375,492,0.000539844038215231,"sortorder","order"
"5","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales",0.000416807739793584,-0.407719826841374,1627,0.00208403869896792,"sortorder","order"
"6","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales",0.00117772550986848,-0.377374259760295,252,0.00392575169956161,"sortorder","order"
"7","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales",0.00245918358006208,0.353965407105104,29378,0.0061479589501552,"sortorder","order"
"8","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales",0.0333114202417145,-0.252950413817656,2083,0.0666228404834289,"sortorder","order"
"9","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales",5.61384584144831e-05,-0.459248865643758,492,0.000561384584144831,"latitude","order"
"10","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales",0.000914481444132876,-0.38503480734753,252,0.00322067648005667,"latitude","order"
"11","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales",0.000966202944017001,-0.383384458149451,1627,0.00322067648005667,"latitude","order"
"12","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales",0.00222581739572871,0.357239044045637,29378,0.00556454348932177,"latitude","order"
"13","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales",0.0269535128952798,-0.262574157640773,2083,0.0539070257905597,"latitude","order"
"14","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales",7.14770203200347e-06,0.504810861167465,492,7.14770203200347e-05,"longitude","order"
"15","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales",0.000631756458538336,0.39591333780706,252,0.00315878229269168,"longitude","order"
"16","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales",0.000958381679675306,0.383628807708501,1627,0.00319460559891769,"longitude","order"
"17","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales",0.012442244399897,-0.295214912572871,29378,0.0311056109997424,"longitude","order"
"18","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales",1.56513254503761e-06,0.53464517714156,492,1.56513254503761e-05,"date","order"
"19","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales",0.000319467012674836,0.415049143779827,1627,0.00159733506337418,"date","order"
"20","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales",0.00109664423849145,0.379552924401234,252,0.00365548079497151,"date","order"
"21","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales",0.0128066237548723,-0.294058881855549,29378,0.0320165593871807,"date","order"
"22","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales",0.0162052270645285,0.284460702700137,2083,0.0324104541290569,"date","order"
