"","cluster","pval","rho","sum","fdr","test","taxonomy"
"1","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae",0.0405395388347886,-0.243724979285857,41,0.286234033768304,"reads1_noW","family"
"2","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia_ o__Flavobacteriales_ f__[Weeksellaceae]",0.0477056722947174,-0.235840622756302,127,0.286234033768304,"reads1_noW","family"
"3","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f__",0.000416807739793584,-0.407719826841374,1627,0.00500169287752301,"sortorder","family"
"4","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae",0.00207789169673683,-0.359477297748121,346,0.00740359688214367,"sortorder","family"
"5","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae",0.00245918358006208,0.353965407105104,29377,0.00740359688214367,"sortorder","family"
"6","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae",0.00246786562738122,-0.353849068450939,41,0.00740359688214367,"sortorder","family"
"7","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae",0.00482359199196501,-0.330899051637952,248,0.011576620780716,"sortorder","family"
"8","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae",0.0182331316995444,-0.279532800197381,41,0.0364662633990888,"sortorder","family"
"9","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae",0.0333114202417145,-0.252950413817656,2083,0.0571052918429391,"sortorder","family"
"10","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f__",0.000966202944017001,-0.383384458149451,1627,0.00696409486039258,"latitude","family"
"11","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae",0.00162524010515101,-0.367346625334581,41,0.00696409486039258,"latitude","family"
"12","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae",0.00222581739572871,0.357239044045637,29377,0.00696409486039258,"latitude","family"
"13","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae",0.00232136495346419,-0.355863184890181,346,0.00696409486039258,"latitude","family"
"14","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae",0.00391746107456271,-0.33820753704569,248,0.00940190657895051,"latitude","family"
"15","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae",0.0171681066548582,-0.28205862915837,41,0.0343362133097164,"latitude","family"
"16","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae",0.0269535128952798,-0.262574157640773,2083,0.046206022106194,"latitude","family"
"17","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae",0.000382016770840424,0.410140149514046,41,0.00362589897674472,"longitude","family"
"18","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae",0.00060431649612412,0.397194921496507,346,0.00362589897674472,"longitude","family"
"19","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f__",0.000958381679675306,0.383628807708501,1627,0.00383352671870122,"longitude","family"
"20","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae",0.00283253890707782,0.349265317927659,248,0.00849761672123346,"longitude","family"
"21","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae",0.012442244399897,-0.295214912572871,29377,0.0266568244868084,"longitude","family"
"22","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae",0.0133284122434042,0.29245205638055,41,0.0266568244868084,"longitude","family"
"23","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae",2.53899545646262e-05,0.477564654909916,41,0.000304679454775515,"date","family"
"24","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae",0.000276000378531533,0.419009332536641,41,0.00127786805069935,"date","family"
"25","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f__",0.000319467012674836,0.415049143779827,1627,0.00127786805069935,"date","family"
"26","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae",0.000868188283393193,0.38658532092858,346,0.00260456485017958,"date","family"
"27","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae",0.00262782277653818,0.351768646011229,248,0.00630677466369164,"date","family"
"28","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae",0.0128066237548723,-0.294058881855549,29377,0.0256132475097445,"date","family"
"29","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae",0.0162052270645285,0.284460702700137,2083,0.0277803892534774,"date","family"
"30","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Enterococcaceae",0.033160732240901,0.253159882986765,62,0.0497410983613515,"date","family"
