"","cluster","pval","rho","sum","fdr","test","taxonomy"
"1","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria",0.0226948184933035,0.270158058443967,30,0.158863729453125,"perc_wolb","class"
"2","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria",0.0157471555695063,-0.285646775221533,30,0.110230088986544,"reads1_noW","class"
"3","k__Bacteria_ p__Bacteroidetes_ c__Flavobacteriia",0.0477056722947174,-0.235840622756302,127,0.166969853031511,"reads1_noW","class"
"4","k__Bacteria_ p__Firmicutes_ c__Bacilli",0.000101298156096498,-0.444914405491362,498,0.000709087092675487,"sortorder","class"
"5","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria",0.000362402267552617,0.41159502627978,29989,0.00126840793643416,"sortorder","class"
"6","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia",0.00117772550986848,-0.377374259760295,252,0.00274802618969313,"sortorder","class"
"7","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria",0.00790660325833469,-0.312812510983889,4518,0.0138365557020857,"sortorder","class"
"8","k__Bacteria_ p__Firmicutes_ c__Bacilli",0.000114513201936363,-0.441854782868213,498,0.000801592413554539,"latitude","class"
"9","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria",0.000305410545621078,0.416272768066979,29989,0.00106893690967377,"latitude","class"
"10","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia",0.000914481444132876,-0.38503480734753,252,0.00213379003631004,"latitude","class"
"11","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria",0.01016104363346,-0.303203177281402,4518,0.0177818263585549,"latitude","class"
"12","k__Bacteria_ p__Firmicutes_ c__Bacilli",1.56477750035144e-05,0.488244896058056,498,0.000109534425024601,"longitude","class"
"13","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia",0.000631756458538336,0.39591333780706,252,0.00221114760488417,"longitude","class"
"14","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria",0.00227713919741822,-0.356493590494799,29989,0.00531332479397585,"longitude","class"
"15","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria",0.0460577616051286,0.23756247379805,4518,0.080601082808975,"longitude","class"
"16","k__Bacteria_ p__Firmicutes_ c__Bacilli",2.75351307738484e-06,0.523876524140672,498,1.92745915416939e-05,"date","class"
"17","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia",0.00109664423849145,0.379552924401234,252,0.00383825483472009,"date","class"
"18","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria",0.00266396863605359,-0.351314258024908,29989,0.00621592681745837,"date","class"
"19","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria",0.0430211387967497,0.240872946580874,4518,0.075286992894312,"date","class"
