"","cluster","pval","rho","sum","fdr","test","taxonomy"
"1","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter",0.0188391959756571,-0.278151360554709,6891,0.282587939634857,"reads1","genus"
"2","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter",0.0138119262705937,-0.291010926796009,6891,0.167053315756553,"reads1_noW","genus"
"3","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella",0.0222737754342071,0.270971984988648,799,0.167053315756553,"reads1_noW","genus"
"4","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus",0.0405395388347886,-0.243724979285857,41,0.202697694173943,"reads1_noW","genus"
"5","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g__",0.000416807739793584,-0.407719826841374,1627,0.00625211609690376,"sortorder","genus"
"6","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc",0.00207789169673683,-0.359477297748121,346,0.0155841877255263,"sortorder","genus"
"7","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus",0.00328665195498536,-0.344243347899056,32,0.0164332597749268,"sortorder","genus"
"8","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_NA",0.00662200978380809,-0.319425086607932,1188,0.0248325366892803,"sortorder","genus"
"9","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus",0.0182331316995444,-0.279532800197381,41,0.0546993950986332,"sortorder","genus"
"10","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella",0.0382465652487581,-0.246491942647901,799,0.0956164131218953,"sortorder","genus"
