"","cluster","pval","rho","sum","fdr","test","taxonomy"
"1","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_NA",0.000717517574671641,-0.392210872395427,99,0.0121977987694179,"perc_wolb","species"
"2","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s__",0.0188391959756571,-0.278151360554709,6891,0.312745651523808,"reads1","species"
"3","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_NA",0.0367936060616244,0.248317481296796,99,0.312745651523808,"reads1","species"
"4","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_NA",0.000213545193324728,0.42584073678283,99,0.00363026828652037,"reads1_noW","species"
"5","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s__",0.0138119262705937,-0.291010926796009,6891,0.117401373300047,"reads1_noW","species"
"6","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella_ s__punctata",0.0322211185115038,0.254484307301068,627,0.172293040047852,"reads1_noW","species"
"7","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus_ s__",0.0405395388347886,-0.243724979285857,41,0.172293040047852,"reads1_noW","species"
"8","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g___ s__",0.000416807739793584,-0.407719826841374,1627,0.00708573157649093,"sortorder","species"
"9","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc_NA",0.00207789169673683,-0.359477297748121,346,0.0176620794222631,"sortorder","species"
"10","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus_ s__",0.00404258356747691,-0.33711421858451,28,0.0229079735490358,"sortorder","species"
