	17N1	18N1	18N2	18N3	24N1	24N2	24N3	25N1	25N2	25N3	26N2	26N3	27N1	27N2	27N3
17N1	0	0.1208340528599286	0.109766418523227	0.1026986928817991	0.2792654954911535	0.109325548761103	0.4338071199306445	0.5018518827377371	0.4058114513414282	0.3241428870298365	0.4447735390804864	0.4037907602526609	0.2603554390681542	0.1727980541116746	0.3836544686093677
18N1	0.1208340528599286	0	0.09884481592230718	0.0913943016127244	0.2360910378628384	0.1268222226284395	0.3637462701309743	0.4186321504317949	0.3858047139653842	0.2572195274220109	0.3788625528851988	0.3974891238571041	0.1984253753011688	0.113790277412819	0.2996919539776321
18N2	0.109766418523227	0.09884481592230718	0	0.04430864356465996	0.2833245479152987	0.04690194204333843	0.4125421955039897	0.4708976310399304	0.42333851565367	0.2978889153465314	0.4197306243680402	0.421058369989128	0.2388867146752023	0.1310152760094426	0.3492912031875671
18N3	0.1026986928817991	0.0913943016127244	0.04430864356465996	0	0.2757371184596668	0.06678177263697886	0.4083103034859076	0.4734631795977194	0.4057409325832991	0.2825419199883993	0.4130982327614667	0.4209913039248283	0.2274698670579789	0.1157417278696545	0.3528138771690379
24N1	0.2792654954911535	0.2360910378628384	0.2833245479152987	0.2757371184596668	0	0.2887619838149354	0.2954111610538774	0.3370354971853851	0.3002531261595126	0.2041575453291783	0.2783605467614153	0.362702323997679	0.1775363161490665	0.2612986209086065	0.2343535368130333
24N2	0.109325548761103	0.1268222226284395	0.04690194204333843	0.06678177263697886	0.2887619838149354	0	0.412158429675832	0.4789348802879775	0.4269001222890065	0.3059205702590117	0.429012967386775	0.4229982090059599	0.2500495574557065	0.1475194626050927	0.3677883402041719
24N3	0.4338071199306445	0.3637462701309743	0.4125421955039897	0.4083103034859076	0.2954111610538774	0.412158429675832	0	0.1349372758024745	0.1630030263395104	0.1896760821322079	0.0826435178407789	0.3557135294379338	0.2435482665572658	0.3894246627772432	0.313941902431731
25N1	0.5018518827377371	0.4186321504317949	0.4708976310399304	0.4734631795977194	0.3370354971853851	0.4789348802879775	0.1349372758024745	0	0.1480985065962704	0.1989087283407756	0.1278059100945508	0.3663596191545452	0.2770594412137547	0.425466699068267	0.3533336827214539
25N2	0.4058114513414282	0.3858047139653842	0.42333851565367	0.4057409325832991	0.3002531261595126	0.4269001222890065	0.1630030263395104	0.1480985065962704	0	0.1407288256639623	0.1384243809169293	0.2965627940243036	0.2174129272828416	0.4036180517908423	0.3435720585351209
25N3	0.3241428870298365	0.2572195274220109	0.2978889153465314	0.2825419199883993	0.2041575453291783	0.3059205702590117	0.1896760821322079	0.1989087283407756	0.1407288256639623	0	0.1819216535781707	0.3781932937066792	0.09858567202549634	0.2754811370160448	0.2607980960313746
26N2	0.4447735390804864	0.3788625528851988	0.4197306243680402	0.4130982327614667	0.2783605467614153	0.429012967386775	0.0826435178407789	0.1278059100945508	0.1384243809169293	0.1819216535781707	0	0.3561374147355158	0.2301275770537445	0.3727999441200755	0.316690130878052
26N3	0.4037907602526609	0.3974891238571041	0.421058369989128	0.4209913039248283	0.362702323997679	0.4229982090059599	0.3557135294379338	0.3663596191545452	0.2965627940243036	0.3781932937066792	0.3561374147355158	0	0.3642075603375318	0.3911062273397003	0.387232035519319
27N1	0.2603554390681542	0.1984253753011688	0.2388867146752023	0.2274698670579789	0.1775363161490665	0.2500495574557065	0.2435482665572658	0.2770594412137547	0.2174129272828416	0.09858567202549634	0.2301275770537445	0.3642075603375318	0	0.2153945169087797	0.2710326106893947
27N2	0.1727980541116746	0.113790277412819	0.1310152760094426	0.1157417278696545	0.2612986209086065	0.1475194626050927	0.3894246627772432	0.425466699068267	0.4036180517908423	0.2754811370160448	0.3727999441200755	0.3911062273397003	0.2153945169087797	0	0.3057779180418079
27N3	0.3836544686093677	0.2996919539776321	0.3492912031875671	0.3528138771690379	0.2343535368130333	0.3677883402041719	0.313941902431731	0.3533336827214539	0.3435720585351209	0.2607980960313746	0.316690130878052	0.387232035519319	0.2710326106893947	0.3057779180418079	0
